tweet_text,username,location,favorite_count,retweet_count,followers_count,statuses_count,timestamp,verified,coordinates,all_hashtags
RT @bbc5live: ‘’She’s got cold-like symptoms that have got worse and worse and are not going away.’’  The husband of Nazanin Zaghari-Ratcli…,beer_zoe,"Rotterdam, The Netherlands",0,25,129,50294,2020-03-01 09:00:00,False,,
"The majority of the 46 #coronavirus cases in #Kuwait, including the one identified in the past 24 hours, are either… https://t.co/el4fapbO77",AlArabiya_Eng,Dubai,0,0,812096,244453,2020-03-01 09:00:00,True,,"#coronavirus, #Kuwait"
"RT @ellymelly: If the #coronavirus holds steady with a death rate of 2.3% - that puts it on equal footing with the #SpanishFlu, one of the…",lucyin_the,"Victoria, Australia",0,44,1418,38892,2020-03-01 09:00:00,False,,"#coronavirus, #SpanishFlu"
The man is said to have traveled from Italy #Coronavid19 #CoronaVirus https://t.co/PezDc4RjSB,EVOKE,Ireland,0,0,16810,55783,2020-03-01 09:00:00,True,,"#Coronavid19, #CoronaVirus"
"😷 🇨🇳 Over the past weeks, the management of the epidemics revealed the inadequacy of theis Chinese ""secrecy"" as cal… https://t.co/yafWhBROHQ",worldcrunch,"Paris, France",0,0,7014,28829,2020-03-01 09:00:00,True,,
There isn't much the president can say about #coronavirus that will cause markets and citizens to relax because mos… https://t.co/FwuBVSGX2W,DrThomasPaul,Los Angeles . New York . Skype,0,0,62915,60306,2020-03-01 08:59:59,False,,#coronavirus
RT @Surgeon_General: Seriously people- STOP BUYING MASKS!    They are NOT effective in preventing general public from catching #Coronavirus…,MaccaRJ84,,0,27630,171,4318,2020-03-01 08:59:59,False,,#Coronavirus
"RT @MirMAKOfficial: Yahya Jafri, the 22 year old #CoronaVirus suspect at Agha Khan hospital tests NEGATIVE for the virus.  YES. NEGATIVE  M…",naeemtarar786,Pakistan,0,262,240,5851,2020-03-01 08:59:59,False,,#CoronaVirus
"RT @boomlive_in: The image is a screenshot taken from the 2011 movie's trailer, and went viral after it was posted to Facebook recently. #B…",Makkidee,Winterton,0,58,90,2589,2020-03-01 08:59:59,False,,
RT @radiojibi: A heartbreaking video from a school boy in #Tehran shows that how kids become victims of #coronavirus &amp; Iranian demonic regi…,jimmywick1,Everywhere ,0,1210,368,1713,2020-03-01 08:59:58,False,,"#Tehran, #coronavirus"
RT @RockyWinston007: Everyone should watch and share this excellent video by Singapore’s Health Minister Mr. Gan Kim Yong.  There are many…,NoelleTMD,United States,0,833,1424,36946,2020-03-01 08:59:58,False,,
RT @tedlieu: California has announced a third #coronavirus patient through community spread.,DisappearedNews,"Honolulu, Hawaii",0,1068,1167,80285,2020-03-01 08:59:58,False,,#coronavirus
RT @niravstoons: The #CoronaVirus or #Covid19 is a classic #BlackSwan event.   No one could see it coming. (Ok @BillGates did highlight ris…,Bk_shah1,मुंबई,0,2,250,36235,2020-03-01 08:59:57,False,,"#CoronaVirus, #Covid19, #BlackSwan"
"RT @TomthunkitsMind: Here’s what #coronavirus does to the body. From blood storms to honeycomb lungs, here’s an organ-by-organ look at how…",likingyou,Washington State,0,1,1989,100556,2020-03-01 08:59:57,False,,#coronavirus
RT @ScottMorrisonMP: We will continue to do all we can to protect Australians from #coronavirus. We are monitoring and responding to the in…,BenDIsrael1,Yerushalayim,0,31,167,8607,2020-03-01 08:59:56,False,,#coronavirus
RT @FranTownsend: 😝 ‘Lick the shrine challenge’ in #Iran goes viral despite #coronavirus fears - Al Arabiya English https://t.co/FJdPB1Zndp,Goatboy641,Adelaide,0,3,624,9544,2020-03-01 08:59:56,False,,"#Iran, #coronavirus"
"RT @MirMAKOfficial: Yahya Jafri, the 22 year old #CoronaVirus suspect at Agha Khan hospital tests NEGATIVE for the virus.  YES. NEGATIVE  M…",DaUnitedGuy,,0,262,766,109623,2020-03-01 08:59:56,False,,#CoronaVirus
"RT @ErykBagshaw: This is Eason Shen, one of 150 Australians still stuck in Wuhan. The Turramurra Public student has not seen his parents in…",rmsmith99,,0,68,2,7,2020-03-01 08:59:54,False,,
RT @HarunMaruf: #CoronaVirus health guidelines in SOMALI language provided by @MoH_Somalia. (Part 2) https://t.co/dJblmVQBe1,Anisaodirieo1,"Mogadishu, Somalia",0,22,398,2856,2020-03-01 08:59:54,False,,#CoronaVirus
"RT @FluTrackers: ""The significance of this study is that asymptomatic carriers are found to be highly infectious, &amp; the period of infection…",_Morning_,Off the grid.Far to the right.,0,26,397,20554,2020-03-01 08:59:54,False,,
RT @Trump_Detester: He looks &amp; sounds like shit. Maybe he’s gonna announce that he’s tested positive for the #coronavirus? https://t.co/0wh…,Deef1207,"Cambridgeshire, UK",0,80,403,20595,2020-03-01 08:59:54,False,,#coronavirus
RT @donwinslow: Dear @realDonaldTrump   Listen up you racist fuck.   You've spent YEARS denigrating the Mexican people.   Now you suggest t…,JohnnyM__l,NorthSac/RanchoCordova CALI.,0,623,257,26982,2020-03-01 08:59:53,False,,
@BBCFergusWalsh Recently retired doctors. Without @GMC registration or a licence to practise. Who no longer need or… https://t.co/6DyarES6Pu,_davidandrews_,"Cardiff, Wales",0,0,277,519,2020-03-01 08:59:53,False,,
RT @conspirator0: We took a snapshot of 24 hours worth of English tweets (excluding retweets) containing coronavirus/#coronavirus. A signif…,Pierre_Bly,"Pas de Calais, France",0,39,101,3294,2020-03-01 08:59:53,False,,#coronavirus
"RT @HimalayaGlobal: Midnight footage taken at a Wuhan quarantined building complex, full-equipped staffs removing a dead neighbor from home…",CalvinC12492517,"Taipei City, Taiwan",0,158,85,8543,2020-03-01 08:59:52,False,,
"RT @WHO: @DrTedros ""At the same time, work is also progressing on vaccines and therapeutics.  More than 20 vaccines are in development glob…",ivaniacardenas,"Monclova, Coahuila de Zaragoza",0,240,163,2169,2020-03-01 08:59:52,False,,
"Japan’s Abe faces mounting anger over school closures, lack of virus testing - The Washington Post  In #Japan, it h… https://t.co/sft1lRR1xe",RobeltHongo,文京区本郷,0,0,622,921,2020-03-01 08:59:51,False,,#Japan
"The father of Ramin Azizi Far, the nurse who was died due to #CoronaVirus last week in Iran, also contracts with th… https://t.co/LvHjS4hrkJ",FarashgardFdn,"Washington, DC",0,0,2446,2500,2020-03-01 08:59:51,False,,#CoronaVirus
RT @Surgeon_General: Seriously people- STOP BUYING MASKS!    They are NOT effective in preventing general public from catching #Coronavirus…,MagdalenaMoreh1,Bucharest,0,27633,893,9082,2020-03-01 08:59:51,False,,#Coronavirus
RT @rajeev_mp: If 40-70% of adults arnd the world cud potentially be victims of #CoronaVirus - shdnt the world be suing #China for this? #C…,HuyenTrangChang,Vietnam,0,1460,1861,27971,2020-03-01 08:59:50,False,,"#CoronaVirus, #China"
"RT @DrTedros: On 28 February, @WHO raised the risk assessment for the #COVID19 outbreak  to “very high” globally, based on the spread of th…",nkemngo,"Buea, Cameroon",0,335,239,3676,2020-03-01 08:59:50,False,,#COVID19
RT @DrMartyFox: Obama Declares National Health Emergency After 1000 Swine Flu Deaths  ▶️Praised For Leadership  #PresidentTrump Declares Na…,Lean__In,PNW,0,415,229,12198,2020-03-01 08:59:50,False,,#PresidentTrump
RT @RudyakMarina: What to do if you can't shake hands? #coronavirus #creativity #china https://t.co/MZ5aginwdD,Heartlandier,The Heartland,0,11715,217,122460,2020-03-01 08:59:49,False,,"#coronavirus, #creativity, #china"
"RT @GlobaISpectator: UNITED STATES: An Illinois resident has tested positive for the coronavirus, Cook County and Illinois health officials…",ColleenBaird17,"Michigan, USA",0,32,66,967,2020-03-01 08:59:49,False,,
"RT @MirMAKOfficial: Yahya Jafri, the 22 year old #CoronaVirus suspect at Agha Khan hospital tests NEGATIVE for the virus.  YES. NEGATIVE  M…",maliyas2069,"Lahore, Pakistan",0,262,179,3765,2020-03-01 08:59:48,False,,#CoronaVirus
"RT @FunnymanPage: Meanwhile in china, in a barber shop...😆🙈🙈🤦‍♂️🤦‍♂️  #coronavirus https://t.co/Uz4HbaB2wF",Shaunyfevo,Featherstone,0,713,771,3067,2020-03-01 08:59:47,False,,#coronavirus
RT @PiperK: Dr. Fauci confirms that around 20% of #coronavirus patients require hospitalization. That's the crux of the problem. Our hospit…,ActivistKelly,"London, Glasgow, Los Angeles ",0,3104,3676,52951,2020-03-01 08:59:47,False,,#coronavirus
RT @WhatsThe411News: People are panic buying supplies at a #Costco in Hawaii for preparedness over the #coronavirus. CDC warns to prepare a…,JimBoblif,Deep in the fog,0,7,540,10161,2020-03-01 08:59:46,False,,"#Costco, #coronavirus"
