tweet_text,username,location,favorite_count,retweet_count,followers_count,statuses_count,timestamp,verified,coordinates,all_hashtags
RT @silver_report: It has begun!  Clearing the shelves in #Queens #NY I still say this is the Pre-Panic crowd #coronavirus #panic hits #NYC…,RtnShawn,,0,12,14,613,2020-03-01 08:51:25,False,,"#Queens, #NY, #coronavirus, #panic, #NYC"
RT @silver_report: It has begun!  Clearing the shelves in #Queens #NY I still say this is the Pre-Panic crowd #coronavirus #panic hits #NYC…,JackieMReese3,,0,12,1,76,2020-03-01 05:58:16,False,,"#Queens, #NY, #coronavirus, #panic, #NYC"
RT @silver_report: It has begun!  Clearing the shelves in #Queens #NY I still say this is the Pre-Panic crowd #coronavirus #panic hits #NYC…,xStarSailor,"New York, NY",0,12,25,34,2020-03-01 04:59:59,False,,"#Queens, #NY, #coronavirus, #panic, #NYC"
RT @vmramos: In Nassau County #NY: More than 80 people being monitored for #coronavirus risk; one test sample pending; no confirmed cases i…,s_akrati,Singapore,0,399,606,12641,2020-03-01 04:13:35,False,,"#NY, #coronavirus"
RT @CEDRdigital: B R E A K I N G: #CoronaVirusUpdate #NY state and #NewYorkCity have both been granted FDA approval to develop their own #C…,Bliss_Ville,Gotham,0,27,8224,33488,2020-03-01 04:04:02,False,,"#CoronaVirusUpdate, #NY, #NewYorkCity"
RT @CEDRdigital: B R E A K I N G: #CoronaVirusUpdate #NY state and #NewYorkCity have both been granted FDA approval to develop their own #C…,JavierGochis,"New York, USA",0,27,655,14484,2020-03-01 03:58:55,False,,"#CoronaVirusUpdate, #NY, #NewYorkCity"
RT @silver_report: It has begun!  Clearing the shelves in #Queens #NY I still say this is the Pre-Panic crowd #coronavirus #panic hits #NYC…,Steve54777860,"Nevada, USA",0,12,3,109,2020-03-01 03:35:08,False,,"#Queens, #NY, #coronavirus, #panic, #NYC"
RT @silver_report: It has begun!  Clearing the shelves in #Queens #NY I still say this is the Pre-Panic crowd #coronavirus #panic hits #NYC…,kristblack,,0,12,1,23,2020-03-01 03:17:22,False,,"#Queens, #NY, #coronavirus, #panic, #NYC"
RT @silver_report: It has begun!  Clearing the shelves in #Queens #NY I still say this is the Pre-Panic crowd #coronavirus #panic hits #NYC…,pieke1971,,0,12,297,2549,2020-03-01 03:12:53,False,,"#Queens, #NY, #coronavirus, #panic, #NYC"
RT @CEDRdigital: B R E A K I N G: #CoronaVirusUpdate #NY state and #NewYorkCity have both been granted FDA approval to develop their own #C…,atikyogi,"Berkeley, CA",0,27,482,6706,2020-03-01 03:04:05,False,,"#CoronaVirusUpdate, #NY, #NewYorkCity"
RT @silver_report: It has begun!  Clearing the shelves in #Queens #NY I still say this is the Pre-Panic crowd #coronavirus #panic hits #NYC…,DonnaLoyd4,Jax Florida,0,12,140,8260,2020-03-01 02:45:14,False,,"#Queens, #NY, #coronavirus, #panic, #NYC"
RT @CEDRdigital: B R E A K I N G: #CoronaVirusUpdate #NY state and #NewYorkCity have both been granted FDA approval to develop their own #C…,EdiSam84602519,,0,27,6,545,2020-03-01 01:39:20,False,,"#CoronaVirusUpdate, #NY, #NewYorkCity"
RT @CEDRdigital: B R E A K I N G: #CoronaVirusUpdate #NY state and #NewYorkCity have both been granted FDA approval to develop their own #C…,JXot9FNVY1UMX9G,,0,27,1,179,2020-03-01 01:31:01,False,,"#CoronaVirusUpdate, #NY, #NewYorkCity"
RT @silver_report: It has begun!  Clearing the shelves in #Queens #NY I still say this is the Pre-Panic crowd #coronavirus #panic hits #NYC…,MONEYCLIP84,Pennyland  [̲̅$̲̅(̲̅ιοo)̲̅$̲̅],0,12,3589,5239,2020-03-01 01:18:59,False,,"#Queens, #NY, #coronavirus, #panic, #NYC"
RT @CEDRdigital: B R E A K I N G: #CoronaVirusUpdate #NY state and #NewYorkCity have both been granted FDA approval to develop their own #C…,Lady_Blazes,I am not an expert.,0,27,208,1132,2020-03-01 01:18:00,False,,"#CoronaVirusUpdate, #NY, #NewYorkCity"
RT @CEDRdigital: B R E A K I N G: #CoronaVirusUpdate #NY state and #NewYorkCity have both been granted FDA approval to develop their own #C…,dvder01,,0,27,193,2640,2020-03-01 01:17:29,False,,"#CoronaVirusUpdate, #NY, #NewYorkCity"
RT @silver_report: It has begun!  Clearing the shelves in #Queens #NY I still say this is the Pre-Panic crowd #coronavirus #panic hits #NYC…,whatsdrivingme,,0,12,811,23039,2020-03-01 01:13:48,False,,"#Queens, #NY, #coronavirus, #panic, #NYC"
RT @silver_report: It has begun!  Clearing the shelves in #Queens #NY I still say this is the Pre-Panic crowd #coronavirus #panic hits #NYC…,Terpolska,"California, USA",0,12,68,13172,2020-03-01 01:10:26,False,,"#Queens, #NY, #coronavirus, #panic, #NYC"
RT @CEDRdigital: B R E A K I N G: #CoronaVirusUpdate #NY state and #NewYorkCity have both been granted FDA approval to develop their own #C…,PrussiaThird,,0,27,299,13726,2020-03-01 01:08:12,False,,"#CoronaVirusUpdate, #NY, #NewYorkCity"
It has begun!  Clearing the shelves in #Queens #NY I still say this is the Pre-Panic crowd #coronavirus #panic hits… https://t.co/O7fLiRBQOl,silver_report,,17,12,869,1661,2020-03-01 01:04:39,False,,"#Queens, #NY, #coronavirus, #panic"
RT @CEDRdigital: B R E A K I N G: #CoronaVirusUpdate #NY state and #NewYorkCity have both been granted FDA approval to develop their own #C…,Cheaptarts,"Dallas, TX",0,27,1148,142873,2020-03-01 01:04:19,False,,"#CoronaVirusUpdate, #NY, #NewYorkCity"
RT @CEDRdigital: B R E A K I N G: #CoronaVirusUpdate #NY state and #NewYorkCity have both been granted FDA approval to develop their own #C…,vesnaputzier,,0,27,139,2477,2020-03-01 01:04:09,False,,"#CoronaVirusUpdate, #NY, #NewYorkCity"
RT @CEDRdigital: B R E A K I N G: #CoronaVirusUpdate #NY state and #NewYorkCity have both been granted FDA approval to develop their own #C…,KrutikaKuppalli,"Palo Alto, CA",0,27,5655,3976,2020-03-01 01:02:26,False,,"#CoronaVirusUpdate, #NY, #NewYorkCity"
RT @CEDRdigital: B R E A K I N G: #CoronaVirusUpdate #NY state and #NewYorkCity have both been granted FDA approval to develop their own #C…,8bitmeme,"Orange County, CA",0,27,530,6797,2020-03-01 01:01:34,False,,"#CoronaVirusUpdate, #NY, #NewYorkCity"
RT @CEDRdigital: B R E A K I N G: #CoronaVirusUpdate #NY state and #NewYorkCity have both been granted FDA approval to develop their own #C…,th1s2shallpa55,,0,27,132,5259,2020-02-29 23:10:22,False,,"#CoronaVirusUpdate, #NY, #NewYorkCity"
RT @CEDRdigital: B R E A K I N G: #CoronaVirusUpdate #NY state and #NewYorkCity have both been granted FDA approval to develop their own #C…,PINKYPIE41,United States,0,27,5207,101656,2020-02-29 22:50:02,False,,"#CoronaVirusUpdate, #NY, #NewYorkCity"
RT @CEDRdigital: B R E A K I N G: #CoronaVirusUpdate #NY state and #NewYorkCity have both been granted FDA approval to develop their own #C…,BCquakehelp,West Coast  | North America,0,27,3785,80735,2020-02-29 22:16:56,False,,"#CoronaVirusUpdate, #NY, #NewYorkCity"
