tweet_text,username,location,favorite_count,retweet_count,followers_count,statuses_count,timestamp,verified,coordinates,all_hashtags
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,LjudmilaNovak,"Brussels, Belgium",0,353,2642,615,2020-03-01 09:15:14,True,,"#Italy, #COVID19"
"#nCoVStats @HPI_DE worldwide #COVID19 infections exceeded 87k, outside China number hits 7k. Spots outside #China d… https://t.co/NqPOZxU0o4",AnalyzeGenomes,"Berlin, Germany",0,0,123,238,2020-03-01 09:15:13,False,,"#nCoVStats, #COVID19, #China"
Terms of Trade: #Italy rethinks its warm #China embrace as #coronavirus strains #trade ties https://t.co/7E6FUdRB2Q… https://t.co/4pnG6Oas10,davi326,"London, England",0,0,2740,47371,2020-03-01 09:14:42,False,,"#Italy, #China, #coronavirus, #trade"
"RT @11GroupLtd: Well, the new situation right now.  #coronavirus #China #Italy #covid19 #Wuhanoutbreak #chinanews #virus #Corona #news #jap…",brandonveucaso5,,0,41,0,41,2020-03-01 09:13:40,False,,"#coronavirus, #China, #Italy, #covid19, #Wuhanoutbreak, #chinanews, #virus, #Corona, #news"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,abdoulrahman_i,127.0.0.1,0,353,1280,79913,2020-03-01 09:09:30,False,,"#Italy, #COVID19"
RT @SayChrisLive: Here’s a first: the entire high-speed train car to myself. Italians aren’t taking any chances with #coronavirus #covid19…,MKWilliamsRome,,0,4,3049,2563,2020-03-01 09:09:28,False,,"#coronavirus, #covid19"
"RT @TPE_connect: Italy reports more than 1,000 coronavirus cases and 29 deaths #Europe #Italy #Coronavirus #COVID19 #COVID #COVID2019 #Coro…",NoomBajiang,,0,3,210,17579,2020-03-01 09:07:52,False,,"#Europe, #Italy, #Coronavirus, #COVID19, #COVID, #COVID2019"
"RT @TPE_connect: United States extends travel restrictions to Iran, Italy and South Korea #UnitedStates #Iran #Italy #SouthKorea #Coronavir…",NoomBajiang,,0,1,210,17579,2020-03-01 09:07:23,False,,"#UnitedStates, #Iran, #Italy, #SouthKorea"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,LioKlingo,Livorno - Italy,0,353,16042,33103,2020-03-01 09:07:04,False,,"#Italy, #COVID19"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,PhilippeSayous,"Paris, France",0,353,3063,159420,2020-03-01 09:06:06,False,,"#Italy, #COVID19"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,ALLENGLLIU1,,0,353,3,61,2020-03-01 09:02:27,False,,"#Italy, #COVID19"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,SE25A,Portsmouth UK,0,353,3449,425,2020-03-01 09:01:01,False,,"#Italy, #COVID19"
#DFAT #smarttraveller Have still not upgraded #COVID19 alert advising Australian tourists in affected areas only to… https://t.co/hTrAFxtqGr,NinaKySt,"Melbourne, Victoria",0,0,1252,29004,2020-03-01 09:00:57,False,,"#DFAT, #smarttraveller, #COVID19"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,javnozdravje,,0,353,308,1337,2020-03-01 09:00:23,False,,"#Italy, #COVID19"
Matt Hancock @MattHancock. Imagine closing the stable door AFTER the horse has bolted. #Italy #COVID19 #China and #Coronavirus,Gavins_Tweet,On the planet some call Earth,0,0,267,29848,2020-03-01 08:59:45,False,,"#Italy, #COVID19, #China, #Coronavirus"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,PeterIgnatius5,Nigeria,0,353,136,4396,2020-03-01 08:59:19,False,,"#Italy, #COVID19"
"@Robkearney1981 Come on #Italy/#Italia, continue the testing and save everyone. The day will come when you are the… https://t.co/bJbuNssY7e",HiroTanakaKyoto,"Kyoto-shi Yamashina-ku, Kyoto",0,0,9,257,2020-03-01 08:57:53,False,,"#Italy, #Italia"
#RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 r… https://t.co/OS9BEFDL9s,MuruganHospita3,Kilpauk,0,0,71,4812,2020-03-01 08:57:31,False,,"#RT, #Italy, #COVID19"
"RT @247NewsTODAY: A young woman in her 20s in #Mexico (Coahuila) has tested positive for #COVID19, bringing the total number of cases for t…",NoomBajiang,,0,1,210,17579,2020-03-01 08:56:13,False,,"#Mexico, #COVID19"
