tweet_text,username,location,favorite_count,retweet_count,followers_count,statuses_count,timestamp,verified,coordinates,all_hashtags
"RT @SalemJakes: BREAKING - South Korea reports 586 new #COVID19 cases, now 3,736 coronavirus infections, 18 dead. The country has raised it…",Path_ology,"Aberdeen, SD",0,2,473,16125,2020-03-01 09:17:23,False,,#COVID19
"In the United States, bans on travel  Korea and Italy have been announced, but Japan is also dangerous. This is due… https://t.co/V1DxEBddWb",IlpPZ9R5xQH0vWv,,0,0,8,396,2020-03-01 09:17:11,False,,
"RT @RH4N6: For the first time in its 236-year history, South Korea's Catholic church decided to halt masses at more than 1,700 locations na…",Toufiicc,somewhere ,0,1,1232,35449,2020-03-01 09:16:18,False,,
RT @TheMossadIL: North Korea shot their first confirmed case of #COVID19 to death.  Israel will have a vaccine for the virus ready in 3 wee…,WillbBrock,"Lady Lake, FL",0,1468,179,3097,2020-03-01 09:15:55,False,,#COVID19
RT @TheMossadIL: North Korea shot their first confirmed case of #COVID19 to death.  Israel will have a vaccine for the virus ready in 3 wee…,MikeBiafraExit,,0,1468,711,4747,2020-03-01 09:15:49,False,,#COVID19
"RT @COVID19Update: South Korea 🇰🇷  #SouthKorea urges citizens to stay indoors due to ""critical moment"" in #coronavirus battle after recordi…",dexxagon,"Davao City, Davao Region",0,27,70,960,2020-03-01 09:15:26,False,,"#SouthKorea, #coronavirus"
RT @DrEricDing: Churches now conveying to tele-service via online church services in S Korea. This might be an increasing trend. Tele-schoo…,starlowell,America ,0,57,8411,189257,2020-03-01 09:13:47,False,,
"RT @SalemJakes: BREAKING - South Korea reports 586 new #COVID19 cases, now 3,736 coronavirus infections, 18 dead. The country has raised it…",Tanis42,,0,2,7976,94052,2020-03-01 09:13:47,False,,#COVID19
"RT @11GroupLtd: Well, the new situation right now.  #coronavirus #China #Italy #covid19 #Wuhanoutbreak #chinanews #virus #Corona #news #jap…",brandonveucaso5,,0,41,0,43,2020-03-01 09:13:40,False,,"#coronavirus, #China, #Italy, #covid19, #Wuhanoutbreak, #chinanews, #virus, #Corona, #news"
"RT @WHO: @DrTedros ""The #COVID19 epidemics in the Islamic Republic of Iran, Italy and the Republic of Korea demonstrate what this #coronavi…",27kislev5719,"Jerusalem, Israel",0,177,1269,270257,2020-03-01 09:13:23,False,,#COVID19
Is this true??  Truly an easy solution North Korea has .. #CoronaVirusUpdate  #COVID19  #COVID  #NorthKorea… https://t.co/ZZBrcaRrTC,ThePatr79493238,"Mountain View, CA",0,0,6,261,2020-03-01 09:13:14,False,,"#CoronaVirusUpdate, #COVID19, #COVID, #NorthKorea"
RT @DrEricDing: Churches now conveying to tele-service via online church services in S Korea. This might be an increasing trend. Tele-schoo…,dalva0808,"California, USA",0,57,136,20939,2020-03-01 09:13:13,False,,
"RT @earthshakerph: JUST IN: Luxembourg, Qatar, and Ireland also confirmed their first cases of #COVID19. Countries with cases: 63  Areas wi…",rthbllstrs,,0,112,892,32356,2020-03-01 09:13:08,False,,#COVID19
"RT @CSMIA_Official: #COVID19   2285 passengers from 19 flights who arrived from 12 different countries namely Iran, Italy, Vietnam, Nepal,…",MaxQ8,Kuwait / India,0,2,2633,71636,2020-03-01 09:12:58,False,,#COVID19
