tweet_text,username,location,favorite_count,retweet_count,followers_count,statuses_count,timestamp,verified,coordinates,all_hashtags
RT @doamuslims: The Chinese regime could use the #CoronaVirus as an excuse to exterminate the millions of #Uyghur Muslims in #China’s conce…,danieloleinad,New Jersey,0,432,281,20364,2020-03-01 11:59:57,False,,"#CoronaVirus, #Uyghur, #China"
BREAKING - the Vatican denies Pope Francis has contracted #Coronavirus #COVID19 #coronavirusoutbreak #wuhancoronavirus,4thTelevision,"Plot 88, Bunyonyi Drive, Bugol",0,0,169,609,2020-03-01 11:59:41,False,,"#Coronavirus, #COVID19, #coronavirusoutbreak, #wuhancoronavirus"
"Flu season generally subsides in April &amp; March, but will the #Wuhancoronavirus go with it? Will warming spring temp… https://t.co/wwI5e4EnH7",CurtisSChin,Tweets on #Asia & USA  ,0,0,10623,113363,2020-03-01 11:59:18,True,,#Wuhancoronavirus
RT @RvanderDonk1: How many undiagnosed deaths at home are NOT included into statistics?  #COVID19 #COVID #COVIDー19 #COVID_2019 #covid19ital…,thorskrankewelt,switzerland,0,1,1,96,2020-03-01 11:57:52,False,,"#COVID19, #COVID, #COVIDー19, #COVID_2019"
How many undiagnosed deaths at home are NOT included into statistics?  #COVID19 #COVID #COVIDー19 #COVID_2019… https://t.co/Y0M1GkBjrX,RvanderDonk1,"Amsterdam, Nederland",0,1,75,544,2020-03-01 11:56:28,False,,"#COVID19, #COVID, #COVIDー19, #COVID_2019"
"#ABC_challenge say no to china.  remind stop the industries in China, like medicine factories must be set in own co… https://t.co/7TG24I3Xau",stationary_stud,,0,0,459,10622,2020-03-01 11:55:52,False,,#ABC_challenge
RT @felizworldwide: Everyone is taking personal hygiene seriously after the Corona-Virus.  #coronavirus #CoronavirusOutbreak  #WuhanCoronav…,sacheinbaala,"Redmond, WA",0,350,140,763,2020-03-01 11:54:52,False,,"#coronavirus, #CoronavirusOutbreak"
RT @IndoPac_Info: A map of outbreak readiness levels around the world  How well prepare each country is to handle a #coronavirus outbreak…,Wingzblessed,North Carolina,0,32,4637,231353,2020-03-01 11:54:43,False,,#coronavirus
Britain:  #coronavirus will change the world as we know it  #COVID2019 #ChinaVirus 2019-nCoV #ChinaCoronaVirus… https://t.co/QugLXYeB3K,CellosSuits,International Date Line,0,0,1061,64887,2020-03-01 11:53:33,False,,"#coronavirus, #COVID2019, #ChinaVirus, #ChinaCoronaVirus"
@HRF Another white terror again. The so-called reason of arresting the political activists threatens and silences t… https://t.co/9wtjUDs3JU,tiki12737664,,0,0,731,3251,2020-03-01 11:53:03,False,,
"RT @Hongkong3333333: WUHAN! Everybody, take care 🙏 #WuhanCoronavirus  #WuhanOutbreak  #coronavirusec  #Coronavid19  #CoronaVirusUpdate  #Ch…",yyy_kin,Kowloon City District,0,10,148,33058,2020-03-01 11:50:07,False,,"#WuhanCoronavirus, #WuhanOutbreak, #coronavirusec, #Coronavid19, #CoronaVirusUpdate"
RT @WBYeats1865: #China Vegetables donated to #Wuhan were not sent into Wuhan &amp; left to rot on the roadside.  Chinese officials consider se…,miyayagani,,0,716,2297,34193,2020-03-01 11:48:33,False,,"#China, #Wuhan"
"RT @Perseus852: Am pretty sure @CCTV once published a video that had the comment, ""Only #criminals and #terrorists wear #masks.""  Image via…",HYKYGZ,"Toronto, Ontario",0,3,92,12618,2020-03-01 11:47:45,False,,"#criminals, #terrorists, #masks"
"What have China done to control #WuhanCoronavirus #COVID19 ? Not launching measures but Arresting ""Whistle-blowers""… https://t.co/HBAMIZWFET",germany_with_hk,"Berlin, Germany",5,0,3548,2768,2020-03-01 11:47:01,False,,"#WuhanCoronavirus, #COVID19"
RT @felizworldwide: Everyone is taking personal hygiene seriously after the Corona-Virus.  #coronavirus #CoronavirusOutbreak  #WuhanCoronav…,realkadaknath,,0,350,20,587,2020-03-01 11:45:31,False,,"#coronavirus, #CoronavirusOutbreak"
@onlyyoontv These Chinese return after successfully spread #WuhanCoronavirus to Iran and Russia.,Hope846392008,,0,0,192,3460,2020-03-01 11:45:13,False,,#WuhanCoronavirus
RT @WBYeats1865: #China Vegetables donated to #Wuhan were not sent into Wuhan &amp; left to rot on the roadside.  Chinese officials consider se…,Tin87991321,,0,716,12,2942,2020-03-01 11:45:05,False,,"#China, #Wuhan"
"RT @Perseus852: Am pretty sure @CCTV once published a video that had the comment, ""Only #criminals and #terrorists wear #masks.""  Image via…",peterhandlebar,Hong Kong,0,3,463,56395,2020-03-01 11:44:51,False,,"#criminals, #terrorists, #masks"
RT @Evita_2019: @WHO Should @WHO &amp; @DrTedros worry less on stigma. #WuhanCoronavirus would have contained in #China . Now virus is attackin…,Carbon85625279,,0,2,15,352,2020-03-01 11:40:08,False,,"#WuhanCoronavirus, #China"
RT @felizworldwide: Everyone is taking personal hygiene seriously after the Corona-Virus.  #coronavirus #CoronavirusOutbreak  #WuhanCoronav…,OsOs10101010101,,0,350,92,3141,2020-03-01 11:40:04,False,,"#coronavirus, #CoronavirusOutbreak"
RT @felizworldwide: Everyone is taking personal hygiene seriously after the Corona-Virus.  #coronavirus #CoronavirusOutbreak  #WuhanCoronav…,BABBOSKY,UBIQUITOUS,0,350,897,41838,2020-03-01 11:39:34,False,,"#coronavirus, #CoronavirusOutbreak"
RT @ronnie_yeung: //Winnie The Flu 簡稱 #WTF //🤣🤣🤣  Source by Yeahman Tse via Legend Bricks LEGO 交流區  #ChinaVirus #ChinaCoronaVirus #WuhanCor…,miyayagani,,0,171,2297,34193,2020-03-01 11:35:11,False,,"#WTF, #ChinaVirus, #ChinaCoronaVirus"
RT @Kirby_Cash: Person in Washington state first in U.S. to die from coronavirus | KTLA #coronavirus #coronavirususa #coronaviruschina #Cor…,kwekupackwell,,0,2,1520,4796,2020-03-01 11:34:46,False,,"#coronavirus, #coronavirususa, #coronaviruschina"
RT @felizworldwide: Everyone is taking personal hygiene seriously after the Corona-Virus.  #coronavirus #CoronavirusOutbreak  #WuhanCoronav…,junheeamaflop,w/Fivi,0,350,1225,5581,2020-03-01 11:32:55,False,,"#coronavirus, #CoronavirusOutbreak"
RT @abuchanlife: Japanese people at costco rushing to get all toilet papers. panic started lol #toiletpaper #Coronavid19 #トイレットペーパー #corona…,BayuKhrisna14,,0,93,623,342673,2020-03-01 11:31:26,False,,"#toiletpaper, #Coronavid19, #トイレットペーパー"
RT @felizworldwide: Everyone is taking personal hygiene seriously after the Corona-Virus.  #coronavirus #CoronavirusOutbreak  #WuhanCoronav…,MsrLeBlanc,,0,350,234,3045,2020-03-01 11:30:16,False,,"#coronavirus, #CoronavirusOutbreak"
RT @TeresaW17993222: @rajeev_mp @realDonaldTrump @UN @WHO @DrSJaishankar @PMOIndia China and WHO collude to risk human lives of the world.…,ninadkulki,,0,30,30,2494,2020-03-01 11:29:34,False,,
RT @felizworldwide: Everyone is taking personal hygiene seriously after the Corona-Virus.  #coronavirus #CoronavirusOutbreak  #WuhanCoronav…,mmontagnana,"Ferrara, Emilia Romagna",0,350,307,11726,2020-03-01 11:29:05,False,,"#coronavirus, #CoronavirusOutbreak"
"RT @kotamama318: #WuhanCoronavirus  Remember that #COVID19 has emerged from China, and that the Chinese government has sought to cover it u…",Yasu1219K,,0,77,161,22453,2020-03-01 11:28:15,False,,"#WuhanCoronavirus, #COVID19"
@JarslowJoshua @HuXijin_GT You are right on. We need to rename coronavirus to #WuhanCoronavirus,tradersongkim,"Dallas, TX",0,0,27,555,2020-03-01 11:27:42,False,,#WuhanCoronavirus
RT @HazelLai10: @babylrocks1 @giveus_liberty @benedictrogers @SolomonYue @HawleyMO #HKPoliceTerrorists as #CCP’s henchmen commit crime agai…,giveus_liberty,Hong Kong,0,1,4628,816,2020-03-01 11:27:41,False,,"#HKPoliceTerrorists, #CCP"
RT @YuYregina: @fkeverycountry #COVID2019 made in #Wuhan. Let's call it #WuhanCoronavirus .,miyayagani,,0,1,2297,34193,2020-03-01 11:27:27,False,,"#COVID2019, #Wuhan, #WuhanCoronavirus"
RT @WBYeats1865: #China Vegetables donated to #Wuhan were not sent into Wuhan &amp; left to rot on the roadside.  Chinese officials consider se…,hunchi_lu,"Chunghua, Taiwan",0,716,89,2515,2020-03-01 11:24:57,False,,"#China, #Wuhan"
