tweet_text,username,location,favorite_count,retweet_count,followers_count,statuses_count,timestamp,verified,coordinates,all_hashtags
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,TsuiSuet,,0,965,689,5817,2020-03-01 12:00:31,False,,#HongKong
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,maychen15018342,,0,1431,38,5728,2020-03-01 12:00:13,False,,"#HongKongProtests, #HKpolice"
"RT @SenToddYoung: In the midst of the #coronavirus crisis, the Communist Party in Beijing continues its focus on silencing pro-democracy vo…",maychen15018342,,0,2101,38,5728,2020-03-01 11:59:40,False,,#coronavirus
"RT @HawleyMO: My friend Jimmy Lai, brave voice for free speech &amp; basic rights in #HongKong, was arrested just hours ago by #Beijing puppet…",jomudchun,,0,6970,2,608,2020-03-01 11:59:37,False,,"#HongKong, #Beijing"
"RT @HawleyMO: My friend Jimmy Lai, brave voice for free speech &amp; basic rights in #HongKong, was arrested just hours ago by #Beijing puppet…",WayneChiu14,香港,0,6970,7,1331,2020-03-01 11:58:53,False,,"#HongKong, #Beijing"
RT @C_Barraud: 🇭🇰 #HongKong airlines call for more financial assistance to weather the crisis caused by #coronavirus and anti-government pr…,MoneywhoreTrump,"Washington, DC",0,6,439,74638,2020-03-01 11:58:35,False,,"#HongKong, #coronavirus"
"RT @SenToddYoung: In the midst of the #coronavirus crisis, the Communist Party in Beijing continues its focus on silencing pro-democracy vo…",jjjyyy831,,0,2101,2920,4402,2020-03-01 11:57:21,False,,#coronavirus
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,ZawToe14,Myanmar/Burma,0,1431,45,267,2020-03-01 11:56:51,False,,"#HongKongProtests, #HKpolice"
"RT @HawleyMO: My friend Jimmy Lai, brave voice for free speech &amp; basic rights in #HongKong, was arrested just hours ago by #Beijing puppet…",BenedictEO2,,0,6970,1,288,2020-03-01 11:56:16,False,,"#HongKong, #Beijing"
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,Sebasti16682292,,0,965,1101,129017,2020-03-01 11:55:17,False,,#HongKong
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,Jonatha72499712,Hong kong ,0,965,775,1042,2020-03-01 11:55:05,False,,#HongKong
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,rgts411Heiman,,0,1431,234,81404,2020-03-01 11:55:01,False,,"#HongKongProtests, #HKpolice"
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,BeLightHK,,0,1431,12551,5990,2020-03-01 11:54:28,False,,"#HongKongProtests, #HKpolice"
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,Wong53369409,,0,1431,122,1277,2020-03-01 11:54:10,False,,"#HongKongProtests, #HKpolice"
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,yyyyyl830,,0,1431,29,709,2020-03-01 11:53:59,False,,"#HongKongProtests, #HKpolice"
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,Remmr2,Hong Kong,0,965,9494,61174,2020-03-01 11:53:38,False,,#HongKong
SCMP: #Coronavirus fuels rise in #HongKong domestic worker sackings Dozens of domestic workers in Hong Kong have be… https://t.co/xrlfN7SKZw,PM_Thornton,"Oxford, UK",1,0,5296,18392,2020-03-01 11:53:00,False,,"#Coronavirus, #HongKong"
"RT @HawleyMO: My friend Jimmy Lai, brave voice for free speech &amp; basic rights in #HongKong, was arrested just hours ago by #Beijing puppet…",susan751,,0,6970,1,221,2020-03-01 11:52:16,False,,"#HongKong, #Beijing"
RT @Ruptly: Patient's dog quarantined after testing positive for #coronavirus - official #HongKong https://t.co/ZneLd4nItn,NiemieckaPolity,Deutschland,0,61,984,142868,2020-03-01 11:51:45,False,,"#coronavirus, #HongKong"
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,abelki1,,0,965,270,6568,2020-03-01 11:51:21,False,,#HongKong
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,pault92429,,0,1431,140,5396,2020-03-01 11:51:10,False,,"#HongKongProtests, #HKpolice"
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,SK81819,,0,965,116,6037,2020-03-01 11:50:51,False,,#HongKong
RT @C_Barraud: 🇭🇰 #HongKong airlines call for more financial assistance to weather the crisis caused by #coronavirus and anti-government pr…,felixdennis123,,0,6,266,1782,2020-03-01 11:49:06,False,,"#HongKong, #coronavirus"
RT @HongKongFP: Panic and rumours show how Hong Kong gov’t lost credibility long before the coronavirus arrived https://t.co/84GStV0SgS #Ho…,holdincourt,Hong Kong,0,190,1523,62553,2020-03-01 11:48:33,False,,
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,TommyC37489798,,0,1431,7,327,2020-03-01 11:48:28,False,,"#HongKongProtests, #HKpolice"
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,gavthestreetboy,,0,1431,66,17896,2020-03-01 11:48:04,False,,"#HongKongProtests, #HKpolice"
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,Surman_37564,,0,1431,76,3683,2020-03-01 11:48:00,False,,"#HongKongProtests, #HKpolice"
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,Purity42513414,,0,1431,889,9267,2020-03-01 11:47:22,False,,"#HongKongProtests, #HKpolice"
RT @HongKongFP: Panic and rumours show how Hong Kong gov’t lost credibility long before the coronavirus arrived https://t.co/84GStV0SgS #Ho…,hk_carlos,Hong Kong,0,190,910,6552,2020-03-01 11:47:10,False,,
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,Belchan15,,0,1431,31,533,2020-03-01 11:47:04,False,,"#HongKongProtests, #HKpolice"
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,Flowerhanako1,"New Jersey, USA",0,1431,431,15749,2020-03-01 11:46:47,False,,"#HongKongProtests, #HKpolice"
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,Enoch83448375,,0,1431,156,265,2020-03-01 11:46:20,False,,"#HongKongProtests, #HKpolice"
RT @C_Barraud: 🇭🇰 #HongKong airlines call for more financial assistance to weather the crisis caused by #coronavirus and anti-government pr…,GreenMonsterah,,0,6,2811,24751,2020-03-01 11:45:56,False,,"#HongKong, #coronavirus"
RT @C_Barraud: 🇭🇰 #HongKong airlines call for more financial assistance to weather the crisis caused by #coronavirus and anti-government pr…,YKCTOT,I ma paper chaser stfu,0,6,241,39144,2020-03-01 11:45:25,False,,"#HongKong, #coronavirus"
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,derkin1224,Hong Kong,0,1431,4,639,2020-03-01 11:45:19,False,,"#HongKongProtests, #HKpolice"
RT @C_Barraud: 🇭🇰 #HongKong airlines call for more financial assistance to weather the crisis caused by #coronavirus and anti-government pr…,magicaGrmente22,,0,6,6266,119908,2020-03-01 11:45:16,False,,"#HongKong, #coronavirus"
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,keiaoa,,0,965,283,2108,2020-03-01 11:44:51,False,,#HongKong
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,zones2surf,,0,965,90,4422,2020-03-01 11:43:35,False,,#HongKong
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,mmhk888,,0,965,464,14021,2020-03-01 11:42:58,False,,#HongKong
RT @C_Barraud: 🇭🇰 #HongKong airlines call for more financial assistance to weather the crisis caused by #coronavirus and anti-government pr…,hakanul38750473,,0,6,145,13491,2020-03-01 11:42:43,False,,"#HongKong, #coronavirus"
The first imported case of #coronavirus infection was detected in #Shenzhen. Media reported the patient came from… https://t.co/hsLqYLk1hI,GlobalTimesBiz,Beijing China ,0,0,5574,10032,2020-03-01 11:42:42,False,,"#coronavirus, #Shenzhen"
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,Justin_YCH,Live in Hong Kong,0,1431,10,40,2020-03-01 11:42:14,False,,"#HongKongProtests, #HKpolice"
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,nobodybtsforev1,United States,0,1431,60,2005,2020-03-01 11:42:14,False,,"#HongKongProtests, #HKpolice"
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,AmyLi68050026,Hong Kong,0,965,155,2720,2020-03-01 11:41:47,False,,#HongKong
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,yingggg13385271,,0,965,307,483,2020-03-01 11:41:27,False,,#HongKong
RT @HongKongFP: Panic and rumours show how Hong Kong gov’t lost credibility long before the coronavirus arrived https://t.co/84GStV0SgS #Ho…,hkxbtsot7,,0,190,295,15588,2020-03-01 11:41:26,False,,
"RT @HawleyMO: My friend Jimmy Lai, brave voice for free speech &amp; basic rights in #HongKong, was arrested just hours ago by #Beijing puppet…",Eddie91346089,,0,6970,656,1019,2020-03-01 11:41:02,False,,"#HongKong, #Beijing"
RT @HongKongFP: Panic and rumours show how Hong Kong gov’t lost credibility long before the coronavirus arrived https://t.co/84GStV0SgS #Ho…,ohdear45690436,,0,190,162,3012,2020-03-01 11:40:32,False,,
RT @HongKongFP: Panic and rumours show how Hong Kong gov’t lost credibility long before the coronavirus arrived https://t.co/84GStV0SgS #Ho…,loserleaves,Oman,0,190,126,33926,2020-03-01 11:40:27,False,,
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,mkchyy,香港,0,1431,1800,4999,2020-03-01 11:39:30,False,,"#HongKongProtests, #HKpolice"
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,heihei_siumiu,HongKong,0,965,4175,10522,2020-03-01 11:39:02,False,,#HongKong
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,standwithHKerrr,,0,965,888,7739,2020-03-01 11:38:39,False,,#HongKong
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,bryanchung510,USA,0,1431,857,8202,2020-03-01 11:38:05,False,,"#HongKongProtests, #HKpolice"
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,johk2019,,0,965,211,409,2020-03-01 11:37:42,False,,#HongKong
🇭🇰 #HongKong airlines call for more financial assistance to weather the crisis caused by #coronavirus and anti-gove… https://t.co/JGtlfGiKOx,C_Barraud,"Paris, Ile-de-France",11,6,50451,27084,2020-03-01 11:37:34,True,,"#HongKong, #coronavirus"
RT @Dystopia992: #HongKongProtests  — “Asia’s Best” returning to the field. Can @hkpoliceforce explain what this lunatic #HKpolice is doing…,kurama22387897,Hong Kong,0,1431,173,465,2020-03-01 11:37:29,False,,"#HongKongProtests, #HKpolice"
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,JojoWon69956948,,0,965,198,5688,2020-03-01 11:36:50,False,,#HongKong
RT @Lazyyyyyyy: @VivienneChow And #CarrieLam wants to take credit for the low number of cases as if she's done something meaningful to help…,HK_not_safe,,0,1,994,15558,2020-03-01 11:36:23,False,,#CarrieLam
RT @ColsonCenter: Xia Baolong's appointment confirms there’s a connection between Christianity &amp; the unrest in #HongKong. Beijing understan…,KKLeung1,Hong Kong,0,965,616,16027,2020-03-01 11:35:14,False,,#HongKong
