tweet_text,username,location,favorite_count,retweet_count,followers_count,statuses_count,timestamp,verified,coordinates,all_hashtags
RT @RockyWinston007: Everyone should watch and share this excellent video by Singapore’s Health Minister Mr. Gan Kim Yong.  There are many…,Fulk_FitzWarin,,0,852,808,93672,2020-03-01 12:01:01,False,,
RT @RockyWinston007: Everyone should watch and share this excellent video by Singapore’s Health Minister Mr. Gan Kim Yong.  There are many…,sgs2852,"Central City, Colorado",0,852,2273,26375,2020-03-01 12:00:55,False,,
"RT @ChinaDaily: Good news! A 98-year-old woman infected with novel #coronavirus, the oldest critically ill patient in the country, was disc…",faeforunicorn,,0,21,11,2974,2020-03-01 12:00:26,False,,#coronavirus
"RT @ChinaDaily: Good news! More than 130 patients, ranging in age from 19 to 75, were discharged from a makeshift hospital in Dongxihu dist…",soluna789,,0,31,17,2061,2020-03-01 12:00:11,False,,
RT @DazAltTheory: #武汉疫情 #武汉 #武汉肺炎 #武汉肺 #CoronaVirusOutbreak #CoV2019 #COVID19 #Wuhan #China #CoronaVirusUK #ArrowePark #COVID19italia  Like…,heyuqi20171,,0,7,3,68,2020-03-01 12:00:04,False,,"#武汉疫情, #武汉, #武汉肺炎, #武汉肺, #CoronaVirusOutbreak, #CoV2019, #COVID19, #Wuhan, #China, #CoronaVirusUK, #ArrowePark, #COVID19italia"
Exclusive: #PopeFrancis extremely ill and diagnosed with acute pneumonia. Test has come back positive for… https://t.co/PeOajJWGVt,poisonedpshow,"New York, USA",2,0,362,571,2020-03-01 11:59:55,False,,#PopeFrancis
RT @RockyWinston007: Everyone should watch and share this excellent video by Singapore’s Health Minister Mr. Gan Kim Yong.  There are many…,cin60119002,,0,852,12167,130924,2020-03-01 11:59:37,False,,
"RT @edwincwc: Indeed. China admitted years ago it was Studying combining #SARS #AIDS #EBOLA virus into ""Super Virus"". Published Paper, shoc…",nf721831101,Hong Kong,0,13,542,13358,2020-03-01 11:59:31,False,,"#SARS, #AIDS, #EBOLA"
"RT @ChinaDaily: Good news! More than 130 patients, ranging in age from 19 to 75, were discharged from a makeshift hospital in Dongxihu dist…",KhaledDonia2,,0,31,70,4118,2020-03-01 11:59:04,False,,
RT @globaltimesnews: #US #educator who just came to Wuhan in #December finds self-living life in quarantine in #Wuhan after #COVID19 outbre…,GaryZi2,"Alum Rock, CA",0,7,35,768,2020-03-01 11:58:55,False,,"#US, #educator, #December, #Wuhan, #COVID19"
RT @Tsinghua_Uni: Medical staff from all Tsinghua hospitals have joined the battle against the novel #coronavirus. No matter whether they a…,mood92509339,,0,3717,15,2369,2020-03-01 11:58:55,False,,#coronavirus
"RT @ChinaInFocusNTD: ""They are chasing me now. They must be trying to isolate me. I am asking you all for help!"" Chinese YouTuber Kcriss Li…",MarcinMarsza,,0,433,0,44,2020-03-01 11:58:51,False,,
"RT @ChinaDaily: Good news! A 98-year-old woman infected with novel #coronavirus, the oldest critically ill patient in the country, was disc…",neilpoloso,Solomon Islands,0,21,307,2844,2020-03-01 11:58:00,False,,#coronavirus
"RT @ChinaDaily: Good news! A 98-year-old woman infected with novel #coronavirus, the oldest critically ill patient in the country, was disc…",TheEclaired,Nowhere,0,21,4,304,2020-03-01 11:57:26,False,,#coronavirus
"RT @ProfStrachan: #Coronavirus: Nasa images show #China pollution clear amid slowdown  ""#Nasa scientists said the reduction in levels of ni…",aoifekirk,"London, England",0,169,843,5242,2020-03-01 11:56:10,False,,"#Coronavirus, #China, #Nasa"
"RT @ChinaDaily: Good news! A 98-year-old woman infected with novel #coronavirus, the oldest critically ill patient in the country, was disc…",UngChamroeun,Cambodia,0,21,3096,4833,2020-03-01 11:56:00,False,,#coronavirus
"New: n #Wuhan, lockdown challenges businesses, individuals survival. Only in Global Observer.… https://t.co/UPWU5JsRUC",MattCData,"Boston, Massachusetts",0,0,6654,33731,2020-03-01 11:55:22,False,,#Wuhan
RT @evangelion01241: The soldiers in Hubei province worked really hard to translocate iatrical goods and daily supplies donated from other…,nuunoiz,Bangkok,0,2,56,1723,2020-03-01 11:55:01,False,,
RT @felizworldwide: Everyone is taking personal hygiene seriously after the Corona-Virus.  #coronavirus #CoronavirusOutbreak  #WuhanCoronav…,sacheinbaala,"Redmond, WA",0,350,140,763,2020-03-01 11:54:52,False,,"#coronavirus, #CoronavirusOutbreak"
"RT @DrDenaGrayson: 🚨BREAKING: #China reports ≥15 new deaths from #coronavirus in 1 day, raising the death toll by 50% to 41.  China is buil…",qdontra,,0,3713,23,36,2020-03-01 11:54:11,False,,"#China, #coronavirus"
"RT @ChinaDaily: Good news! More than 130 patients, ranging in age from 19 to 75, were discharged from a makeshift hospital in Dongxihu dist…",Li_Baorong,"Caracas, Venezuela",0,31,448,3890,2020-03-01 11:54:07,False,,
RT @RockyWinston007: Everyone should watch and share this excellent video by Singapore’s Health Minister Mr. Gan Kim Yong.  There are many…,silvergogal,USA,0,852,2085,20290,2020-03-01 11:53:45,False,,
RT @RockyWinston007: Everyone should watch and share this excellent video by Singapore’s Health Minister Mr. Gan Kim Yong.  There are many…,AndreasKM4,ΜΟΛΩΝ ΛΑΒΕ,0,852,1517,42831,2020-03-01 11:53:41,False,,
RT @fightcovasone: Know WUHAN 👇to protect yourself from #coronavirus #COVID19 #wuhan #fightvirusasone #fightcovasone https://t.co/t96M5lXuyv,Ninhyl,En todas partes,0,1,19,369,2020-03-01 11:52:58,False,,"#coronavirus, #COVID19, #wuhan, #fightvirusasone, #fightcovasone"
RT @StefVanDerWiz: @spectatorindex What Awaits Us? It's Time! Follow Me! #CoronaVirus #WHO #Italy #Korea #USA #China #Sweden #Iran #Fear #W…,StefVanDerWiz,"Rhinebeck, NY",0,3,280,27605,2020-03-01 11:52:31,False,,"#CoronaVirus, #WHO, #Italy, #Korea, #USA, #China, #Sweden, #Iran, #Fear"
"RT @ProfStrachan: #Coronavirus: Nasa images show #China pollution clear amid slowdown  ""#Nasa scientists said the reduction in levels of ni…",IrishDocsEnv,"Dublin City, Ireland",0,169,1141,567,2020-03-01 11:52:27,False,,"#Coronavirus, #China, #Nasa"
RT @CGTNOfficial: Doctor's got talent!  A doctor from NW China's Xinjiang at a makeshift hospital in #Wuhan was asked by patients with mild…,GeopoliticalJD,United States and Africa,0,831,2452,44444,2020-03-01 11:52:27,False,,#Wuhan
"RT @ChinaDaily: Good news! A 98-year-old woman infected with novel #coronavirus, the oldest critically ill patient in the country, was disc…",mutalabala,Canada,0,21,8979,318385,2020-03-01 11:52:20,False,,#coronavirus
RT @RockyWinston007: Everyone should watch and share this excellent video by Singapore’s Health Minister Mr. Gan Kim Yong.  There are many…,SanyasiSundu,திருக்கூத்தம்பலம்,0,852,6,327,2020-03-01 11:52:05,False,,
"RT @EpochTimesChina: #Chinese police warn residents not to spread information about #coronavirus on internet. Location: Longhua District, #…",karim_rahi,"London, England",0,267,175,14600,2020-03-01 11:51:36,False,,"#Chinese, #coronavirus"
"Good news! A 98-year-old woman infected with novel #coronavirus, the oldest critically ill patient in the country,… https://t.co/MhvVq7CwBZ",AnalyticaGlobal,Worldwide,0,0,2140,508946,2020-03-01 11:50:25,False,,#coronavirus
"RT @Nectar_Gan: All Dr. Li Wenliang wanted was to save lives. Instead, he was silenced by the #Wuhan police for ""rumourmongering"" and contr…",Informedbeing2,,0,887,8,618,2020-03-01 11:49:57,False,,#Wuhan
"RT @ChinaDaily: Good news! A 98-year-old woman infected with novel #coronavirus, the oldest critically ill patient in the country, was disc…",danielvijay14,"yangon,myanmar",0,21,866,149068,2020-03-01 11:49:36,False,,#coronavirus
"RT @ChinaDaily: Good news! More than 130 patients, ranging in age from 19 to 75, were discharged from a makeshift hospital in Dongxihu dist…",ECvKfXCCGfmzTPF,,0,31,158,7148,2020-03-01 11:48:50,False,,
"RT @ChinaDaily: Good news! A 98-year-old woman infected with novel #coronavirus, the oldest critically ill patient in the country, was disc…",D_GrammarNazi,Somewhere over the rainbow,0,21,309,15212,2020-03-01 11:48:43,False,,#coronavirus
"RT @ChinaDaily: Good news! A 98-year-old woman infected with novel #coronavirus, the oldest critically ill patient in the country, was disc…",BrigitaSilina,,0,21,243,540,2020-03-01 11:48:42,False,,#coronavirus
RT @RockyWinston007: Everyone should watch and share this excellent video by Singapore’s Health Minister Mr. Gan Kim Yong.  There are many…,mary_arizona,USA,0,852,7414,21939,2020-03-01 11:47:54,False,,
"RT @Perseus852: Am pretty sure @CCTV once published a video that had the comment, ""Only #criminals and #terrorists wear #masks.""  Image via…",HYKYGZ,"Toronto, Ontario",0,3,92,12618,2020-03-01 11:47:45,False,,"#criminals, #terrorists, #masks"
"RT @ChinaDaily: Good news! A 98-year-old woman infected with novel #coronavirus, the oldest critically ill patient in the country, was disc…",juangpelaez,Miami,0,21,216,11672,2020-03-01 11:47:33,False,,#coronavirus
"RT @ChinaDaily: Good news! A 98-year-old woman infected with novel #coronavirus, the oldest critically ill patient in the country, was disc…",matthew_c_perry,Yokosuka,0,21,1763,207764,2020-03-01 11:46:58,False,,#coronavirus
"RT @ChinaDaily: Good news! More than 130 patients, ranging in age from 19 to 75, were discharged from a makeshift hospital in Dongxihu dist…",MrLogzzy,,0,31,77,2697,2020-03-01 11:46:22,False,,
RT @che85312407: @bueti The world is paying a price for the lack of freedom of speech in 🇨🇳.  🇨🇳 doctors who revealed the situation at an e…,miyayagani,,0,1,2297,34193,2020-03-01 11:45:59,False,,
RT @felizworldwide: Everyone is taking personal hygiene seriously after the Corona-Virus.  #coronavirus #CoronavirusOutbreak  #WuhanCoronav…,realkadaknath,,0,350,20,587,2020-03-01 11:45:31,False,,"#coronavirus, #CoronavirusOutbreak"
"RT @Perseus852: Am pretty sure @CCTV once published a video that had the comment, ""Only #criminals and #terrorists wear #masks.""  Image via…",peterhandlebar,Hong Kong,0,3,463,56395,2020-03-01 11:44:51,False,,"#criminals, #terrorists, #masks"
Know WUHAN 👇to protect yourself from #coronavirus #COVID19 #wuhan #fightvirusasone #fightcovasone https://t.co/t96M5lXuyv,fightcovasone,,1,1,40,161,2020-03-01 11:44:51,False,,"#coronavirus, #COVID19, #wuhan, #fightvirusasone, #fightcovasone"
RT @VideosCorona: 1️⃣0️⃣ Coronavirus Video 10 |#coronavirusvideo    #coronavirus #Wuhan #Vuhan #coronaviruswuhan #2019nCoV #Turkey https://…,nuunoiz,Bangkok,0,10,56,1723,2020-03-01 11:43:51,False,,"#coronavirusvideo, #coronavirus, #Wuhan, #Vuhan, #coronaviruswuhan, #2019nCoV, #Turkey"
RT @VideosCorona: 1️⃣1️⃣ Coronavirus Video 11 |#coronavirusvideo    #coronavirus #Wuhan #Vuhan #coronaviruswuhan #2019nCoV #Turkey https://…,nuunoiz,Bangkok,0,7,56,1723,2020-03-01 11:43:42,False,,"#coronavirusvideo, #coronavirus, #Wuhan, #Vuhan, #coronaviruswuhan, #2019nCoV, #Turkey"
