tweet_text,username,location,favorite_count,retweet_count,followers_count,statuses_count,timestamp,verified,coordinates,all_hashtags
Exclusive: #PopeFrancis extremely ill and diagnosed with acute pneumonia. Test has come back positive for… https://t.co/PeOajJWGVt,poisonedpshow,"New York, USA",3,0,362,571,2020-03-01 11:59:55,False,,#PopeFrancis
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,oseigyimah9,,0,393,150,1262,2020-03-01 11:58:58,False,,"#Italy, #COVID19"
"RT @CEDRdigital: #Coronavirus UPDATE Feb 29 9PM EST The current GLOBAL statistics - Confirmed cases in: -86,979 total in🌎 -79,824 Mainland…",edgeoforever,City on the Edge of forever,0,10,3467,435534,2020-03-01 11:57:00,False,,#Coronavirus
"RT @Apex_WW: #NEW: American Airlines to suspend all #US flights to Milan, #Italy due to the #coronavirus outbreak. - Reuters  #Coronavid19…",sacd420,New York,0,31,47,1605,2020-03-01 11:56:39,False,,"#NEW, #US, #Italy, #coronavirus, #Coronavid19"
"🇫🇷 Management of #coronavirus: as #virus ""already circulates"" in France, students returning from #Italy ""will be ab… https://t.co/6sHwr2N3M5",covid2019_info,"London, England",0,0,32,47,2020-03-01 11:56:17,False,,"#coronavirus, #virus, #Italy"
"RT @colvieux: Dear American friends, in Italy we are not all infected or dying from #Coronavirus. The travel ban is ridiculous like your or…",tweetgarbato,"Milano, Lombardia",0,4,387,15574,2020-03-01 11:56:12,False,,#Coronavirus
Italy's #SerieA plunges into chaos as #Coronavirus forces authorities to postpone two matchdays leaving club furiou… https://t.co/eRir7jsUpD,GiaGalar,"Berlino, Germania",0,0,584,920,2020-03-01 11:56:03,False,,"#SerieA, #Coronavirus"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,alemuw1,"Atlanta, GA, USA ",0,393,9484,11330,2020-03-01 11:55:10,False,,"#Italy, #COVID19"
RT @StefVanDerWiz: @spectatorindex What Awaits Us? It's Time! Follow Me! #CoronaVirus #WHO #Italy #Korea #USA #China #Sweden #Iran #Fear #W…,StefVanDerWiz,"Rhinebeck, NY",0,3,280,27605,2020-03-01 11:52:31,False,,"#CoronaVirus, #WHO, #Italy, #Korea, #USA, #China, #Sweden, #Iran, #Fear"
"RT @yyoo11122: #Coronavirus upgrades #risk level of spread: ""Very high"" WHO: 28 feb 2020 Coronavirus risk of spread &amp; impact now 'very #hig…",roscyprus,"Sheffield, England",0,4,342,2222,2020-03-01 11:51:01,False,,"#Coronavirus, #risk"
RT @WHO: WHO has deployed infection prevention and control (IPC) specialists to #Italy🇮🇹 to support the #COVID19 response and to facilitate…,Nicola_Bressi,"Trieste, Sicilia, planet Earth",0,393,1050,12455,2020-03-01 11:49:26,False,,"#Italy, #COVID19"
RT @CDCgov: #CDCTRAVELNOTICE: #Coronavirus in #Italy and #Iran. CDC recommends avoiding all nonessential travel to Italy and Iran. More inf…,kelli_doctor,,0,661,41,35,2020-03-01 11:49:19,False,,"#CDCTRAVELNOTICE, #Coronavirus, #Italy, #Iran"
"RT @nikki_miumiu: Pope Francis sick a day after supporting #Coronavirus sufferers, the #Vatican has not specified the nature of the pope’s…",OYbSRl9PgWjUAfj,,0,263,0,7,2020-03-01 11:48:44,False,,"#Coronavirus, #Vatican"
Story about the Pope being unwell is true. Story that Vatican has released statement he has been tested and found p… https://t.co/PaQcHNAeJa,Ayonadre,"New York, USA",0,0,1658,20418,2020-03-01 11:47:56,False,,
"#CoronaVirus News #Italy and EU: Italian Coronavirus Cases Top 1,000 - Bloomberg https://t.co/QFSZw8wRbz",3fatcats,Sea of Green,0,0,1629,146988,2020-03-01 11:47:19,False,,"#CoronaVirus, #Italy"
