timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-20 03:47:02,Kentaro Iwata Explains Daimond Princess Cruise Experience https://t.co/v3T40Kmnc2 via @YouTube. Highly critical of Japanese government management of #COVID19 #CORONAVIRUS Video has been removed.,joshallenonline,"['COVID19', 'CORONAVIRUS']",890
2020-02-20 03:46:59,"Good obs.: ""What if the so call ""reinfections""(leading to death),are just a ""relapse"";same pattern as other viruses:herpes, shingles,etc.which re manifest when the conditions are right?"" #Coronavirus #CoronavirusOutbreak #COVID_19 #CoronaVirusFacts #BioWeapon  #COVID19 #2019nCoV",JicolART,"['Coronavirus', 'CoronavirusOutbreak', 'COVID_19', 'CoronaVirusFacts', 'BioWeapon', 'COVID19', '2019nCoV']",360
2020-02-20 03:46:43,"Just a day before the mass disembarking, a Japanese infectious disease specialist Dr.Iwata who visited the cruise ship offered a damning assessment of what he had seen: “Completely chaotic. I would not be surprised if they spread infections,” #covid19  https://t.co/F7LdQC1bpL",CaptainYukio,['covid19'],151
2020-02-20 03:46:39,#China decides to postpone new semester of several universities in the wake of #COVID19. For more News in details #MorningNews: https://t.co/AY5lZNx4lo,airnewsalerts,"['China', 'COVID19', 'MorningNews']",2223126
2020-02-20 03:46:27,Hong Kong Airlines sacks 170 day after slashing in-flight services https://t.co/hrEZoS6mif via @scmpnews #COVID19,smarttimp,['COVID19'],479
2020-02-20 03:46:16,@AFP Read the National Geographic article 20% suffer some sort of permanent organ damage. Upon re infection..YES you can get the Coronavirus AGAIN..comes risk of cardiac arrest. That’s why quarantine is happening. It’s NOT the flu. Risk of death is greater. #covid19,MichelleNoelBoo,['covid19'],4
2020-02-20 03:46:09,"#COVID19: 2 passengers from Diamond Princess have died, reports say https://t.co/aL2rgAfOhf",Crof,['COVID19'],7882
2020-02-20 03:46:06,"@nCoVSurviving Hiding #coronavirus may be punishable by death, China court says  https://t.co/j9jYwPHFAT  #COVID19 #SARSCoV2 #outbreak #Wuhan  #China #pandemic #USA #Australia #UK #Japan #Singapore #California #Texas #Georgia #NYC #Florida #Hawaii #Chicago #HongKong #2019nCoV #CDC #US #NYC",K_B79,"['coronavirus', 'COVID19', 'SARSCoV2', 'outbreak', 'Wuhan', 'China', 'pandemic', 'USA', 'Australia', 'UK', 'Japan', 'Singapore', 'California', 'Texas', 'Georgia', 'NYC', 'Florida', 'Hawaii', 'Chicago', 'HongKong', '2019nCoV', 'CDC', 'US', 'NYC']",2630
2020-02-20 03:45:27,"@CDCFlu Dr. Patel, so re- your quote, WHY are you denying it? Why hasn’t the testing begun? How many covid19 patients are out there spreading the virus, right now?? @DrAnitaPatel  @CDCFlu #DrAnitaPatel #COVID19 #coronavirus #truthsaveslives #thecatisoutofthebag",fableantiques,"['DrAnitaPatel', 'COVID19', 'coronavirus', 'truthsaveslives', 'thecatisoutofthebag']",4
2020-02-20 03:45:02,Beijing's efforts to cautiously push ahead with preparations for the 2022 #WinterGames amid the #coronavirus crisis have earned the wholehearted backing of the International Olympic Committee. #COVID19 #Beijing2022 https://t.co/Aqt32REqrU https://t.co/hZUze4xZUZ,ChinaDaily,"['WinterGames', 'coronavirus', 'COVID19', 'Beijing2022']",4286373
2020-02-20 03:45:00,"Having wiped out 60 percent of China's pig industry and a quarter of global supply, #ASF is a 'Double punch' for countries facing #COVID19 threat: https://t.co/xcRa89Bi6A",OrraniCnsltng,"['ASF', 'COVID19']",140
2020-02-20 03:45:00,"With insufficient hospital beds in the fight against #Covid19, Wuhan has turned to converting public buildings into temporary facilities. https://t.co/SLAbN2tawp",SCMPNews,['Covid19'],713464
2020-02-20 03:44:34,what's even more more wild is 2 people were reported dead from #COVID19 DURING this debate https://t.co/tksfIqrcWD,_jacquie_lee,['COVID19'],1505
