timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-20 03:46:06,"@nCoVSurviving Hiding #coronavirus may be punishable by death, China court says  https://t.co/j9jYwPHFAT  #COVID19 #SARSCoV2 #outbreak #Wuhan  #China #pandemic #USA #Australia #UK #Japan #Singapore #California #Texas #Georgia #NYC #Florida #Hawaii #Chicago #HongKong #2019nCoV #CDC #US #NYC",K_B79,"['coronavirus', 'COVID19', 'SARSCoV2', 'outbreak', 'Wuhan', 'China', 'pandemic', 'USA', 'Australia', 'UK', 'Japan', 'Singapore', 'California', 'Texas', 'Georgia', 'NYC', 'Florida', 'Hawaii', 'Chicago', 'HongKong', '2019nCoV', 'CDC', 'US', 'NYC']",2630
2020-02-20 02:54:06,"5)To find out the latest news in the fight against the #COVID19 #coronavirus in the #US, check the Center for Disease Control's website at: https://t.co/DYSW6O4Sly. They have information for the public, healthcare practitioners, schools, airlines, etc. #nCoV_2019 #coronavirususa https://t.co/LF28ycjgod",CEDRdigital,"['COVID19', 'coronavirus', 'US', 'nCoV_2019', 'coronavirususa']",6725
2020-02-20 02:54:03,#US #Coronavirus Update Feb 19 8PM EST - 29 confirmed #COVID19 cases in 7 states - All symptomatic cases in isolation - 3 of 15 patients fully recovered - 42 states waiting on 52 test results - US Citizens under Mandatory Quarantine: 900+  2/5 #CoronavirusUSA News Scan #nCoV_2019 https://t.co/1xMCsdh1Rd,CEDRdigital,"['US', 'Coronavirus', 'COVID19', 'CoronavirusUSA', 'nCoV_2019']",6725
2020-02-20 02:40:02,"#GTVoice: While China is fighting against #COVID19 and trying to revive business activities, the #US has not loosened its pressure on the #ChineseEconomy, complicating the battle against downward pressure. https://t.co/pRbsDK2fFw https://t.co/d3BL3pXQ3q",globaltimesnews,"['GTVoice', 'COVID19', 'US', 'ChineseEconomy']",1627698
2020-02-20 02:21:36,"Hundreds of #Americans quarantined onboard #DiamondPrincess cruise ship are heading back to the #US for another 14-day quarantine at military base. Another 70 #Coronavirus cases confirmed onboard the ship, bringing the total 355. #COVID #COVID19 #China #wuhan #冠状病毒",Mina32134295,"['Americans', 'DiamondPrincess', 'US', 'Coronavirus', 'COVID', 'COVID19', 'China', 'wuhan', '冠状病毒']",501
2020-02-20 01:41:12,Two charter flights carrying hundreds of #US citizens evacuated from #DiamondPrincess cruise one plane touched down at Travis Air Force Base in #California and the other landed in #Texas At least 14 of them tested positive for #Coronavirus #COVID #COVID19 #China #wuhan #冠状病毒,Mina32134295,"['US', 'DiamondPrincess', 'California', 'Texas', 'Coronavirus', 'COVID', 'COVID19', 'China', 'wuhan', '冠状病毒']",501
2020-02-20 01:33:16,"#US #military not taking any chances as confirmed #COVID19 cases rises rapidly in #Southkorea. US service member's non-essential travel to and from Daegu will be prohibited, and off-installation travel minimized. Daegu has more than 20 new confirmed cases overnight. https://t.co/Y6CBNk8tjl",yunsukCNA,"['US', 'military', 'COVID19', 'Southkorea']",4541
2020-02-19 23:50:00,Coronavirus Outbreak: San Diego hospital mistakenly discharged coronavirus patient... #US #California #SanDiego #China #UnitedStates #Coronavirus #COVID #COVID19 #CoronavirusOutbreak #WuhanCoronavirus #Corona https://t.co/oZLkFwL7Wx,TPE_connect,"['US', 'California', 'SanDiego', 'China', 'UnitedStates', 'Coronavirus', 'COVID', 'COVID19', 'CoronavirusOutbreak', 'WuhanCoronavirus', 'Corona']",617
2020-02-19 22:58:23,"#US coping with 2nd wave of #influenza - The United States has been hit with a second wave of the flu that has disproportionately affected children, amid ongoing concerns over the #coronavirus . - #COVID19 #Covid19usa  https://t.co/aKDR3DRh45",notaerztin,"['US', 'influenza', 'coronavirus', 'COVID19', 'Covid19usa']",42
2020-02-19 22:40:03,"US politicians and media making accusations against #China, questioning the effectiveness of its response to the epidemic revealed a #US double standard: a former Chinese diplomat #COVID19 https://t.co/lWJ2pEVnwn https://t.co/OdRTpIApHn",globaltimesnews,"['China', 'US', 'COVID19']",1627698
