timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-20 03:47:07,"#WHO reported #Corona as a Global Epidemic but ministry of #health is still asleep, at least there are no efforts visible!  Meanwhile a frequent #traveller send me this pic of #Mumbai #airport #immigration Counters!! Silence Speaks!   @MoHFW_INDIA #Coronavirius #coronavirus @WHO https://t.co/EJOnG0Mp0O",riteshsharma,"['WHO', 'Corona', 'health', 'traveller', 'Mumbai', 'airport', 'immigration', 'Coronavirius', 'coronavirus']",1253
2020-02-20 03:47:03,"""For all the good intentions and the prospect that a payout to poor countries might be on the cards, the bonds remain under fire for failing to deliver sufficient or timely aid."" #coronavirus https://t.co/ZdTsrrE0Yf",TimAllenMDJD,['coronavirus'],7692
2020-02-20 03:47:02,Kentaro Iwata Explains Daimond Princess Cruise Experience https://t.co/v3T40Kmnc2 via @YouTube. Highly critical of Japanese government management of #COVID19 #CORONAVIRUS Video has been removed.,joshallenonline,"['COVID19', 'CORONAVIRUS']",890
2020-02-20 03:46:59,"Good obs.: ""What if the so call ""reinfections""(leading to death),are just a ""relapse"";same pattern as other viruses:herpes, shingles,etc.which re manifest when the conditions are right?"" #Coronavirus #CoronavirusOutbreak #COVID_19 #CoronaVirusFacts #BioWeapon  #COVID19 #2019nCoV",JicolART,"['Coronavirus', 'CoronavirusOutbreak', 'COVID_19', 'CoronaVirusFacts', 'BioWeapon', 'COVID19', '2019nCoV']",360
2020-02-20 03:46:53,@sugabelly No... they died in the hospital. They were tested positive on the cruise and were sent to the hospital in japan....... #coronavirus #wuhancoronavirus,manucanuck,"['coronavirus', 'wuhancoronavirus']",556
2020-02-20 03:46:48,Have we finally found the CoronaCure? https://t.co/3aarDaS8Cu via @YouTube  #meme #Coronavirus #dank #dankmeme #cute #turtle,Useeikick,"['meme', 'Coronavirus', 'dank', 'dankmeme', 'cute', 'turtle']",0
2020-02-20 03:46:21,2 Passengers From #Coronavirus -Hit Cruise Ship in Japan Die https://t.co/6YvAE60xwg,patti_mint,['Coronavirus'],10330
2020-02-20 03:46:15,I HOPE THIS IS NOT TRUE:  Graphic Warning: Experts say Communist Chinese leaders are lying to the world about the severity of the #coronavirus.   Chinese police shoot and kill the suspected infected that refuse to be evacuated  https://t.co/keeKjq2Hkf 01 #ThursdayThoughts,TomthunkitsMind,"['coronavirus', 'ThursdayThoughts']",67645
2020-02-20 03:46:06,"@nCoVSurviving Hiding #coronavirus may be punishable by death, China court says  https://t.co/j9jYwPHFAT  #COVID19 #SARSCoV2 #outbreak #Wuhan  #China #pandemic #USA #Australia #UK #Japan #Singapore #California #Texas #Georgia #NYC #Florida #Hawaii #Chicago #HongKong #2019nCoV #CDC #US #NYC",K_B79,"['coronavirus', 'COVID19', 'SARSCoV2', 'outbreak', 'Wuhan', 'China', 'pandemic', 'USA', 'Australia', 'UK', 'Japan', 'Singapore', 'California', 'Texas', 'Georgia', 'NYC', 'Florida', 'Hawaii', 'Chicago', 'HongKong', '2019nCoV', 'CDC', 'US', 'NYC']",2630
2020-02-20 03:46:04,"@HSydneyHC Yet to find out if those sanitizers we have been using for decades at home, schools and in hospitals are no longer effective or got infected with #coronavirus 🤔🤔🤔 $HCT, $ZNO, $FOD, $MPH will soon require #corona treatment !!!!",FunTechalyst,"['coronavirus', 'corona']",2933
