timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-20 03:46:06,"@nCoVSurviving Hiding #coronavirus may be punishable by death, China court says  https://t.co/j9jYwPHFAT  #COVID19 #SARSCoV2 #outbreak #Wuhan  #China #pandemic #USA #Australia #UK #Japan #Singapore #California #Texas #Georgia #NYC #Florida #Hawaii #Chicago #HongKong #2019nCoV #CDC #US #NYC",K_B79,"['coronavirus', 'COVID19', 'SARSCoV2', 'outbreak', 'Wuhan', 'China', 'pandemic', 'USA', 'Australia', 'UK', 'Japan', 'Singapore', 'California', 'Texas', 'Georgia', 'NYC', 'Florida', 'Hawaii', 'Chicago', 'HongKong', '2019nCoV', 'CDC', 'US', 'NYC']",2630
2020-02-20 03:44:11,"BREAKING: Two passengers from quarantined cruise ship Diamond Princess have died, Japan says @lauren_mcmah @newscomauHQ #COVID2019  #diamondprincesscruise #Japan #coronavirus https://t.co/QptduUHEcp",marnieoneill7,"['COVID2019', 'diamondprincesscruise', 'Japan', 'coronavirus']",3995
2020-02-20 03:43:40,#BREAKING: Two #coronavirus patients declared dead from the Quarantined cruise ship in #Japan,WarsontheBrink,"['BREAKING', 'coronavirus', 'Japan']",11272
2020-02-20 03:43:23,#Japan's health ministry has just confirmed that two passengers of the #DiamondPrincess cruise ship have died from novel #coronavirus today. https://t.co/3UZ6IFdc1C,Hero_of_Univers,"['Japan', 'DiamondPrincess', 'coronavirus']",17
2020-02-20 03:34:32,#TokyoOlympics should be called off due to #outbreak of #COVID19 (#coronavirus) in #Japan. #东京奥运会取消 #cancelación #отмена #cancellation https://t.co/MkIl7yaGqg,mayuwarai11,"['TokyoOlympics', 'outbreak', 'COVID19', 'coronavirus', 'Japan', '东京奥运会取消', 'cancelación', 'отмена', 'cancellation']",927
2020-02-20 03:33:44,"Two Diamond Princess passengers infected with #coronavirus died  #ADng: #Japanese city of Fukuoka announced it confirmed a man in his 60s living in the city tested positive for #COVID19. It is the first confirmed case in Kyushu, #Japan's 3rd largest city   https://t.co/nget2aND5m",AbuDeng,"['coronavirus', 'ADng', 'Japanese', 'COVID19', 'Japan']",370
2020-02-20 03:31:26,Only way to get authentic #WuhanCoronavirus spread/casualty ratio is by analysing nmbrs coming fm #SouthKorea #Hongkong #Singapore #Japan etc. Not to forget #DiamondPrincess #Westerdam too. Reliance on #China's nmbrs is fooling ppl. That's wat @WHO @UN doing so far. #coronavirus,CaptAKJ,"['WuhanCoronavirus', 'SouthKorea', 'Hongkong', 'Singapore', 'Japan', 'DiamondPrincess', 'Westerdam', 'China', 'coronavirus']",537
2020-02-20 03:30:00,"The number of foreign visitors to #Japan fell for the fourth straight month in January as the impact of a South Korean boycott continued to weigh, with further, sharper falls expected ahead as the #coronavirus keeps away #Chinese travelers  https://t.co/1in5fM74rU https://t.co/XmZS1uSACo",ArabNewsjp,"['Japan', 'coronavirus', 'Chinese']",3316
2020-02-20 03:29:48,"#Coronavirus #UK travel advice: Foreign Office guidelines for #Thailand, #HongKong, #China, #Japan and beyond   @theipaper  https://t.co/8RaTF4gC37",GlobalNewsTH,"['Coronavirus', 'UK', 'Thailand', 'HongKong', 'China', 'Japan']",5531
2020-02-20 03:28:12,"JUST IN: The 2 dead passengers are Japanese, tested positive for new virus  #coronavirus #COVID19 #diamondprincess #japan  https://t.co/ifX9eVkzXy https://t.co/iP5Dul3Jbf",kyodo_english,"['coronavirus', 'COVID19', 'diamondprincess', 'japan']",10292
