timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-20 03:46:06,"@nCoVSurviving Hiding #coronavirus may be punishable by death, China court says  https://t.co/j9jYwPHFAT  #COVID19 #SARSCoV2 #outbreak #Wuhan  #China #pandemic #USA #Australia #UK #Japan #Singapore #California #Texas #Georgia #NYC #Florida #Hawaii #Chicago #HongKong #2019nCoV #CDC #US #NYC",K_B79,"['coronavirus', 'COVID19', 'SARSCoV2', 'outbreak', 'Wuhan', 'China', 'pandemic', 'USA', 'Australia', 'UK', 'Japan', 'Singapore', 'California', 'Texas', 'Georgia', 'NYC', 'Florida', 'Hawaii', 'Chicago', 'HongKong', '2019nCoV', 'CDC', 'US', 'NYC']",2630
2020-02-20 03:41:58,Watch @CGTNOfficial's broadcast: Live: Construction of #Wuhan's Leishenshan prefab hospital for #coronavirus patients continues #COVID19 - Why this no progress?  - Wf https://t.co/U2gW1aKu2m,Wandafay,"['Wuhan', 'coronavirus', 'COVID19']",7966
2020-02-20 03:40:46,"Live updates: #Coronavirus claims lives of two passengers from #DiamondPrincess cruise ship, Japanese media says https://t.co/qBoGtcDm0K #Wuhan",Ingvald1,"['Coronavirus', 'DiamondPrincess', 'Wuhan']",893
2020-02-20 03:40:00,"Watch | Families of Pakistanis stranded in China protest  Over 1,000 students stuck; #Pakistan's ignorance continues  More on this by @akankshaswarups   #coronavirus #Wuhan https://t.co/daztghfnHL",WIONews,"['Pakistan', 'coronavirus', 'Wuhan']",92593
2020-02-20 03:37:18,"#Wuhan under quarantine, #Beijing streets are empty and half of #China population is quarantined. Still #CPC and #XiJinping wants me to believe that only 2000 persons have died. #coronavirus #coronaviruschina  https://t.co/MR0iz656Zq",TheSoupOfLife,"['Wuhan', 'Beijing', 'China', 'CPC', 'XiJinping', 'coronavirus', 'coronaviruschina']",287
2020-02-20 03:36:36,#Nanning a sampling of #china aviation   #coronavirus #ChinaCoronaVirus #Corona #china #WuhanCoronavirus #coronaviruschina #WuhanOutbreak  #WuhanPneumonia  #Wuhan #CoronaVirusOutbreak #CCP #ncov2020 #CoronaVirusFacts #COVID19 #VirusCorona #outbreak #virusoutbreak https://t.co/ALsaY5xBeJ,josephthavaraja,"['Nanning', 'china', 'coronavirus', 'ChinaCoronaVirus', 'Corona', 'china', 'WuhanCoronavirus', 'coronaviruschina', 'WuhanOutbreak', 'WuhanPneumonia', 'Wuhan', 'CoronaVirusOutbreak', 'CCP', 'ncov2020', 'CoronaVirusFacts', 'COVID19', 'VirusCorona', 'outbreak', 'virusoutbreak']",99
2020-02-20 03:35:28,Zero new cases in #Xiamen for 3rd day #coronavirus #ChinaCoronaVirus #Corona #china #WuhanCoronavirus #coronaviruschina #WuhanOutbreak  #WuhanPneumonia  #Wuhan #CoronaVirusOutbreak #CCP #ncov2020 #CoronaVirusFacts #COVID19 #VirusCorona #outbreak #virusoutbreak https://t.co/WcJAOnwQc9,josephthavaraja,"['Xiamen', 'coronavirus', 'ChinaCoronaVirus', 'Corona', 'china', 'WuhanCoronavirus', 'coronaviruschina', 'WuhanOutbreak', 'WuhanPneumonia', 'Wuhan', 'CoronaVirusOutbreak', 'CCP', 'ncov2020', 'CoronaVirusFacts', 'COVID19', 'VirusCorona', 'outbreak', 'virusoutbreak']",99
2020-02-20 03:35:14,Now Mr. Iwata is explaining the situation about coronavirus in Diamond Princess in a live broadcast.  #coronavirus #diamondprincesscruise #wuhan #hubei #COVID  https://t.co/RCbblvegOI,eiki1212,"['coronavirus', 'diamondprincesscruise', 'wuhan', 'hubei', 'COVID']",175
2020-02-20 03:35:13,Major Supply Chain Disruptions Happening - Coronavirus Impacts Everyone | Ethan Galstad. #CoronarvirusOutbreak #coronavirus #COVID19 #china #Wuhan #WuhanCoronavirus   https://t.co/Xh7KcZYsc2,ArtOfTheMakina,"['CoronarvirusOutbreak', 'coronavirus', 'COVID19', 'china', 'Wuhan', 'WuhanCoronavirus']",4
2020-02-20 03:32:29,"videochinatv: ""TCM had been proved effective in treating mild cases."" said Zhang Boli, an academician of Chinese Academy of Engineering. #TCM #China #Wuhan #COVID19 #coronavirus https://t.co/z7MEdAr9Tw via  @YouTube",ChinaObserver2,"['TCM', 'China', 'Wuhan', 'COVID19', 'coronavirus']",133
