timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-19 17:24:10,"#Cantor’s Duncan on #COVID19 Vaccine stockpiling/retail: “Initially, market limited,” “Its a result of a specific viral outbreak &amp; there are limited buyers-governments will want to access them. In the future, retail purchase of therapeutic/prophylactic vaccines will occur.” $MRNA",fezziwig2019,"['Cantor', 'COVID19']",429
2020-02-19 17:24:06,@DavidMcNeill3 the lunatics are running the asylum...  #COVID19 #coronavirus #coronavirusuk https://t.co/9Bbc6FyDUy,Quamasparagi,"['COVID19', 'coronavirus', 'coronavirusuk']",286
2020-02-19 17:24:00,"Missed @JBayNishi 's op-ed?  ""..biology is always a wild card throwing up new challenges, like #COVID19 ....and, less noticed, a disturbing rise in drug-resistant TB, HIV...""   RND investment matters!  #innovate4health @GHTCoalition https://t.co/kT7EtXFXWH",N_Konduri,"['COVID19', 'innovate4health']",660
2020-02-19 17:23:46,"Guys, @BenKavanagh__ is back and continuing to tempt fate by walking around in a storm and running across traffic 🤦‍♀️😂 https://t.co/bhhZrsiwjO #wuhan #covid19 #quarantineben",LolaGeek,"['wuhan', 'covid19', 'quarantineben']",396
2020-02-19 17:23:41,"China Expels 3 WSJ Reporters Over ""Racist"" Opinion Piece   Beijing is learning from it's closest ideological allies: American SJWs.  https://t.co/a9fUpZKXqI  #BreakingNews #Coronavirus #CoronavirusOutbreak #China #Collapse #COVID19 #USA",SecretNews,"['BreakingNews', 'Coronavirus', 'CoronavirusOutbreak', 'China', 'Collapse', 'COVID19', 'USA']",1388
2020-02-19 17:23:40,Important re: understanding #COVID19 numbers out of China &amp; why they may drop in coming days.,UpdatesCovid19,['COVID19'],1
2020-02-19 17:23:39,".@CDCgov issues a Level 1 travel warning for Hong Kong re: #COVID19. Level 1 is about putting a risk on people's radar; not saying don't travel.  It does suggest, though, that CDC thinks things are heating up in Hong Kong. Only place besides mainland China with a travel warning. https://t.co/CU8oU9nStz",UpdatesCovid19,['COVID19'],1
2020-02-19 17:23:36,"#COVID19: Singapore diagnoses 3 new cases, bringing their known total to 84. 2 of the 3 have links to known transmission chains; still trying to figure out how the third became infected.  Transmission doesn't seem to have exploded in Singapore. But it isn't stopping either.",UpdatesCovid19,['COVID19'],1
2020-02-19 17:23:20,"#COVID19 #Avoid virus transmission when you are outside, please  wear a mask and wash your hands frequently. Less going out, less going to crowded places. we share the same mountains and rivers! We are a community of destiny. Isolate virus, not love. https://t.co/QTQDTeMuqj",E50jS2EGwwDLsTa,"['COVID19', 'Avoid']",1
2020-02-19 17:23:00,Impact of  #COVID19 is spreading and disrupting trade connections between China and its neighboring countries including Japan and South Korea.  https://t.co/mnHPaG0tAQ,GlobalTimesBiz,['COVID19'],5259
2020-02-19 17:22:57,Wuhan Coronavirus Continues to Spread Globally - New Updates  https://t.co/fsTXGDKhAP  New case in US Iran reports ifirst cases Hong Kong reports 2nd death Large increases of cases in Japan &amp; South Korea   #wuhancoronavirus #COVID19 #health #prepper #preppers #preppertalk,DystopianSurv,"['wuhancoronavirus', 'COVID19', 'health', 'prepper', 'preppers', 'preppertalk']",574
2020-02-19 17:22:55,"Two deaths could mean 100 roaming the streets, considering the estimated case-fatality rate  #COVID19 #Iran #tricky #situation  https://t.co/I6EVpQnjt6",MarietFeltkamp,"['COVID19', 'Iran', 'tricky', 'situation']",1847
2020-02-19 17:22:24,2 of a family of 4 test positive. 2 that test negative have clear signs of the infection.  Does this indicate a 50% rate of false negative? How can we trust the data with such a sneaky virus. #COVID19 https://t.co/MfMaWMdIVL,val_burke,['COVID19'],136
2020-02-19 17:22:12,"#China 🇨🇳 #Coronavirus #COVID19 ☣️  From London to Melbourne, Chinese districts around the world are unusually quiet. https://t.co/dQphOjXrdd",Finanzas_Time,"['China', 'Coronavirus', 'COVID19']",23398
2020-02-19 17:22:08,Which Supply Chains Are Most At Risk: The Answer In One Chart  https://t.co/0WDWPYjzaw  #BreakingNews #Coronavirus #CoronavirusOutbreak #China #Collapse #COVID19,SecretNews,"['BreakingNews', 'Coronavirus', 'CoronavirusOutbreak', 'China', 'Collapse', 'COVID19']",1388
2020-02-19 17:22:00,Why it’s called people’s war? Because the burden is on #Wuhan people. My friend Wei is a social worker at a local community in epicenter. She told me the workload has been excessive these days as local govt set a deadline for screening all infections of #COVID19 by Wed midnight. https://t.co/kaNuHjUE4V,qingqingparis,"['Wuhan', 'COVID19']",4465
2020-02-19 17:21:40,#IMF warns of #economic risks from #Covid19 https://t.co/HrKt8Ei2fs #China #manufacturing #coronavirusoutbreak #coronavirus #2019nCoV #economy #globaleconomy,davi326,"['IMF', 'economic', 'Covid19', 'China', 'manufacturing', 'coronavirusoutbreak', 'coronavirus', '2019nCoV', 'economy', 'globaleconomy']",2742
2020-02-19 17:21:37,"Let's get United against #coronavirus, together we can Defeat it.  #CoronavirusWho #COVID19 https://t.co/kG2c3dhaWe",COVID19Update,"['coronavirus', 'CoronavirusWho', 'COVID19']",3763
2020-02-19 17:21:09,"@InspiringU2 From this, I assume that the 15 confirmed cases of #coronavirus  #COVID19 in the US have affected only Democrats.",DennisCardiff,"['coronavirus', 'COVID19']",133713
2020-02-19 17:21:06,Pro tip:     # of people with #covid19  *               0 Tests Performed -------------------------------- =             0 Confirmed Cases  #coronavirus https://t.co/eFArwEjY7l,evdefender,"['covid19', 'coronavirus']",4835
2020-02-19 17:21:02,Russia Suspends All Chinese Citizens From Entering Russia To Stop The Spread Of COVID-19 https://t.co/ndfYtU81lZ #COVID19 #Coronavirus #Russia,walidshoebat,"['COVID19', 'Coronavirus', 'Russia']",25885
2020-02-19 17:20:59,Russia Suspends All Chinese Citizens From Entering Russia To Stop The Spread Of COVID-19 https://t.co/ZTiuROgVPe #COVID19 #Coronavirus #Russia,theodoreshoebat,"['COVID19', 'Coronavirus', 'Russia']",5223
2020-02-19 17:20:46,"@nytimes How dare you? That's their freedom, freedom of spreading virus. Are you suggesting that China's lockdown is the preferred way of containing #covid19? you're a paid CPC troll, aren't you?",yibianquer,['covid19'],25
2020-02-19 17:20:37,#Archived: China’s high smoking rate may be exacerbating the coronavirus outbreak  Source: https://t.co/EJ3hkN46zY  Transaction: https://t.co/2SKuUjOMOc #health #coronavirus #breaking #china #news #wuhan #covid19 https://t.co/SeHik9bToZ,GLBLNewsArchive,"['Archived', 'health', 'coronavirus', 'breaking', 'china', 'news', 'wuhan', 'covid19']",144
2020-02-19 17:20:25,"The NHS may well be planning to “purchase” care for #COVID19 patients from private sector hospitals, including HDU/ITU beds, just as it currently purchases elective surgery on behalf of large numbers of NHS patients. https://t.co/kzU4569pxM",davidlubel,['COVID19'],170
2020-02-19 17:20:24,BREAKING - Another head of the #Wuhan hospital in severe condition with #COVID19 coronavirus infection: Chinese media https://t.co/gOKnR8hbZs,disclosetv,"['Wuhan', 'COVID19']",37554
2020-02-19 17:20:10,Emergence https://t.co/k340OkePmr #COVID19 #coronavirus https://t.co/ZhvYXR0nEW,NaliniJensen,"['COVID19', 'coronavirus']",171
2020-02-19 17:20:09,"Opinion💭by @AustinBay_th  The Chinese people have suffered the most in terms of total cases and lives lost to the #Coronavirus.  But #COVID19 has escaped #China’s borders. Though it is no #Economy killer, Covid-19 threatens the world’s #Economic vigor. https://t.co/izDUU6UveT",EpochOpinion,"['Coronavirus', 'COVID19', 'China', 'Economy', 'Economic']",399
2020-02-19 17:19:55,Cities in South China’s Guangdong Province have launched a #facemask lottery to ensure a more equitable system for residents to buy a limited number of masks amid #COVID19 epidemic. https://t.co/xpfGCZidGh https://t.co/DscWS9pBah#facemask https://t.co/zxiXWNcT1w,StevenSOcasio1,"['facemask', 'COVID19']",10
2020-02-19 17:19:53,"However, one only has to read the tabloid comments to know that the uninformed are reassured by the government’s apparent unwillingness to let infectious people into the UK, even if they are British citizens...  #COVID19 #coronavavirus #coronavirus #coronavirusuk https://t.co/7q7cEUHGpM",Quamasparagi,"['COVID19', 'coronavavirus', 'coronavirus', 'coronavirusuk']",286
2020-02-19 17:19:50,"ADDITION to the #Diagnostics Thread:  ""We also showed #serology test 🩸 can improve detection positive rate thus should be used in future #epidemiology. Our report provides a cautionary warning that 2019-nCoV may be shed through multiple routes""  https://t.co/AtsZdACr10  #COVID19 https://t.co/QAUY0BXzNL",lumosbio,"['Diagnostics', 'serology', 'epidemiology', 'COVID19']",21
2020-02-19 17:19:48,@WHO  @CDCgov  #Covid19usa  #Covid19  How do yall let China decide the rules of an outbreak and who can be counted or not as being sick?    This is why the numbers declined past couple of days. Not because things are getting BETTER&gt;  Are y'all trying to get the whole PLANET sick?,FirstMainDesign,"['Covid19usa', 'Covid19']",331
