timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-17 23:20:35,"b'@CDCgov says #Coronavirus will B around for at least a year.  While labs rush 2 develop vaccines, Chinese physicians treat seriously ill patients with plasma (antibodies) from recovered patients.  I spoke with @RoeeRuttenberg at @cgtnamerica CGTN. #covid https://t.co/C5bykJapQa'",b'ktulenko',"['Coronavirus', 'covid']",3083
2020-02-17 23:20:33,b'#Coronavirus cases nearly #double in U.S. after charter flights pick up American #evacuees \xe2\x9a\xa1\xef\xb8\x8f  #MMV #MMVcompany https://t.co/hyuBJSbnjP',b'mmvcompany',"['Coronavirus', 'double', 'evacuees', 'MMV', 'MMVcompany']",120
2020-02-17 23:20:31,"b'A 3-day \xe2\x80\x9c#Coronavirus Preparedness Summit &amp; Workshop\xe2\x80\x9d is scheduled for June 17-19 in Washington, D.C.  Breakout sessions will be tailored to law enforcement, first responders, 911 call center services, medical teams, and more.  #COVID19  https://t.co/AANqkJYfBp https://t.co/V2Ooel9G2c'",b'k_wuttt',"['Coronavirus', 'COVID19']",56
2020-02-17 23:20:04,b'Total Deaths: 1868 #coronavirus',b'coronadata',['coronavirus'],167
2020-02-17 23:20:04,b'Apple warns on revenue guidance due to iPhone delays caused by coronavirus @CNBC #coronavirus #coronaviruschina #Apple  https://t.co/N9Lr2Ye7Kk',b'Yogeshg1977',"['coronavirus', 'coronaviruschina', 'Apple']",2318
2020-02-17 23:20:03,b'In the news:  Apple Warns That Coronavirus Will Hurt Revenue https://t.co/yZZCNvYLEJ #coronavirus #wuhan #2019ncov',b'PaperbirdsH',"['coronavirus', 'wuhan', '2019ncov']",56
2020-02-17 23:20:03,b'#Coronavirus: More than 200 Australians flown home after 14-day quarantine: Science &amp; Environment - BBC News https://t.co/kmkGPszhjN  RSS: https://t.co/antmkmwzhJ',b'EcoInternetDrGB',['Coronavirus'],34489
2020-02-17 23:20:03,b'In the news:  Hawaii residents arrive in US for coronavirus quarantine after evacuation from Japan https://t.co/WIVITiOzIv #coronavirus #wuhan #2019ncov',b'PaperbirdsH',"['coronavirus', 'wuhan', '2019ncov']",56
2020-02-17 23:20:00,b'Coronavirus Scare: Fast food giants set up contactless pickup and delivery. #Coronavirus #Wuhan #China #COVID #CoronavirusOutbreak #CoronavirusChina #WuhanCoronavirus #COVID19 https://t.co/wUD9HnwoSy',b'TPE_connect',"['Coronavirus', 'Wuhan', 'China', 'COVID', 'CoronavirusOutbreak', 'CoronavirusChina', 'WuhanCoronavirus', 'COVID19']",596
2020-02-17 23:20:00,"b""@DrNancyM_CDC How can journalists balance coverage of #influenza and the #coronavirus? We'll discuss during our Feb. 28 webinar. Register here: https://t.co/lFwhfbPeFX""",b'ReportingHealth',"['influenza', 'coronavirus']",21207
2020-02-17 23:19:59,b'Debunked #CoronaVirus Theory spread by right wing #Republicans in America including @SenTomCotton  Fringe theory lacking evidence &amp; dismissed by scientists has gained audience w/ help of well-connected critics of #China government such as Stephen Bannon https://t.co/yabXXyLN6U',b'FocusAsia',"['CoronaVirus', 'Republicans', 'China']",662
2020-02-17 23:19:54,b'#Coronavirus #COVID2019  Chinese newborn tests positive for #virus - The Mainichi https://t.co/bbbtR0ROje',b'claudiantin',"['Coronavirus', 'COVID2019', 'virus']",484
2020-02-17 23:19:41,"b'83% of all USA medicines or base component...raw ingredients..come from China.....or at least they did.    If you take life dependent medicines, you should get with your healthcare provider and get a minimum of 3 months supply.  DO NOT PUT THIS OFF! #COVID19 #coronavirus'",b'hophopkins5',"['COVID19', 'coronavirus']",1
2020-02-17 23:19:36,b'Dashboard #Coronavirus COVID-19 (Mobile) https://t.co/FU7hjk9IjE',b'DocteurK_',['Coronavirus'],12534
2020-02-17 23:19:36,b'It doesn\xe2\x80\x99t seem like \xe2\x81\xa6@realDonaldTrump\xe2\x81\xa9 has any leadership skills at all. All #diamondprincessquarantine passengers sat next to fever ridden passengers on the bus for 10hrs before the flight \xf0\x9f\x99\x84\xf0\x9f\x99\x84#coronavirus  https://t.co/I7jAzDLmgj',b'schraderwest',"['diamondprincessquarantine', 'coronavirus']",1493
2020-02-17 23:19:19,b'#Coronavirus outbreak: Why Congress\xe2\x80\x99 Manish Tewari wants you to read this #book https://t.co/uRPq8gCKf4',b'vipulananda',"['Coronavirus', 'book']",2981
2020-02-17 23:19:17,b'Fresh water shortage across the country...now food and water are both running out...  #coronavirus COVID19 https://t.co/w5YqDhIiso via IsChinar #MondayMotivation',b'TomthunkitsMind',"['coronavirus', 'MondayMotivation']",67177
2020-02-17 23:19:10,"b'To grow, the cruise industry needs newcomers. The coronavirus outbreak will make that difficult. #coronavirus #travel #cruise #tourism #coronaviruschina  https://t.co/Uhwi2stGOg'",b'Reffes1',"['coronavirus', 'travel', 'cruise', 'tourism', 'coronaviruschina']",4601
