timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-19 10:50:44,"Face masks for sale in #HongKong amid fears over the #coronavirus. The SARS outbreak, and subsequent deaths, haven’t been forgotten here. https://t.co/Ro8rVpwt2s",JoanSoleyBBC,"['HongKong', 'coronavirus']",2103
2020-02-19 10:49:30,1 new death in #HongKong 20 new cases in #SouthKorea 3 new cases in #Japan 2 have recovered in #Malaysia (local)  #COVID19 latest: - 75227 cases - 2012 deaths - 14921 recovered - 2.7% fatality rate - 30 places  https://t.co/CAdnjmRQPi  #KeepMeSafe from #CoronaVirus #WuhanVirus https://t.co/hlQCErkvkz,KeepMeSafeApp,"['HongKong', 'SouthKorea', 'Japan', 'Malaysia', 'COVID19', 'KeepMeSafe', 'CoronaVirus', 'WuhanVirus']",3
2020-02-19 10:39:01,"Hong Kong reports robbery, shortage and panic buying of toilet rolls amid coronavirus scare #HongKong #Coronavirus #China #Wuhan #COVID19 #CoronavirusOutbreak #ToiletPaper https://t.co/IYk1dBRHYH",ThatSindhiCM,"['HongKong', 'Coronavirus', 'China', 'Wuhan', 'COVID19', 'CoronavirusOutbreak', 'ToiletPaper']",256
2020-02-19 10:37:18,Nobody is spared. #COVID19 #SARSCoV2 #deaths #coronavirus #outbreak #Wuhan #coverup #China #pandemic #USA #Australia #UK #Japan #Singapore #California #Texas #Georgia #NYC #Florida #Hawaii #Chicago #HongKong #2019nCoV #Russia #Wisconsin #Hawaii #Taiwan #CDC #US #military #Iran https://t.co/fEsBtTv1Ft,nCoVSurviving,"['COVID19', 'SARSCoV2', 'deaths', 'coronavirus', 'outbreak', 'Wuhan', 'coverup', 'China', 'pandemic', 'USA', 'Australia', 'UK', 'Japan', 'Singapore', 'California', 'Texas', 'Georgia', 'NYC', 'Florida', 'Hawaii', 'Chicago', 'HongKong', '2019nCoV', 'Russia', 'Wisconsin', 'Hawaii', 'Taiwan', 'CDC', 'US', 'military', 'Iran']",362
2020-02-19 10:36:37,"#HongKong reported a second death from the virus on Wednesday, while #SouthKorea confirmed 20 new cases. In #Japan, seven new infections were recorded Tuesday, bringing the total in the country to 68 outside the ship.  #Coronavirus #CoronaOutbreak #China #Wuhan",yogendrapal72,"['HongKong', 'SouthKorea', 'Japan', 'Coronavirus', 'CoronaOutbreak', 'China', 'Wuhan']",8636
2020-02-19 10:33:32,"The 83-year-old mom was taken to hospital after fracturing her hip, but was tested for the virus after doctors learned that her son and daughter-in-law had tested positive for the new #coronavirus.  #HongKong  https://t.co/WWZxtyW76Q",CoconutsHK,"['coronavirus', 'HongKong']",9910
2020-02-19 10:32:48,Our New Reality 🤦🏻‍♀️😷🌟 #TopStarsWorld @topstarsworld #HongKong #CoronaVirus #StayHealthy https://t.co/rJtWQvzvta,topstars,"['TopStarsWorld', 'HongKong', 'CoronaVirus', 'StayHealthy']",1263
2020-02-19 10:23:43,"😡😡😡What the f**k is this?  How many face masks did the #HongKong Police waste producing this propaganda video? While the police was accused of hoarding masks and protective gear, who is the genius that thought this is a good idea?  #Coronavirus #COVID19 https://t.co/ft0qoQsNsz",HKGTranslator,"['HongKong', 'Coronavirus', 'COVID19']",1225
2020-02-19 10:11:52,[#CoronaVirus] Mission impossible for disabled Hong Kongers hunting face masks #HongKong https://t.co/m61qXGnPFq,HKWORLDCITY,"['CoronaVirus', 'HongKong']",37575
2020-02-19 10:11:11,I have a feeling that #HongKong Post is one of the few official bodies who are proactively addressing Hongkongers' needs in the #coronavirus crisis. https://t.co/ZtbWjgynUA,Tominmedill,"['HongKong', 'coronavirus']",2234
2020-02-19 10:09:07,#HongKong has reported its second death from the #coronavirus #COVID19  The 70-year-old Hong Kong man reportedly had underlying illnesses.  Read more: https://t.co/lO35AiMqOg,solazed,"['HongKong', 'coronavirus', 'COVID19']",1777
2020-02-19 09:48:34,@Dystopia992 Give a mirror to the Hong Kong government officials. Let them see how incompetent and incapable they are. Shameless. #StandWithHongKong #HongKong #coronavirus,psepho89,"['StandWithHongKong', 'HongKong', 'coronavirus']",301
2020-02-19 09:35:33,"#HongKong adopting new #Israeli designed protective cotton #facemask said to be 99% effective against #coronavirus #Covid_19. Kills all bacteria, viruses and fungus! https://t.co/HKvswX0CfV",LobbyChampion,"['HongKong', 'Israeli', 'facemask', 'coronavirus', 'Covid_19']",765
2020-02-19 09:34:21,@ezracheungtoto @galileocheng That's why the Hong Kong government has suddenly become so efficient in arranging the chartered flights. It is deceiving HK people by sending Chinese people to the city. How shameless. #StandWithHongKong #HongKong #coronavirus,psepho89,"['StandWithHongKong', 'HongKong', 'coronavirus']",301
2020-02-19 09:30:00,Coronavirus Outbreak: Private jet operators see spike in requests from passengers wanting to charter own planes.... #Coronavirus #HongKong #China #COVID #CoronavirusOutbreak #COVID19   https://t.co/tpUQUuwm6X,TPE_connect,"['Coronavirus', 'HongKong', 'China', 'COVID', 'CoronavirusOutbreak', 'COVID19']",616
2020-02-19 09:24:03,Google is also working harder on censoring Youtubers in #HongKong and #Taiwan on #China and Hongkong issues. #coronavirus #2019nCoV #HKProtests @SolomonYue @realKyleOlbert @marcorubio @HawleyMO https://t.co/bZsJZYywyT,Alixmarie15,"['HongKong', 'Taiwan', 'China', 'coronavirus', '2019nCoV', 'HKProtests']",162
2020-02-19 09:22:01,#Coronavirus: #HongKong police on a roll as third suspect in toilet paper heist flushed out: South China Morning Post https://t.co/GCMBSFUnDf #HumanRights  RSS: https://t.co/antmkmwzhJ,EcoInternetDrGB,"['Coronavirus', 'HongKong', 'HumanRights']",34549
2020-02-19 09:14:54,"@jenniferatntd Unbelievable #China has put #Shenzhen on #COVID19 outbreak lockdown &amp; yet #CarrieLam keeps #HongKong's Shenzhen border OPEN deeming the #coronavirus ""threat"" as not warranting a closure. Coincidence then the #CCP has allowed ONE place for the migrant workers to seek refuge? 🙄🤦‍♀️",SiddLively,"['China', 'Shenzhen', 'COVID19', 'CarrieLam', 'HongKong', 'coronavirus', 'CCP']",173
2020-02-19 09:09:25,Second death in #HongKong due to novel #coronavirus #COVID19 #CoronarvirusOutbreak https://t.co/7Si727TAhH,CoronaVirusNe14,"['HongKong', 'coronavirus', 'COVID19', 'CoronarvirusOutbreak']",22
2020-02-19 09:01:12,Evacuated Cruise Passengers Sent to Nebraska: #Coronavirus Updates From Feb. 17 https://t.co/pYt9ao1M1X via @news_ntd #China #Japan #HongKong #COVID19 #CoronaVirusOutbreak,DSkoumbourdis,"['Coronavirus', 'China', 'Japan', 'HongKong', 'COVID19', 'CoronaVirusOutbreak']",12207
2020-02-19 09:00:00,Hong Kong reports second coronavirus death as it draws plans to fly stranded residents back from virus-stricken cruise ship in Japan  #HongKong #Coronavirus #China #Wuhan #COVID19 #CoronavirusOutbreak https://t.co/4z3iouKOWt,TPE_connect,"['HongKong', 'Coronavirus', 'China', 'Wuhan', 'COVID19', 'CoronavirusOutbreak']",616
2020-02-19 08:55:16,They just wasted a few dozen masks to make this video.  #HongKongPolice #hongkong #coronavirus https://t.co/VYQq5wP9ms,jenniferlywang,"['HongKongPolice', 'hongkong', 'coronavirus']",1073
2020-02-19 08:46:48,"The #Coronavirus and the protests in #HongKong have significantly slowed down the economy, leading to stagnation in #Bitcoin trading volume.  $BTC ➡️ https://t.co/AavdXWUSv0 https://t.co/2XtT6wqu04",beincrypto,"['Coronavirus', 'HongKong', 'Bitcoin']",12196
2020-02-19 08:24:59,#HKerOfTheWeek 🇭🇰 【Yuen Kwok-yung | World-renowned #microbiologist👨🏻‍⚕: “We have to #value the #truth to be #safe.”🔍】  👨🏻‍⚕💬 https://t.co/GfvRv3l8QQ 👆  #WeAreHKers #我地係香港人 #HongKong #HongKonger #HK #medicine #doctor #coronavirus #sars #cure #prevention #reality https://t.co/kH7gR8VAkT,hkersweare,"['HKerOfTheWeek', 'microbiologist', 'value', 'truth', 'safe', 'WeAreHKers', '我地係香港人', 'HongKong', 'HongKonger', 'HK', 'medicine', 'doctor', 'coronavirus', 'sars', 'cure', 'prevention', 'reality']",1189
2020-02-19 08:20:31,"The 55th confirmed #Coronavirus in #HongKong, 70-yr-old male passed away in Princess Margaret Hospital. He’s the 2nd patient who died becoz of the deadly virus in the city. He had been remain in critical condition after hospitalised.   @icablenews https://t.co/FLFnNA5anA",nikki_miumiu,"['Coronavirus', 'HongKong']",9750
2020-02-19 08:02:00,SCMP: Second #HongKong'er dies after becoming infected with #coronavirus 70-year-old man had underlying health issues and died on Wednesday morning Victim lived alone in Kwai Chung and had visited mainland #China in January  #台灣https://t.co/LuMXpEaswH via @scmpnews,PM_Thornton,"['HongKong', 'coronavirus', 'China']",5260
2020-02-19 07:54:18,"@Sarangbrahme Yes, not just in #China, but also in #Singapore and #HongKong. Added to the travel advisory by different countries, there is a sense of uncertainty -that puts several business plans on hold. #Coronavirus",achyutmenon,"['China', 'Singapore', 'HongKong', 'Coronavirus']",8382
