timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-21 04:10:30,"Biological viruses can hide and wait for a weakened immune response, much like a computer virus which can go undetected for a while until they wreak mayhem. #CoronavirusOutbreak #COVID #covid19 #coronavirus #corona #hack #IT #internet #virus #wuhan #nyc https://t.co/DvLotiLXWI",TechDadInc,"['CoronavirusOutbreak', 'COVID', 'covid19', 'coronavirus', 'corona', 'hack', 'IT', 'internet', 'virus', 'wuhan', 'nyc']",158
2020-02-21 04:10:00,Opinion | The elusive animal in the spotlight amid the coronavirus crisis https://t.co/BzF3kK2WBx  #Wuhan #CoronaVirus #coronaviruschina,rtehrani,"['Wuhan', 'CoronaVirus', 'coronaviruschina']",25535
2020-02-21 04:10:00,"China Coronavirus Outbreak: Over 14,000 patients defeat deadly virus.... || #Coronavirus #Wuhan #China #COVID #CoronavirusOutbreak #CoronavirusChina #WuhanCoronavirus #COVID19 https://t.co/LdjpL3Y9ws",TPE_connect,"['Coronavirus', 'Wuhan', 'China', 'COVID', 'CoronavirusOutbreak', 'CoronavirusChina', 'WuhanCoronavirus', 'COVID19']",617
2020-02-21 04:09:09,#coronavirus #Wuhan #doctors #nurses Very #BRAVE Very dedicated ❤️🌸🐨🦋🙏❤️🌸🐨🎈🦋🙏❤️🌸 https://t.co/9YQrhO5iEL,bprophetable,"['coronavirus', 'Wuhan', 'doctors', 'nurses', 'BRAVE']",2786
2020-02-21 04:04:37,"Dead toll reaches 2233 in china by coronavirus include director of wuhan hospital and Around 75,000 people have been infected by the new coronavirus in China, #coronavirus  #Wuhan  #ChinaCoronaVirus",HilalZargar5,"['coronavirus', 'Wuhan', 'ChinaCoronaVirus']",24
2020-02-21 04:02:09,Numbers are much better today for #coronavirus. One thing that had been consistent throughout is the death rate has been about 2.9% compared to SARS at 9.7%. #WuhanVirus #China #COVID #Wuhan #COVID19 @WHO https://t.co/PZ3Q4C0phO,booyah_tech,"['coronavirus', 'WuhanVirus', 'China', 'COVID', 'Wuhan', 'COVID19']",86
2020-02-21 04:01:35,"#Wuhan, we’ve got your back! #coronavirus https://t.co/o0YRqaG6r8",EDNewsChina,"['Wuhan', 'coronavirus']",5135
2020-02-21 04:00:18,Eco Solutions N95 Particulate Respirator Mask W/Exhale Valve 10 masks https://t.co/AyWHRQYqFs #ad #coronavirus #coronaoutbreak #wuhanflu #chinaflu #flu #virus #CoronavirusOutbreak #coronaviruswuhan #2019nCoV #COVID19 #wuhan #china #outbreak #CoronavirusUSA,mystylehfb,"['ad', 'coronavirus', 'coronaoutbreak', 'wuhanflu', 'chinaflu', 'flu', 'virus', 'CoronavirusOutbreak', 'coronaviruswuhan', '2019nCoV', 'COVID19', 'wuhan', 'china', 'outbreak', 'CoronavirusUSA']",5686
2020-02-21 04:00:06,"Coronavirus name, animal-research data and a Solar System snowman https://t.co/rqRsqS3X5Z  #Wuhan #CoronaVirus #coronaviruschina https://t.co/1mC7S4hvGh",rtehrani,"['Wuhan', 'CoronaVirus', 'coronaviruschina']",25535
2020-02-21 04:00:01,Don't forget necessities when stocking up for a #Quarantine Charmin Toilet Paper https://t.co/zuMo8P6Bpw Tissues https://t.co/BRqMzfltv0 Paper Towels https://t.co/8AHev7kWmX #wuhan #WuhanVirus #coronavirus #coronavirusUSA #pandemic #Corona #Virus #ncov2020 #nCoV2019  #SARSCoV2 ad,SurvivalPrepar1,"['Quarantine', 'wuhan', 'WuhanVirus', 'coronavirus', 'coronavirusUSA', 'pandemic', 'Corona', 'Virus', 'ncov2020', 'nCoV2019', 'SARSCoV2']",26
2020-02-21 03:58:38,"#Wuhan,be stronger.#China,be stronger.We can control the #coronavirus......#ChinaVirus #WuhanCoronavirus #coronaviruschina #CoronavirusOutbreak #WuhanCoronavirusOutbreak  #WuhanVirus #Coronavirus  https://t.co/muSPdverI0 来自 @https://www.gagahi.com",GaGaHi01,"['Wuhan', 'China', 'coronavirus', 'ChinaVirus', 'WuhanCoronavirus', 'coronaviruschina', 'CoronavirusOutbreak', 'WuhanCoronavirusOutbreak', 'WuhanVirus', 'Coronavirus']",149
2020-02-21 03:57:32,video allegedly showing officials locking citizens inside homes for #quarantine in #Wuhan due to #covid19 #coronavirus https://t.co/4yOHkS9bew,chovy,"['quarantine', 'Wuhan', 'covid19', 'coronavirus']",114
2020-02-21 03:55:34,Arrests of Harvard University staff connected to research lab in #Wuhan #CoronaVirus https://t.co/DviT6tPFMp,R_Daneel_0livaw,"['Wuhan', 'CoronaVirus']",2694
