timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-20 17:18:39,Must-Watch NTD’s #China in Focus for thorough update on #coronavirus. Essential info that we’re not generally getting in #US due to over-reliance on #CCP information ops &amp; due to strange lack of investigative #reporting on this critically important topic.  https://t.co/gI1jRpTgFI,AnneRPierce,"['China', 'coronavirus', 'US', 'CCP', 'reporting']",2005
2020-02-20 16:53:36,"#HSBC, Europe's biggest bank by assets has been buffeted by the #US-#China #TradeWar, #Brexit, the #COVID19 outbreak and a slowdown in major economies https://t.co/mlYkzIrMId #COVID2019 #business #Banking #Coronavirus #Finance #profit",Nsyam,"['HSBC', 'US', 'China', 'TradeWar', 'Brexit', 'COVID19', 'COVID2019', 'business', 'Banking', 'Coronavirus', 'Finance', 'profit']",330
2020-02-20 16:49:44,#US #STOCKS SNAPSHOT-Wall St drops more than 1% as #coronavirus fears grow https://t.co/HHFXu41W4t,dev_discourse,"['US', 'STOCKS', 'coronavirus']",76911
2020-02-20 15:47:55,First #US patient has fully recovered from coronavirus in Washington state; nearly 800 still under watch  #COVID19 #coronavirus  https://t.co/kcYTaOazmD,Apex_WW,"['US', 'COVID19', 'coronavirus']",2152
2020-02-20 15:40:00,Coronavirus Outbreak: San Diego hospital mistakenly discharged coronavirus patient. || #US #California #SanDiego #China #UnitedStates #Coronavirus #COVID #COVID19 #CoronavirusOutbreak #WuhanCoronavirus #Corona https://t.co/oZLkFwL7Wx,TPE_connect,"['US', 'California', 'SanDiego', 'China', 'UnitedStates', 'Coronavirus', 'COVID', 'COVID19', 'CoronavirusOutbreak', 'WuhanCoronavirus', 'Corona']",612
2020-02-20 15:32:13,"When the real #crisis is upon us externally outside the #US, then #gold would rise with the #stockmarket and the #USD. #capitalflows #Europe #Japan #negativerates #Coronavirus #ECB #BOJ #rates #Euro",magnuimsinfo,"['crisis', 'US', 'gold', 'stockmarket', 'USD', 'capitalflows', 'Europe', 'Japan', 'negativerates', 'Coronavirus', 'ECB', 'BOJ', 'rates', 'Euro']",955
2020-02-20 15:07:08,For the first time in history China has declared the United States as an enemy. It seems the Chinese have found out who really created the #coronavirus.  #China #US #biologicalwarfare,aperiozar,"['coronavirus', 'China', 'US', 'biologicalwarfare']",1449
2020-02-20 15:00:00,"Not only has the #TradeWar between the #US and #China unsettled #Technology companies concerned with their supply chain, but with the unfortunate #CoronaVirus outbreak, their #Chinese production is compromised further.  @RaedKhasawneh @JKynge @mjruehl   https://t.co/JjoVM9Cg0M",RaedKhasawneh,"['TradeWar', 'US', 'China', 'Technology', 'CoronaVirus', 'Chinese']",853
2020-02-20 14:40:11,The #coronavirus #outbreak exposes the #America's #Pharmaceutical supply chain vulnerability   via @statnews  #China #COVID19 #Virus #US #Drug #Medicine #Industry  https://t.co/92DThYJ7Xz,AjHenreid,"['coronavirus', 'outbreak', 'America', 'Pharmaceutical', 'China', 'COVID19', 'Virus', 'US', 'Drug', 'Medicine', 'Industry']",95
2020-02-20 14:15:36,#Hospitals across the #US prepare for #coronavirus outbreak to become global #pandemic  https://t.co/3sADQz6QOd,Gjallarhornet,"['Hospitals', 'US', 'coronavirus', 'pandemic']",7108
2020-02-20 13:32:00,"Hundreds of #Americans quarantined onboard #DiamondPrincess cruise ship are heading back to the #US for another 14-day quarantine at military base. Another 70 #Coronavirus cases confirmed onboard the ship, bringing the total 355. #COVID #COVID19 #China #wuhan #冠状病毒",zhuannit,"['Americans', 'DiamondPrincess', 'US', 'Coronavirus', 'COVID', 'COVID19', 'China', 'wuhan', '冠状病毒']",614
2020-02-20 13:29:05,#US #hospitals #prepare for #coronavirus #outbreak to become global pandemic @CNBC  https://t.co/c6rzCFoGld,alexlanai1970,"['US', 'hospitals', 'prepare', 'coronavirus', 'outbreak']",199
2020-02-20 12:45:12,"#Coronavirus has shaken the #supplychain industry to its core with more and more #suppliers looking for alternatives outside of China. How will this impact the #US economy, find out here: https://t.co/biWA7f8Pca",Link2Sourcing,"['Coronavirus', 'supplychain', 'suppliers', 'US']",238
2020-02-20 12:37:59,#US #Coronavirus #Cases Nearly #Double With No End in Sight https://t.co/jIWIRXHzDL,JBCP,"['US', 'Coronavirus', 'Cases', 'Double']",5068
2020-02-20 12:30:55,"Two charter flights carrying hundreds of #US citizens evacuated from #DiamondPrincess cruise, one plane touched down at Travis Air Force Base in #California and the other landed in #Texas. At least 14 of them tested positive for #Coronavirus. #COVID #COVID19 #China #wuhan",zhuannit,"['US', 'DiamondPrincess', 'California', 'Texas', 'Coronavirus', 'COVID', 'COVID19', 'China', 'wuhan']",614
2020-02-20 12:13:54,Husband could not bring his wife back to US because she is a Chinese even they have a month old baby. I would be very angry too if I were the husband. https://t.co/eLjYRhXxkS     #coronavirus #COVID19 #US #WuhanCoronavirusOutbreak #China #StandWithWuhan  #武漢疫情 #武漢肺炎 #武漢,siuhan5,"['coronavirus', 'COVID19', 'US', 'WuhanCoronavirusOutbreak', 'China', 'StandWithWuhan', '武漢疫情', '武漢肺炎', '武漢']",168
2020-02-20 11:40:00,Coronavirus Outbreak: San Diego hospital mistakenly discharged coronavirus patient || #US #California #SanDiego #China #UnitedStates #Coronavirus #COVID #COVID19 #CoronavirusOutbreak #WuhanCoronavirus #Corona https://t.co/oZLkFwL7Wx,TPE_connect,"['US', 'California', 'SanDiego', 'China', 'UnitedStates', 'Coronavirus', 'COVID', 'COVID19', 'CoronavirusOutbreak', 'WuhanCoronavirus', 'Corona']",612
2020-02-20 11:26:01,"#China said Wed it had received 16 tons of face masks, protective gear from the #US. Li QinGyuan says a protective antibody is generated in those who are infected. ""However, in certain individuals the antibody cannot last that long"" https://t.co/OW3rL7vMtW #coronavirus #covid19",ficflash,"['China', 'US', 'coronavirus', 'covid19']",4636
2020-02-20 11:13:59,"Live updates: Coronavirus cases surge in South Korea as first death reported, mayor tells residents to stay indoors https://t.co/CDk9k8W4rs #CoronavirusOutbreak #coronavirus #COVID2019 #Wuhan #WuhanCoronavius #America #USA #US #Canada #UnitedKingdom #China #HumpDay #HongKong",AngieBlu7,"['CoronavirusOutbreak', 'coronavirus', 'COVID2019', 'Wuhan', 'WuhanCoronavius', 'America', 'USA', 'US', 'Canada', 'UnitedKingdom', 'China', 'HumpDay', 'HongKong']",89
2020-02-20 09:45:25,"Hundreds of #Americans quarantined onboard #DiamondPrincess cruise ship are heading back to the #US for another 14-day quarantine at military base. Another 70 #Coronavirus cases confirmed onboard the ship, bringing the total 355. #COVID #COVID19 #China #wuhan #冠状病毒",Sreyrot79159121,"['Americans', 'DiamondPrincess', 'US', 'Coronavirus', 'COVID', 'COVID19', 'China', 'wuhan', '冠状病毒']",1533
2020-02-20 09:38:41,"Two charter flights carrying hundreds of #US citizens evacuated from #DiamondPrincess cruise, one plane touched down at Travis Air Force Base in #California and the other landed in #Texas. At least 14 of them tested positive for #Coronavirus. #COVID #COVID19 #China #wuhan",Sreyrot79159121,"['US', 'DiamondPrincess', 'California', 'Texas', 'Coronavirus', 'COVID', 'COVID19', 'China', 'wuhan']",1533
2020-02-20 08:19:11,@arnohb112 /1 Brits still think they can rely on #CCP to resume economic growth after #Brexit. This is insane. 🇨🇳 economy will collapse gradually amid #coronavirus outbreak she’s created and #US won’t sign free trade agreements with #UK if 🇬🇧 is unable to convince 🇺🇸 over national security.,acgmt50889,"['CCP', 'Brexit', 'coronavirus', 'US', 'UK']",24
