timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-22 20:52:00,Confirmed #Coronavirus cases in #HongKong reached total 70.  Four among those cases have been to a Buddhist worship hall in #NorthPoint.  @icablenews  #香港武肺確診共70宗 #4患者曾到北角佛堂 https://t.co/k0uTrhWaYy,nikki_miumiu,"['Coronavirus', 'HongKong', 'NorthPoint', '香港武肺確診共70宗', '4患者曾到北角佛堂']",9883
2020-02-22 20:03:21,#coronavirus #COVID19 #WuhanCoronavirus #CoronavirusOutbreak #WuhanVirus #ChinaCoronaVirus #Iran #China #HongKong  Currently has a mortality rate of 3% (22/02/20) https://t.co/zR2qZVIk44,Zulusausage,"['coronavirus', 'COVID19', 'WuhanCoronavirus', 'CoronavirusOutbreak', 'WuhanVirus', 'ChinaCoronaVirus', 'Iran', 'China', 'HongKong']",4
2020-02-22 20:02:36,Based on current death to recovery rate #China is at 11%. #SouthKorea 12%. #italy is 100%. #Iran is 100% death-recovery. #HongKong is at 50% death-recovery. #coronavirus https://t.co/GTa7TwR3Xz,Austenslaps,"['China', 'SouthKorea', 'italy', 'Iran', 'HongKong', 'coronavirus']",1
2020-02-22 19:31:42,"Hong Kong chief #CarrieLam is a true evil. When everyone is busy fighting the #coronavirus, she thinks of election and serves the interests of Chinese communist party.  Being the chief of Hong Kong in the critical moment, she thinks of #Beijing but not #hongkong. Hopeless leader. https://t.co/k2pV8OATd6",WongTaiman7,"['CarrieLam', 'coronavirus', 'Beijing', 'hongkong']",68
2020-02-22 19:27:21,"It's very strange that Italy has more #coronavirus #CODVID19 than #macau and the same number of #HongKong , is someone hiding something or we are doing the test wrong? (False positive?) #CoronaVirusitaly #coronavirusitalia https://t.co/TNXf4TiiSO",claudioerba73,"['coronavirus', 'CODVID19', 'macau', 'HongKong', 'CoronaVirusitaly', 'coronavirusitalia']",1006
2020-02-22 19:24:57,"#Hugs #kisses #home #HongKong #Medical #medicine #MedicalCareForAll  #coronavirus #CoronavirusOutbreak #WuhanCoronavirus #novelcoronavirus2019 #people #Health #lifestyle  ‘No More Hugging, No More Kissing.’ At Home in Hong Kong With 2 Frontline #Doctors. https://t.co/aIIBPoVMcy",healthstepsonly,"['Hugs', 'kisses', 'home', 'HongKong', 'Medical', 'medicine', 'MedicalCareForAll', 'coronavirus', 'CoronavirusOutbreak', 'WuhanCoronavirus', 'novelcoronavirus2019', 'people', 'Health', 'lifestyle', 'Doctors']",16932
2020-02-22 19:21:52,#China #Iran #HongKong  #COVID19 #coronavirus #WuhanCoronavirus currently has a 3% mortality rate.,Zulusausage,"['China', 'Iran', 'HongKong', 'COVID19', 'coronavirus', 'WuhanCoronavirus']",4
2020-02-22 19:20:02,@RadChick4Cast @MailOnline did we ever get the truth about #coronavirus infection rate &amp; death 💀 toll ? Are we to believe the situation is now under control ?   Seems more like #COVID_2019 is more likely out of control   #China  #Japan  #SouthKorea  #HongKong  #Iran  #Philippines  #France  #Italy  #US,Anthony_tech2,"['coronavirus', 'COVID_2019', 'China', 'Japan', 'SouthKorea', 'HongKong', 'Iran', 'Philippines', 'France', 'Italy', 'US']",158
2020-02-22 19:02:00,"Four more newly confirmed #Coronavirus cases added in #HongKong, one of them is a 48-yr-old police officer who stationed at #NorthPoint. Another one is a 58-yr-old taxi driver, who have been sick for 2 weeks but still working. #COVID #COVID19 #China #wuhan #冠状病毒 #coronavirus",Satyna2,"['Coronavirus', 'HongKong', 'NorthPoint', 'COVID', 'COVID19', 'China', 'wuhan', '冠状病毒', 'coronavirus']",580
2020-02-22 18:22:31,"With 55 confirmed #Coronavirus cases, #Italy is close to #HongKong in numbers in this pandemic. Yes, it is practically a pandemic now since it has jumped continents and growing :(. What should we do now? #PrayForItaly #PrayForChina",pradeeban,"['Coronavirus', 'Italy', 'HongKong', 'PrayForItaly', 'PrayForChina']",1141
