timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-23 17:00:00,"And over a hundred joined a rally at #LeiChengUkEstate, #CheungShaWan yesterday, residents also angry about #HongKong govt assign designated outpatient clinic for #Coronavirus patients in residential area. #COVID #COVID19 #China #wuhan #冠状病毒",Esmerda9,"['LeiChengUkEstate', 'CheungShaWan', 'HongKong', 'Coronavirus', 'COVID', 'COVID19', 'China', 'wuhan', '冠状病毒']",1128
2020-02-23 16:56:26,Things that have not changed in #HongKong due to the #coronavirus:  Protests against the government.   The #HKPF not complying with their own operational standards on the use of force.   #HongKongProtests #COVID19outbreak https://t.co/ff4IQ79mLN,RobertJonGodden,"['HongKong', 'coronavirus', 'HKPF', 'HongKongProtests', 'COVID19outbreak']",4616
2020-02-23 16:46:36,Why is it difficult for #HKGov to provide financial support to #HongKongers in this period of #COVID19 crisis when #HongKong has ample dollar reserves?  #StandwithHK #coronavirus #FightForFreedom #HongKongProtests @HongKongFP @rthk_enews @ClaudiaMCMo  https://t.co/hqTeA4mv86,h3avyarm5,"['HKGov', 'HongKongers', 'COVID19', 'HongKong', 'StandwithHK', 'coronavirus', 'FightForFreedom', 'HongKongProtests']",22
2020-02-23 16:40:47,"As long-time #HongKong taxpayer must say its PATHETIC that one month into #coronavirus the govt still has no plan for HK citizens to come home, be quarantined and have good medical care.  A govt owes its citizens more than delay, incompetence &amp; obfuscation https://t.co/5x6VJ0R4uv",johnwoodRTR,"['HongKong', 'coronavirus']",337490
2020-02-23 16:16:11,"#HongKong, #CoronaVirus, #CommunistChina . Harry’s View: February 2020  https://t.co/LDnRs8wz7H @GlobalCRL @Geopoliticainfo",GiulioTerzi,"['HongKong', 'CoronaVirus', 'CommunistChina']",56558
2020-02-23 16:13:45,Is #CoronaVirus a quasi-biochemical weapon prepared for #HongKong by CCP ?  Original footage : https://t.co/TOdOTdxwAT  @realDonaldTrump @SecPompeo @SteveKBannon @SolomonYue @benedictrogers @lukedepulford https://t.co/FBu2qRPNWM,well_allan,"['CoronaVirus', 'HongKong']",1917
2020-02-23 15:49:58,@NextMagazineHK @fktws The poor in #HongKong has no stake in the society according to #CarrieLam the murderer stated last year &amp; I seriously don’t think she would change this year 🤷🏻‍♂️ #StandwithHK #FightForFreedom #coronavirus,Lawly101,"['HongKong', 'CarrieLam', 'StandwithHK', 'FightForFreedom', 'coronavirus']",623
2020-02-23 15:49:30,"#HongKong confirmed five additional cases of the novel #coronavirus on Sunday, bringing its total to 74. One of the new cases is a 68-year-old male who was evacuated from the #DiamondPrincess cruise ship earlier this week. #Asia #China #COVID19 https://t.co/K7LQZDILHr",Super_Said,"['HongKong', 'coronavirus', 'DiamondPrincess', 'Asia', 'China', 'COVID19']",10120
2020-02-23 15:46:28,"#MatthewCheung is, outside of #ReginaIp or #CarrieLam, quite possibly the most stupidest #HKSARG #CHICOM official ever ...  #HongKong #coronavirus/#covid19/#WARS https://t.co/fTO1Kyj0DW",DanGarrett97,"['MatthewCheung', 'ReginaIp', 'CarrieLam', 'HKSARG', 'CHICOM', 'HongKong', 'coronavirus', 'covid19', 'WARS']",5684
2020-02-23 15:37:43,"Eight months ago: 'CCP could use the psuedo-chemical weapon to deal with the #HongKong protest.' Now, CCP is using #coronavirus to deal with all problems it is facing: Hong Kong, Trade Deal, ... https://t.co/HFGNWGb21D",KokeReport,"['HongKong', 'coronavirus']",53369
2020-02-23 15:30:48,The coronavirus has forced Hong Kong teachers to give classes online... the benefits and pitfalls... https://t.co/HVvDt3bwIP #hongkong #coronavirus #wuhancoronavirus #education https://t.co/FctjOJ8WuK,beijingcalling,"['hongkong', 'coronavirus', 'wuhancoronavirus', 'education']",4189
2020-02-23 15:23:57,#TPEoorhh: Group of Hongkongers set up surgical face mask factory overnight to ease supplies amid coronavirus scare #HongKong #Coronavirus #COVID #COVID2019 #COVID19 #CoronavirusOutbreak #China https://t.co/IWMUre6Y7K,TPE_archive,"['TPEoorhh', 'HongKong', 'Coronavirus', 'COVID', 'COVID2019', 'COVID19', 'CoronavirusOutbreak', 'China']",99
2020-02-23 15:23:35,How Carrie Lam's $30 billion Anti #COVID2019  Fund spend? The fund does not help the Hong Kong people.    #HongKong #China #coronavirus #ChinaCoronaVirus #CoronavirusOutbreak #Covid19 https://t.co/uC1gnnREmB,NextMagazineHK,"['COVID2019', 'HongKong', 'China', 'coronavirus', 'ChinaCoronaVirus', 'CoronavirusOutbreak', 'Covid19']",177
2020-02-23 14:52:44,"#Covid19 #CoronaVirus #CoronavirusOutbreak Constantly changing Update 14:50 pm February 23,2020(UK time)  7️⃣8️⃣,9️⃣5️⃣9️⃣ confirmed cases worldwide.  2️⃣,4️⃣6️⃣9️⃣ fatalities in #China, #Iran, #HongKong, #Philippines, #Japan, #France, #Taiwan, #SouthKorea &amp; #Italy.",asiaambassador,"['Covid19', 'CoronaVirus', 'CoronavirusOutbreak', 'China', 'Iran', 'HongKong', 'Philippines', 'Japan', 'France', 'Taiwan', 'SouthKorea', 'Italy']",1497
2020-02-23 14:51:24,"Images comparing the quarantine sites for #HongKong police, ordinary citizens and frontline medics who treat the ill. @SolomonYue  Sources: internet  #nCoV19 #Coronavirus #WuhanCoronavirus #COVID19 #COVID2019 #PoliceState #policebrutality #ChinaOutputVirusInDecember2019 https://t.co/zorCkuuPsF",Sereia26086881,"['HongKong', 'nCoV19', 'Coronavirus', 'WuhanCoronavirus', 'COVID19', 'COVID2019', 'PoliceState', 'policebrutality', 'ChinaOutputVirusInDecember2019']",2
2020-02-23 14:47:13,#Coronavirus for political gains... This is #CarrieLam’s conspiracy.  #StandWithHongKong #ChinaVirus #WuhanCoronavirus #HongKong https://t.co/YfFFdeymbT,imus1,"['Coronavirus', 'CarrieLam', 'StandWithHongKong', 'ChinaVirus', 'WuhanCoronavirus', 'HongKong']",135
2020-02-23 14:38:31,"Infographic by @StandNewsHK of where the 74 confirmed cases of #coronavirus in #HongKong live. Eastern District has the most cases - 14. 3 patients were sent to hospitals directly from borders, so they did not return to their neighbourhoods and are not included in this map. https://t.co/2eMwRDTIxs",rachel_cheung1,"['coronavirus', 'HongKong']",25940
2020-02-23 14:30:46,[Recap] In Pictures: ‘These medics didn’t die for nothing’ – a visit to Hong Kong’s SARS memorial garden  https://t.co/wkv62Dqze7 #HongKong #China #coronavirus #ChinaCoronaVirus #CoronavirusOutbreak #Covid19 @holongsze,HongKongFP,"['HongKong', 'China', 'coronavirus', 'ChinaCoronaVirus', 'CoronavirusOutbreak', 'Covid19']",296694
2020-02-23 14:29:31,#CORONAVIRUS DEATH TOLL OUTSIDE #CHINA  #IRAN 8 #SouthKorea 6 DIAMOND PRINCESS 3 #ITALY 2 #HONGKONG 2 #JAPAN 1 TAIWAN 1 FRANCE 1 PHILIPPINES 1,ricci_davide77,"['CORONAVIRUS', 'CHINA', 'IRAN', 'SouthKorea', 'ITALY', 'HONGKONG', 'JAPAN']",2722
2020-02-23 14:26:18,#COVID19 #Coronavirus Pandemic Context: #Italy has more confirmed cases (132) than either #HongKong (79) or Singapore (89).  World #health agencies must prepare for global pandemic threat.  This is not a #HumanRights threat only to #Asia. https://t.co/V2QrXovFCA,realhumanrights,"['COVID19', 'Coronavirus', 'Italy', 'HongKong', 'health', 'HumanRights', 'Asia']",2824
2020-02-23 14:22:56,What #HongKong police force said to protesters leading to celebration of getting #coronavirus https://t.co/4JuagfYmnA,alphacentauriii,"['HongKong', 'coronavirus']",1520
2020-02-23 14:10:06,#Covid19 #pandemic not even at midst that #china sends workers back to work. #economy has more value than #humanlife  #asianspring #coronavirus #XiJinping #HongKong #genocide #wuhanvirus,L0g4nX0,"['Covid19', 'pandemic', 'china', 'economy', 'humanlife', 'asianspring', 'coronavirus', 'XiJinping', 'HongKong', 'genocide', 'wuhanvirus']",45
2020-02-23 14:03:44,"Budget for #COVID #HongKong ￥350 Bn #Singapore  ￥500 Bn #Japan ￥15 Bn  #coronavirus tests: #SoutthKorea  &gt; 16,000 Japan 800  Unconscionable Abe govt's ""Cover least"" to downplay #stats for #Olympics is so obvious. Trust Abe govt on #Fukushima fallout's health effects? #安倍退陣 https://t.co/NzRLIaRuIO",microcarpa1,"['COVID', 'HongKong', 'Singapore', 'Japan', 'coronavirus', 'SoutthKorea', 'stats', 'Olympics', 'Fukushima', '安倍退陣']",4987
2020-02-23 14:00:01,"It's a hectic time in #HongKong with the #CoronavirusOutbreak, but you can make it easier for those less fortunate by donating much-needed goods: https://t.co/8OeQRP9quo #coronavirus",youngposthk,"['HongKong', 'CoronavirusOutbreak', 'coronavirus']",3520
2020-02-23 13:57:41,4 more #DiamondPrincess passengers #Quarantined in #HongKong confirmed to have #COVID19 #Covid_19 #coronavirus https://t.co/qQA4a4X1yD https://t.co/VXvup6KAX0,MK75397125,"['DiamondPrincess', 'Quarantined', 'HongKong', 'COVID19', 'Covid_19', 'coronavirus']",1156
2020-02-23 13:56:18,"Today after Holy Mass at Sacred Heart Church in Wimbledon I lit two candles in prayer - one for #China, one for #HongKong, both for those suffering from #coronavirus &amp; those suffering under the brutal #CCP regime  Two candles for freedom, for China, for Hong Kong, for the world https://t.co/OK3mi4XnF1",benedictrogers,"['China', 'HongKong', 'coronavirus', 'CCP']",35688
2020-02-23 13:22:53,Daily life under coronavirus. Thanks Carrie Lam. Hong Kong is burning with the mainland. #HongKongers #hongkong #coronavirus  #WuhanCoronavius https://t.co/8F2UbRAAjW,veclee,"['HongKongers', 'hongkong', 'coronavirus', 'WuhanCoronavius']",11
2020-02-23 13:21:32,"#Coronavirus: Low-income families in #HongKong are struggling to afford masks and disinfectant, and are experiencing increased stress over the epidemic, a new survey says https://t.co/8mmVT8MSDF https://t.co/RNSi3IFhH8",BienPerez,"['Coronavirus', 'HongKong']",1219
2020-02-23 12:51:02,"Coronavirus is communist China’s ‘biggest health emergency,’ says Xi Jinping https://t.co/aPmnXNw6eg #HongKong #China #coronavirus #ChinaCoronaVirus #CoronavirusOutbreak #Covid19",HongKongFP,"['HongKong', 'China', 'coronavirus', 'ChinaCoronaVirus', 'CoronavirusOutbreak', 'Covid19']",296694
2020-02-23 12:43:13,Burying bad news?  1. The news a Hongkonger died in Wuhan due to #Coronavirus was mentioned in 5th of a 6 paragraphs press release.  2. It's only available in Chinese.  Reminder: Other countries can fly their citizens out of Wuhan. #HongKong can't. File under #OneChinaAdvantage🇨🇳 https://t.co/GJi82YPgA1 https://t.co/5HLn8nwBgG,HKGTranslator,"['Coronavirus', 'HongKong', 'OneChinaAdvantage']",1247
2020-02-23 12:30:00,"Some #HongKong passengers onboard #DiamondPrincess cruise are eager to get on the charter flight; some contracted the #Coronavirus are now isolated in #Japan’s hospital, worrying their families who left onboard the ship.  #COVID #COVID19 #China #wuhan #冠状病毒 #coronavirus",Esmerda9,"['HongKong', 'DiamondPrincess', 'Coronavirus', 'Japan', 'COVID', 'COVID19', 'China', 'wuhan', '冠状病毒', 'coronavirus']",1128
2020-02-23 12:24:52,"""...HK reported it first death from the virus earlier this month, it also confirmed three locally transmitted cases with no known link to any previous cases or any travel history to China.""  #coronavirus #SARS #CoronaVirus #China #HongKong #COVID19 #Untraceable #Airbornevirus https://t.co/bBdkJt20qX",MSeraphrim,"['coronavirus', 'SARS', 'CoronaVirus', 'China', 'HongKong', 'COVID19', 'Untraceable', 'Airbornevirus']",6
2020-02-23 12:21:24,"#Coronavirus: A third gov't charter flight arrived at @HKAirport on Sunday morning, bringing #HongKong residents back from the quarantined cruise ship in Japan. They will enter quarantine locally for two weeks. #ChinaCoronaVirus #CoronavirusOutbreak #Covid19 Photo: GovHK. https://t.co/hBftBscMHq",HongKongFP,"['Coronavirus', 'HongKong', 'ChinaCoronaVirus', 'CoronavirusOutbreak', 'Covid19']",296694
2020-02-23 12:06:48,"Minister of Ed. asks students, teachers and ed. personnel who have just returned from the six risky countries, #China (including #Macau), #HongKong, #Japan, #Korea, #Taiwan, #Singapore, abstain from school for 14 days. #Thailand #Coronavirus #COVID19 (what Italy and Iran?) https://t.co/oZEZryMQP2",RPOBB,"['China', 'Macau', 'HongKong', 'Japan', 'Korea', 'Taiwan', 'Singapore', 'Thailand', 'Coronavirus', 'COVID19']",174
