timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-23 17:06:51,"Japanese  government want to kil japanese they hate troublesome things They don't care a fig for Japanese Life,  #Japanesemassage #japan #coronavirus #CoronavirusOutbreak",wOTXpFl61Wz88oY,"['Japanesemassage', 'japan', 'coronavirus', 'CoronavirusOutbreak']",45
2020-02-23 16:55:24,"#CoronavirusItalla: #Italy's confirmed cases surged from 3 on Friday to 130 by Sunday. The majority of #coronavirus infections are concentrated in #China (78,800),#Japan (738)&amp; #SouthKorea (602). Italy's spike marks the biggest outbreak outside of #Asia. https://t.co/ERgOzn7fg5",OneVenusThrow,"['CoronavirusItalla', 'Italy', 'coronavirus', 'China', 'Japan', 'SouthKorea', 'Asia']",3578
2020-02-23 16:50:38,#Avigan #Favipiravir is an antiviral agent that inhibits the RNA dependent RNA polymerase of RNA viruses  https://t.co/WTLeEVgyI0  #Japan tests against #coronavirus,donaldhackett,"['Avigan', 'Favipiravir', 'Japan', 'coronavirus']",19998
2020-02-23 16:41:25,BBC News - Four new #UK #coronavirus cases among #cruiseship evacuees https://t.co/WGMNyB59Cy #COVID19 #2019nCoV #coronavirusoutbreak #DiamondPrincess #Japan,davi326,"['UK', 'coronavirus', 'cruiseship', 'COVID19', '2019nCoV', 'coronavirusoutbreak', 'DiamondPrincess', 'Japan']",2743
2020-02-23 16:33:25,A passenger pressed the emergency alarm on a train in Japan because someone was coughing without wearing a mask The s... #coronavirus  #Japan  #train  #Asia  #World By @independent https://t.co/IpwCuUgdcM,aboutcoronavir1,"['coronavirus', 'Japan', 'train', 'Asia', 'World']",4
2020-02-23 16:32:29,Four of the British and Irish evacuees who landed back in the #UK from #Japan yesterday have tested positive for #coronavirus    https://t.co/gdYxaGJE0K,Gerrrty,"['UK', 'Japan', 'coronavirus']",7421
2020-02-23 16:28:07,Third death from #Japan cruise ship as health minister vows to set #coronavirus strategy https://t.co/12fUN8XkfO,HeraldNGNews,"['Japan', 'coronavirus']",86
2020-02-23 16:16:54,#NEW: #UK confirms 4 new cases of #coronavirus. They are all former passengers of the Diamond Princess cruise ship in #Japan. (BNO)   #Covid_19,Apex_WW,"['NEW', 'UK', 'coronavirus', 'Japan', 'Covid_19']",2325
2020-02-23 16:16:09,"It's hardly able to get the coronavirus test in the Health Centres of Japan.  Out of the 13,900 telephone consultations, only 500 were connected to a specialised outpatient clinics.  😱😱😱😱  #coronavirus  #COVID19  #CoronavirusOutbreak #Japan #COVID2019 https://t.co/7KYdAKyp49",wisa8wisa,"['coronavirus', 'COVID19', 'CoronavirusOutbreak', 'Japan', 'COVID2019']",17
2020-02-23 16:02:30,#Coronavirus is quickly spreading outside China 😔 #SouthKorea #Japan #Iran #Italy,mohammadr3zam,"['Coronavirus', 'SouthKorea', 'Japan', 'Iran', 'Italy']",225
2020-02-23 16:02:07,"🔴 #coronavirus alarm worldwide:  ✔ Cases in 33 countries, 75,831 cases in China, 2236 dead ✔ #Worldwide 77,268 cases are 2553 dead  #CoronaVirusitaly #Germany #UnitedStates #Malaysia #Iran #CoronavirusFrance #Singapore #SouthKorea #Thailand #UK #Coronavirius #Japan #Australia https://t.co/lwnltSoybI",WorldSC_org,"['coronavirus', 'Worldwide', 'CoronaVirusitaly', 'Germany', 'UnitedStates', 'Malaysia', 'Iran', 'CoronavirusFrance', 'Singapore', 'SouthKorea', 'Thailand', 'UK', 'Coronavirius', 'Japan', 'Australia']",44
2020-02-23 16:02:03,Japan ministry of health announced that doctors and nurses who charged of clues ship are not covered by coronavirus inspection  because they are busy. #coronavirus  #Japan #Japandemic #shame https://t.co/6uOtp7eZcb,Naoookey1,"['coronavirus', 'Japan', 'Japandemic', 'shame']",14
2020-02-23 15:59:37,#RepoCrisis = many #banks are becoming concerned about who is holding whose #debt-#Negativeyields #Europe #Japan #recession #coronavirus #Lebanon #junkbonds #creditspreads #USD #markets,magnuimsinfo,"['RepoCrisis', 'banks', 'debt', 'Negativeyields', 'Europe', 'Japan', 'recession', 'coronavirus', 'Lebanon', 'junkbonds', 'creditspreads', 'USD', 'markets']",959
2020-02-23 15:58:06,Night Mood in Tokyo Japan 🇯🇵 #photography #Filmmaking 📷 #colour_collective #coronavirus #coffeeandvanilla #picsart #nature #art #Sony #Nikon #canon #fujifilm #Yulia #tokyo #Japan #night #NightPhotography #girl #Asim #portraitphotography #500pxrtg https://t.co/qMZ8Av8kPX,jm_sport,"['photography', 'Filmmaking', 'colour_collective', 'coronavirus', 'coffeeandvanilla', 'picsart', 'nature', 'art', 'Sony', 'Nikon', 'canon', 'fujifilm', 'Yulia', 'tokyo', 'Japan', 'night', 'NightPhotography', 'girl', 'Asim', 'portraitphotography', '500pxrtg']",37160
2020-02-23 15:53:39,"#Israel to ban entry to foreigners coming from #SouthKorea, #Japan #coronavirus  https://t.co/dfyk7RfdXU via @timesofisrael",edrormba,"['Israel', 'SouthKorea', 'Japan', 'coronavirus']",10324
2020-02-23 15:51:10,Styx Sunday am update from Amsterdam - #coronavirus #flightbans to extend to #Japan &amp; #SK? Prep now. https://t.co/uKRgnDDPh3,RadChick4Cast,"['coronavirus', 'flightbans', 'Japan', 'SK']",3667
2020-02-23 15:47:24,2/18~2/22 Prime minister Shinzo Abe did not attend the Conference to Cope With Coronavirus and Diet. 😟😟😖He enjoyed sashimi at Official residence.#COVID19 #安倍晋三 #Japan #coronavirus https://t.co/3coME1aQvj,shumi_wale,"['COVID19', '安倍晋三', 'Japan', 'coronavirus']",1
2020-02-23 15:31:58,"So far, I'm not infected, but my mind is occupied by the virus. #CoronaVirus #Japan",I_Am_or_Not_,"['CoronaVirus', 'Japan']",6
2020-02-23 15:31:25,It usually takes an average of 7 years to make a vaccine for a virus but WHO and governments trying to make in 2 years for coronavirus. Think what coronavirus will cause death in 2 years if not 7 years #Coronavirus #China #Japan,farhan_hackit,"['Coronavirus', 'China', 'Japan']",26
2020-02-23 15:17:05,British couple with coronavirus are struggling with their 'mental health' #coronavirus #Japan #DiamondPrincess #DavidAbel - https://t.co/5C0BgshRiu https://t.co/3z8GzzfsrD,LondonLovesBiz,"['coronavirus', 'Japan', 'DiamondPrincess', 'DavidAbel']",28546
2020-02-23 15:11:21,"• A 3rd #DiamondPrincess passenger has died from #coronavirus #COVID19, says #Japan's Ministry of Health  • There also 57 new infections from the ship  • 691 people have now been infected on the ship  • Japan's total is 826 cases and 4 deaths  https://t.co/NrurPKocWp",KjeldDuits,"['DiamondPrincess', 'coronavirus', 'COVID19', 'Japan']",4846
2020-02-23 14:55:16,"#DiamondPrincess: ""Third Diamond Princess passenger dies"" -@NHKWORLD_News: https://t.co/1OJ3M7fqO6  #coronavirus #COVID19 #NovelCoronavirus #Japan",BCWildfireWkly,"['DiamondPrincess', 'coronavirus', 'COVID19', 'NovelCoronavirus', 'Japan']",1078
