timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-23 17:12:27,Four new UK coronavirus cases among ship evacuees  #coronavirus #coronarvirues #CoronaOutbreak #Wuhan #China #COVID19   https://t.co/4tbnpmAhpL,yogendrapal72,"['coronavirus', 'coronarvirues', 'CoronaOutbreak', 'Wuhan', 'China', 'COVID19']",8844
2020-02-23 17:11:44,Disaster Relief Means Stealing During Disaster  #HRCratlines Cracks A Smile &amp; Part Of Her Face Breaks Off 😅+😉=👊  #COVID19 #Wetsuweten #cdnpoli #Coronavirus #China #Wuhan #FreeChina #XiJinping #Pandemic #BiologicalWarfare #Quarantine #MartialLaw #MilitaryTribunals #DeepState https://t.co/XrREUUEiq8,CLajambe,"['HRCratlines', 'COVID19', 'Wetsuweten', 'cdnpoli', 'Coronavirus', 'China', 'Wuhan', 'FreeChina', 'XiJinping', 'Pandemic', 'BiologicalWarfare', 'Quarantine', 'MartialLaw', 'MilitaryTribunals', 'DeepState']",133
2020-02-23 17:10:41,Quick question to #doctors.  Do you suspect #Covid19 #infection at first if you see a patient with a #cold #symptom now? #Coronavirus #fever #Wuhan #China #WHO,marietemporubat,"['doctors', 'Covid19', 'infection', 'cold', 'symptom', 'Coronavirus', 'fever', 'Wuhan', 'China', 'WHO']",7
2020-02-23 17:09:11,Another doctor has died treating #coronavirus patients in #Wuhan: that makes 5 doctors who’ve died in #China dealing with this crisis.,StephenMcDonell,"['coronavirus', 'Wuhan', 'China']",64010
2020-02-23 17:08:21,Northern Italy is shutting down due to #Wuhan #Coronavirus #COVID. Carnival in Venice is shutting down early also. https://t.co/vMLogFbXst,SkipMarcucciMD,"['Wuhan', 'Coronavirus', 'COVID']",3048
2020-02-23 17:08:10,"The Sounds of #Wuhan at Night During #COVID19 Outbreak  1/ Translation (from r/China_Flu)  ""-Well friends, yours truly, the guy online in this little neighborhood block can't hold it anymore. Let's hear this scream.  -No idea what they're waiting for"" #Coronavirus https://t.co/kmrVqSWoCH",JCovid19,"['Wuhan', 'COVID19', 'Coronavirus']",67
2020-02-23 17:05:51,A must read in today’s @nypost #NYPost article by #stevenmosher makes complete sense &amp; is horrifying. Until reading this I had no idea #China had a bio lab in #Wuhan   #coronavirus #COrVID19 #coronavirusitalla THE WORLD MUST STEP IN  Why China immediately built hospitals in days https://t.co/iCorCz4efO,2L8ICU,"['NYPost', 'stevenmosher', 'China', 'Wuhan', 'coronavirus', 'COrVID19', 'coronavirusitalla']",3
2020-02-23 17:00:14,Medical workers in #Wuhan have raced against time and spared no effort to fight against the epidemic. #COVID19 #coronavirus https://t.co/HVIrO4MPRI,ChinaDaily,"['Wuhan', 'COVID19', 'coronavirus']",4288133
2020-02-23 17:00:05,"New Research: Bats Harbor Hundreds Of Coronaviruses, And Spillovers Aren't Rare https://t.co/iFomcDmF3P #coronavirus #2019nCoV #virus #chinavirus #wuhan #sos #COVID19",misskatiele,"['coronavirus', '2019nCoV', 'virus', 'chinavirus', 'wuhan', 'sos', 'COVID19']",69
2020-02-23 17:00:01,"Roads are voluntarily opened to make way for the migration back to work, the people are eager to get back to work and enjoy a affluent lifestyle with relative freedom #coronavirus #CoronavirusOutbreak #Wuhan #coronaviruschina #coronavirusaustralia #CoronaVirusCanada",PrimitiveTube,"['coronavirus', 'CoronavirusOutbreak', 'Wuhan', 'coronaviruschina', 'coronavirusaustralia', 'CoronaVirusCanada']",128
