timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-23 17:11:31,@TallyPaige @Arvai19 This is Nature Vs. Money.  The cost of ridding ourselves of this virus -- one way or another -- is going to be beyond any accounting method currently used.  We don't have an alternative system for this situation.  #NatureVsMoney  #coronavirus #WuhanCoronavirus #COVID19,mikecane,"['NatureVsMoney', 'coronavirus', 'WuhanCoronavirus', 'COVID19']",157
2020-02-23 17:09:07,Does Japan need Lelouch now？ #コロナウィルス  #WuhanCoronavirus #ChinaPneumonia  #COVID2019 https://t.co/rwIbD3j4qV,FungT52,"['コロナウィルス', 'WuhanCoronavirus', 'ChinaPneumonia', 'COVID2019']",117
2020-02-23 17:07:22,"Both are Official. One of them lied again? In this case, it looked like #Wuhan city government lied about having 0 confirmed #WuhanCoronavirus case on Jan 14. https://t.co/gI5c94v1Jf",Donald56602445,"['Wuhan', 'WuhanCoronavirus']",185
2020-02-23 17:07:22,"@paulturner2012 @benedictrogers Yes, while some Chinese giving Free Hugs in Milan,  #WuhanCoronavirus spread there! #WuhanLockDown is not enough, we need #ChinaLockDown now to clear &amp; stabilize local cases. #BanChinaFlights to curb #WuhanCoronavirus #COVID19 https://t.co/6cntRP6rtK",dm6891,"['WuhanCoronavirus', 'WuhanLockDown', 'ChinaLockDown', 'BanChinaFlights', 'WuhanCoronavirus', 'COVID19']",506
2020-02-23 17:04:10,@WSJ @WSJopinion CCP is rotten to its root and its a threat to every people both in the free world and those in China. #WuhanCoronavirus is just another incident that exposes how much a threat they are. https://t.co/o9GSsu9Ln7,Michael90737967,['WuhanCoronavirus'],178
2020-02-23 17:03:49,"@soumagi2 @0rangeCru5h @kerberos007 Will see,  #5to10percentcorrectionfromhereislikely , very likely, to price in the panic , then market will say: what the hell, life goes on, just dance with the Wolf, &amp; live with #WuhanCoronavirus , and buy the dip of 🇺🇸Tech stocks  😂😂😂",readtw271,"['5to10percentcorrectionfromhereislikely', 'WuhanCoronavirus']",381
2020-02-23 17:03:06,"@livecrisisnews Yeah the spread there has not being optimal at all.   •COVID-19 CORONAVIRUS OUTBREAK Last updated: February 23, 2020, 16:57 GMT  https://t.co/5e8JszgrpW  #Coronavirus  #CoronavirusOutbreak #COVID19 #WuhanCoronavirus #Wuhanvirus #COVID19news   #southkorea https://t.co/Fbp0Rwa0iQ",readingonline,"['Coronavirus', 'CoronavirusOutbreak', 'COVID19', 'WuhanCoronavirus', 'Wuhanvirus', 'COVID19news', 'southkorea']",550
2020-02-23 17:02:48,"@GordonGChang As the rest of the world suffers, they recover sooner... I get it. Back to work. #COVID2019 #WuFlu #WuhanCoronavirus https://t.co/d3izal0yeM",DoubleEagle49,"['COVID2019', 'WuFlu', 'WuhanCoronavirus']",1970
2020-02-23 17:02:40,#coronavirus outbreak is looking more and more like a global #pandemic by the day.   https://t.co/n5IbVpsAZB  #COVID2019 confirmed cases are up in countries near #SouthKorea and far #Italy #Iran away from #China where the epicenter #WuhanCoronavirus was first found. https://t.co/EOCoEHjlIG,sqliam,"['coronavirus', 'pandemic', 'COVID2019', 'SouthKorea', 'Italy', 'Iran', 'China', 'WuhanCoronavirus']",338
2020-02-23 17:01:23,"Articles like these are from some bizarre other world now.  We are facing the biggest threat in modern history and people at as if nothing is amiss...  .. and when they wake up, they will panic report.  #coronavirus #WuhanCoronavirus #COVID19 https://t.co/SAmbqtJ4Sn",mikecane,"['coronavirus', 'WuhanCoronavirus', 'COVID19']",157
2020-02-23 17:01:17,What?  //there is this little-known fact: Some Chinese researchers are believed to sell laboratory animals to street vendors after they have finished experimenting on them.//  Wtf！#WuhanCoronavirus #WuhanVirus #chinazi #武汉肺炎 #武漢肺炎@chrf_hk @SolomonYue https://t.co/Pn0lY0oEl1,beverleylve,"['WuhanCoronavirus', 'WuhanVirus', 'chinazi', '武汉肺炎', '武漢肺炎']",237
2020-02-23 17:01:02,#Coronavirus #COVID19 Update Follow my lists for news: CHINA https://t.co/T9Gxlfy5W0 HEALTH https://t.co/KALLwq0C2L SCIENCE REPORTING https://t.co/5ZoOf1bXEq ASIA 1 https://t.co/iklQe17gyB ASIA 2 https://t.co/aBzbaA2Xnv #SARSCoV2 #nCoV2019 #2019nCov #WuhanCoronavirus #WuhanVirus https://t.co/vhaSouJGAZ,ninatypewriter,"['Coronavirus', 'COVID19', 'SARSCoV2', 'nCoV2019', '2019nCov', 'WuhanCoronavirus', 'WuhanVirus']",10719
2020-02-23 17:00:00,Are they patients ? 😢 #coronavirus #corona #COVID19  #WuhanCoronavirus #COVID #COVID19 #China #wuhan #冠状病毒 #coronavirus #CoronavirusOutbreak #Wuhan #coronaviruschina #coronavirusaustralia #CoronaVirusCanada,RoutVanna,"['coronavirus', 'corona', 'COVID19', 'WuhanCoronavirus', 'COVID', 'COVID19', 'China', 'wuhan', '冠状病毒', 'coronavirus', 'CoronavirusOutbreak', 'Wuhan', 'coronaviruschina', 'coronavirusaustralia', 'CoronaVirusCanada']",495
2020-02-23 16:59:15,Chinese comunist government lied to  all of us. They didn't report the real situation in Wuhan and China Mainland. They hidden the truth as always and now this deadly virus is spreading all over the world. #coronavirus #COVID #CoronavirusOutbreak #WuhanCoronavirus,anabacanu89,"['coronavirus', 'COVID', 'CoronavirusOutbreak', 'WuhanCoronavirus']",48
2020-02-23 16:58:07,"No, but it can mean that everyone with a comordibity will either die or survive in such a poor state that they will wish they had died.  Permanent cardiac iinjury is a possibility.  #coronavirus #WuhanCoronavirus #COVID19 https://t.co/YGojWE1Ldf",mikecane,"['coronavirus', 'WuhanCoronavirus', 'COVID19']",157
2020-02-23 16:57:18,BOMBSHELL: Fewer than 600 people “officially” tested for coronavirus in the entire United States; massive cover-up under way as 47 U.S states have tested ZERO people  #Trump2020 #MAGA #WWG1WGA #QAnon #CoronavirusCoverup #coronavirus #USA #WuhanCoronavirus  https://t.co/aryUB2qnhg,TimesUpGodWins,"['Trump2020', 'MAGA', 'WWG1WGA', 'QAnon', 'CoronavirusCoverup', 'coronavirus', 'USA', 'WuhanCoronavirus']",168
2020-02-23 16:53:15,"There is no #WuhanCoronavirus in the US as it seems doctors and hospitals might be instructed - on Trump’s orders? - not to test for it even when it obviously should be done!   An easy way to avoid a communicable disease, sure takes a #verystablegenius!   Via @QuatrainGleam https://t.co/EU2pxUlXui https://t.co/PAEbIxknug",ReporterPhoenix,"['WuhanCoronavirus', 'verystablegenius']",29715
2020-02-23 16:53:06,"I have had harsh words for China, mainly having to do with their numbers.  It's time for me to give them some overdue credit: Their massive quarantine was a valiant effort that should not go unnoticed in history.  #coronavirus #WuhanCoronavirus #COVID19",mikecane,"['coronavirus', 'WuhanCoronavirus', 'COVID19']",157
2020-02-23 16:48:41,One Of The Best &amp; Credible Sites About Various Aspects Of The Coronavirus...https://t.co/5CSxElybzz  #Italy #coronavirus  #Corona #coronaviruschina #COVID19italia #COVID19 #COVID #COVID2019 #Covid_19 #COVID19Korea #WuhanCoronavirus #WuhanCoronovirus #USA #Iran #SouthKorea https://t.co/YvMRiO9tmG,HealthUpdates5,"['Italy', 'coronavirus', 'Corona', 'coronaviruschina', 'COVID19italia', 'COVID19', 'COVID', 'COVID2019', 'Covid_19', 'COVID19Korea', 'WuhanCoronavirus', 'WuhanCoronovirus', 'USA', 'Iran', 'SouthKorea']",17
2020-02-23 16:48:20,"Doesn't anyone yet understand what a time bomb #SARSCoV2 is?  Asymptomatic spread should tell you everything.  YOU won't know if you have it and are shedding it.  Stop thinking only ""other"" people will do that.  #coronavirus #WuhanCoronavirus #COVID19",mikecane,"['SARSCoV2', 'coronavirus', 'WuhanCoronavirus', 'COVID19']",157
2020-02-23 16:47:24,"@HongKongFP Yea.. #WuhanCoronavirus is the biggest health emergency, but China keeps censoring info and expelling journalists.  I dont read much into his words.",BoscoWo42122490,['WuhanCoronavirus'],5375
2020-02-23 16:46:05,Praying for medical staff on frontlines and the infected. ✌️💪🤟❤️ #hospital #coronavirusjapan #Wuhan #WuhanCoronavirus #COVID19 #COVID #โควิด19 #โควิด https://t.co/dvKnbqSmyo,Kramkeaw,"['hospital', 'coronavirusjapan', 'Wuhan', 'WuhanCoronavirus', 'COVID19', 'COVID', 'โควิด19', 'โควิด']",85
2020-02-23 16:42:07,#Coronavirus #COVID19 Update Follow my lists for news: CHINA https://t.co/T9Gxlfy5W0 HEALTH https://t.co/KALLwq0C2L SCIENCE REPORTING https://t.co/5ZoOf1bXEq ASIA 1 https://t.co/iklQe17gyB ASIA 2 https://t.co/aBzbaA2Xnv #SARSCoV2 #nCoV2019 #2019nCov #WuhanCoronavirus #WuhanVirus https://t.co/bO9W518Cfo,ninatypewriter,"['Coronavirus', 'COVID19', 'SARSCoV2', 'nCoV2019', '2019nCov', 'WuhanCoronavirus', 'WuhanVirus']",10719
2020-02-23 16:40:35,"@DrTedros @WHO The outbreak of #WuhanCoronavirus in SK because of your misgovernace. If you announced #WuhanCoronavirusOutbreak as global public health emergency instead of serving China's interest to minimize its impact, every country must be well-prepared. Step down NOW! https://t.co/59DXmt458h",fu7371,"['WuhanCoronavirus', 'WuhanCoronavirusOutbreak']",74
2020-02-23 16:40:26,@ScottMorrisonMP is Australia becoming a province of Vhonese Empire? That's not bad. Take a look at HK. Influx of Chinese capitals. Rocketing price in estates. And of course #WuhanCoronavirus is inevitable. https://t.co/A5DvZ3ju0Z,Johnjohn_tong,['WuhanCoronavirus'],225
2020-02-23 16:39:38,"#فيروس_كورونا_المستجدّ #فيروس_كورونا I told u so on Jan 23, 2020. Never underestimate my 7th sense 🙄 #coronavirus #CoronavirusOutbreak #Corona #WuhanCoronavirus #Lebanon https://t.co/uKQbnLO0co",GhinaNahfawi,"['فيروس_كورونا_المستجدّ', 'فيروس_كورونا', 'coronavirus', 'CoronavirusOutbreak', 'Corona', 'WuhanCoronavirus', 'Lebanon']",6061
2020-02-23 16:38:49,"Worldometer on Italy: ""Armed forces and police forces have been mobilized to form an insurmountable ""health belt"" around contagion areas. Roadblock violators risk up to a 3 months prison sentence.""  Damn.  #coronavirus #WuhanCoronavirus #COVID19",mikecane,"['coronavirus', 'WuhanCoronavirus', 'COVID19']",157
2020-02-23 16:37:52,@WHO @DrTedros @_AfricanUnion Teach time to cover up #WuhanCoronavirus with your personal experiences ? https://t.co/qmPUUhEU0w,fu7371,['WuhanCoronavirus'],74
2020-02-23 16:36:17,"Worldometer: ""The novel coronavirus COVID-19 is affecting 33 countries and territories around the world""  When does @WHO finally admit this is a pandemic?!  #coronavirus #WuhanCoronavirus #COVID19",mikecane,"['coronavirus', 'WuhanCoronavirus', 'COVID19']",157
2020-02-23 16:33:08,Google Translate does a horrible job with this.  Anyone can read Chinese and translate the original in a tweet?  #coronavirus #WuhanCoronavirus #COVID19 https://t.co/xnc4ruZ56z,mikecane,"['coronavirus', 'WuhanCoronavirus', 'COVID19']",157
2020-02-23 16:30:00,German study lists 20 countries that are most likely to import coronavirus around the world.. #Germany #Coronavirus #COVID #Wuhan #WuhanCoronavirus #CoronavirusOutbreak #China #CoronavirusChina #COVID19 https://t.co/IpEqhHByAH,TPE_connect,"['Germany', 'Coronavirus', 'COVID', 'Wuhan', 'WuhanCoronavirus', 'CoronavirusOutbreak', 'China', 'CoronavirusChina', 'COVID19']",629
2020-02-23 16:30:00,"The Communist Party of China will beat you and put you in jail if you don’t wear face mask in public, part 2 #coronavirusOutbreak #COVID19 #SARSCoV2 #WuhanCoronavirus #2019nCoV #coronavirus #wuhan",Esmerda9,"['coronavirusOutbreak', 'COVID19', 'SARSCoV2', 'WuhanCoronavirus', '2019nCoV', 'coronavirus', 'wuhan']",1128
2020-02-23 16:29:44,"@tomgrundy Blaming economy as the main cause of the protests in Hong Kong is way too superficial.   The protest is all about justice, and freedom.  We need to have the genuine #universalsuffrage asap. The outbreak of #WuhanCoronavirus shows how incompetent the so called government is.",BoscoWo42122490,"['universalsuffrage', 'WuhanCoronavirus']",5375
2020-02-23 16:28:50,Winnie the Flu #WuhanCoronavirus #WuhanCoronavirusOutbreak #AntiChinazi #ANtiCCP #武漢肺炎疫情 #武漢疫情 https://t.co/AwmZ0bTGbl,HKoyylyyo,"['WuhanCoronavirus', 'WuhanCoronavirusOutbreak', 'AntiChinazi', 'ANtiCCP', '武漢肺炎疫情', '武漢疫情']",1296
2020-02-23 16:26:54,All of us in the free world know that too. And we are NOT happy about the plan. #OverthrowTheCCP #WuhanCoronavirus #Covid_19 #XinnieThePoohFlu https://t.co/qfYWbfsGiO,TookiBear,"['OverthrowTheCCP', 'WuhanCoronavirus', 'Covid_19', 'XinnieThePoohFlu']",346
2020-02-23 16:25:11,@HKGTranslator @vhtcvkye Hk gov clearly have NO INTENTION to prevent or minimise the possibility of #WuhanCoronavirus spreading in #HongKong !! I don’t and will not trust hk gov and #CCPChina in my lifetime!! https://t.co/dJL43e1pkI,mintcho95795318,"['WuhanCoronavirus', 'HongKong', 'CCPChina']",509
2020-02-23 16:24:45,#SouthKorea has raised its disease alert to the highest level after a surge in #coronavirus infections.  #CoronavirusOutbreak #COVID19 #WuhanCoronavirus #Wuhanvirus #COVID19news    https://t.co/Rc0q1Yvg67,readingonline,"['SouthKorea', 'coronavirus', 'CoronavirusOutbreak', 'COVID19', 'WuhanCoronavirus', 'Wuhanvirus', 'COVID19news']",550
2020-02-23 16:22:36,"If China fumbles this, the cascade of this disaster will begin for real.  It will lead to Bernie Sanders as President and his ""Bernie Bucks"" as a lifejacket...  #NatureVsMoney  #coronavirus #WuhanCoronavirus #COVID19",mikecane,"['NatureVsMoney', 'coronavirus', 'WuhanCoronavirus', 'COVID19']",157
2020-02-23 16:22:36,This is where China needs to lead by coming up with a way to deal with the #SARSCoV2 clot that has gotten into the bloodstream of money.  This is an unprecedented situation and we can't look to 1918 for help.  #NatureVsMoney  #coronavirus #WuhanCoronavirus #COVID19,mikecane,"['SARSCoV2', 'NatureVsMoney', 'coronavirus', 'WuhanCoronavirus', 'COVID19']",157
2020-02-23 16:22:36,And now the world holds its breath...  Millions of Chinese Firms Face Collapse If Banks Don’t Act Fast https://t.co/d7OXkEjgAA  #NatureVsMoney  #coronavirus #WuhanCoronavirus #COVID19,mikecane,"['NatureVsMoney', 'coronavirus', 'WuhanCoronavirus', 'COVID19']",157
