timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-23 21:03:38,"""Trump has repeatedly told advisers that pushing for a harder line against China could backfire because Xi controls the government “totally” and will not work with the United States if it says anything negative about the country""  #Covid_19 #COVID19 #Trump https://t.co/tH7XMMyq9s",JCovid19,"['Covid_19', 'COVID19', 'Trump']",79
2020-02-23 21:03:34,"Searching Corona-patient zero in #Italy: - Italian authorities are currently unable to find patient zero, which makes them unable to get a grip of how the virus has spread. - On Feb 6, I noticed in a report by Taiwanese government that Taiwanese came back from Italy with #COVID19 https://t.co/iC3jCGySgp",ghoeberx,"['Italy', 'COVID19']",1570
2020-02-23 21:03:30,"#Coronavirus Outbreak Soars in Iran, Italy, SouthKorea @moonriver365 @HassanRouhani @WHO @CDCgov @SecAzar @DrTedros have all these #COVID19 infected people travelled to @china @XiJinPing @KremlinRussia_E @Snowden @realDonaldTrump ""What Are We Not Being Told""? https://t.co/I9zhvc1nok",PrincessBibiRF_,"['Coronavirus', 'COVID19']",11655
2020-02-23 21:03:17,"BREAKING - AUSTRIA STOPS **ALL** TRAIN TRAFFIC TO AND FROM ITALY OVER #COVID19 CONCERNS.   ""We take the situation in Italy very seriously,"" Interior Minister of Austria https://t.co/gw30kSI0UH",disclosetv,['COVID19'],38638
2020-02-23 21:02:30,Italy battles 'explosion' of #coronavirus cases as third patient dies by sealing off the worst affected towns and banning public events in much of the north...  #covid19  https://t.co/hpMAGKonww,BabytoBoomer,"['coronavirus', 'covid19']",19433
2020-02-23 21:02:19,"Countries, territories or areas with reported confirmed cases of #COVID19, 23 February 2020 #coronovirus #WHO https://t.co/qoJkKD9eEw",yasharhuseyn,"['COVID19', 'coronovirus', 'WHO']",2016
2020-02-23 21:02:12,"@DrTedros @WHO What will #WHO do to mitigate #COVID19 in Iran?  Will WHO commit:  Send experts? Rx? Ventilators? Facilitate sanctions exemptions: med supplies to Iranian people?  Please recall that *every* major EU country , US, Canada have many Iranian-born ppl w/family in Iran  We are worried",RossinisCat,"['WHO', 'COVID19']",22
2020-02-23 21:02:07,“I had a long talk with President Xi..two nights ago and he feels very confident. He feels very confident.And he feels.. by April..the heat..kills this kind of virus..We’re in great shape in our country.” @realDonaldTrump said last week  #Covid_19 #COVID19 https://t.co/tH7XMMyq9s,JCovid19,"['Covid_19', 'COVID19']",79
2020-02-23 21:02:06,"@CGTNEurope #China’s #OneBeltAndOneRoad initiative is poison in economically as well politically, today #Italian people facing this #China's #COVID19  https://t.co/jKrQ3sgT3L #FreeTibet #FreeHK #XiJinping #XiVirus #CCP #WHO #BiologicalWeapons #CoronaRevolution #Chinazi #KarmaVirus #Italy #EU",TibetPeople,"['China', 'OneBeltAndOneRoad', 'Italian', 'China', 'COVID19', 'FreeTibet', 'FreeHK', 'XiJinping', 'XiVirus', 'CCP', 'WHO', 'BiologicalWeapons', 'CoronaRevolution', 'Chinazi', 'KarmaVirus', 'Italy', 'EU']",3865
2020-02-23 21:02:03,"We are preparing like many. But those who are not, many unaware of the #CoronavirusOutbreak will be blindsided. It will be #PANIC over #COVID19 quarantines. #prepare now. https://t.co/xBuo8zq2yO",CoronavirusR,"['CoronavirusOutbreak', 'PANIC', 'COVID19', 'prepare']",76
2020-02-23 21:01:53,"Breaking : United Kingdom 🇬🇧 confirms 4 new #coronavirus cases to total 13.  These patients were previously on the Diamond Princess cruise ship currently in Yokohama, Japan.  Total Recovered cases: 8  Source: UK Government Website  #COVID19 https://t.co/VQaT1PiAk6",QuakeFury,"['coronavirus', 'COVID19']",17382
2020-02-23 21:01:51,"Thread by @HeshmatAlavi: Shiraz, south-central #Iran Iranian children struggling with the coronavirus. People across the country are complainlack of government aid. #COVID19 @WHO @WHO #BREAKING Feb 23 - #Iran said on Sunday an Iranian infected by the new… https://t.co/txaEdYaTkV",DclareDiane,"['Iran', 'COVID19', 'BREAKING', 'Iran']",10375
2020-02-23 21:01:41,".@CIDRAP  @lisaschnirring  : #COVID19 surges continue in South Korea, Italy  https://t.co/F0iTLHGjM3 https://t.co/Sera35Y4aQ",greg_folkers,['COVID19'],3816
