timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-23 20:01:10,"😨#COVID19 in Western Pacific Region - 🇰🇷🇯🇵🇸🇬🇦🇺🇲🇾 Feb 23 @WHO report analysis:  ➡ Very worrisome situation in 🇰🇷🇯🇵 ➡ Today: +287 🇰🇷+256 🇯🇵+27 🇸🇬+3 🇦🇺+1 ➡ 6th day of epidemic amplification phase  Exponential : EG=0.14, R²=0.86   🔜Do not travel to #korea  #coronavirus #Covid_19 https://t.co/0OnjUrS8ys https://t.co/J1zWy7vcZw",nard_info,"['COVID19', 'korea', 'coronavirus', 'Covid_19']",652
2020-02-23 19:10:54,Situation as of 2pm on sunday. #Italy now 78 new cases just today. #Korea spiking.  #COVID19 https://t.co/h8XqSH1eOM,Frederic_Brunel,"['Italy', 'Korea', 'COVID19']",658
2020-02-23 18:42:48,"☣😰 @WHO #COVID19 Daily Report - Feb. 23: ➡New confirmed cases: 1.017 ⬇ ➡Total: 78.811 ➡New cases outside China: 367 ⬆ (36.1% of global new ⬆) ➡+287 in Western Pacific incl. +256 in #Korea ! ➡+67 🇮🇹#Italy, +10 🇮🇷 #Iran #coronavirus #Covid_19 https://t.co/WQIAc5WBUj https://t.co/ASKE57M5Xj",nard_info,"['COVID19', 'Korea', 'Italy', 'Iran', 'coronavirus', 'Covid_19']",652
2020-02-23 17:22:47,#COVID19 cases in South #Korea 602 confirmed 6 deaths 17 recovered  Case Fatality Rate (resolved cases) 26%  #Japan 146 confirmed 1 deaths 23 recovered  CFR (resolved cases) 4.2%  #Italy 155 confirmed 3 deaths ? recovered  CFR (all cases) 1.9%  https://t.co/hYS3O1Ej0A  #news,TheVoiceOfLibe3,"['COVID19', 'Korea', 'Japan', 'Italy', 'news']",1424
2020-02-23 16:00:02,"Good to welcome Kyung-wha Kang, Minister @MOFAkr_eng 🇰🇷, today to @WHO. Republic of #Korea has vast experience &amp; expertise in health security &amp; I am confident they are doing everything to tackle the serious challenge of #COVID19. We welcome 🇰🇷's support for the global response. https://t.co/7jnNZCIBbm",DrTedros,"['Korea', 'COVID19']",494916
2020-02-23 15:34:32,"South #Korea goes on ""red alert"" over #COVID19. This is their highest alert level, after which there is only blind panic.  Will it be enough? Has #coronavirus already won the day?  https://t.co/RzkuwdLGbK  #news #health",coronsvirusc,"['Korea', 'COVID19', 'coronavirus', 'news', 'health']",80
2020-02-23 15:31:05,"South #Korea goes on ""red alert"" over #COVID19. This is their highest alert level, after which there is only blind panic.  Will it be enough? Has #coronavirus already won the day?  https://t.co/e34Vf8y7Mw  #news #health",TheVoiceOfLibe3,"['Korea', 'COVID19', 'coronavirus', 'news', 'health']",1424
2020-02-23 15:09:48,"In South #Korea: 166 new cases and 4 new deaths.  President raised alert level to maximum Level (4 Serious),  empowering government to lock down cities and restrict travel. #COVID19  Look at growth in just a week. https://t.co/syE74JzdAp",Frederic_Brunel,"['Korea', 'COVID19']",658
2020-02-23 15:03:31,South #Korea has raised the alert level for the novel coronavirus to “highest” on Sunday as confirmed cases continue to rise at an alarming rate #COVID19 #coronaviruschina https://t.co/PHGW1PbnFx,BCNewsWire,"['Korea', 'COVID19', 'coronaviruschina']",4072
2020-02-23 14:57:58,Coronavirus: South Korea declares highest alert as infections surge via @BBCNews  https://t.co/842CbbBIYo #SKorea #Korea #coronavirus #Covid19 #2019nCoV #virus #health #healthcare #medicine #science #research #travel #travellers #economy #RegionalSecurity #WHO,ChuckDalldorf,"['SKorea', 'Korea', 'coronavirus', 'Covid19', '2019nCoV', 'virus', 'health', 'healthcare', 'medicine', 'science', 'research', 'travel', 'travellers', 'economy', 'RegionalSecurity', 'WHO']",4279
