timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-23 21:00:17,Clorox Broad Spectrum Quaternary Disinfectant https://t.co/KtC9FA95YA #ad #coronavirus #coronaoutbreak #wuhanflu #chinaflu #virus #CoronavirusOutbreak #coronaviruswuhan #2019nCoV #COVID19 #wuhan #china #outbreak #CoronavirusUSA #pandemic,mystylehfb,"['ad', 'coronavirus', 'coronaoutbreak', 'wuhanflu', 'chinaflu', 'virus', 'CoronavirusOutbreak', 'coronaviruswuhan', '2019nCoV', 'COVID19', 'wuhan', 'china', 'outbreak', 'CoronavirusUSA', 'pandemic']",5701
2020-02-23 21:00:10,Remdesivir has been shown to inhibit if not outright cure the #Coronavirus. Need to ramp up production and distribution of the drug.,jpwilloughby,['Coronavirus'],1851
2020-02-23 21:00:07,"As #coronavirus prevention &amp; control measures continue in #China, new outbreaks of the respiratory disease COVID-19 in #SouthKorea, #Italy &amp; #Iran have health officials on high alert over the global spread of an illness... 👽#ASUP https://t.co/f5ycBNBRL6",ASandUP,"['coronavirus', 'China', 'SouthKorea', 'Italy', 'Iran', 'ASUP']",228
2020-02-23 21:00:05,Please pray for Christians in #China who are incarcerated during this #Coronavirus outbreak. Their lives could be in danger. Read more: https://t.co/9xEsYjPQOf,persecutionnews,"['China', 'Coronavirus']",75303
2020-02-23 21:00:03,#protection #HowTo #Tips #CoronavirusOutbreak #coronaviruschina #China #ChinaVirus #Wuhan #WuhanCoronavirus #coronaviruswuhan #NovelCoronavirus #novelcoronavirus2019 #Covid_19   How to make your own #coronavirus protective #mask: step-by-step instructions https://t.co/hfW8feIFmK,healthstepsonly,"['protection', 'HowTo', 'Tips', 'CoronavirusOutbreak', 'coronaviruschina', 'China', 'ChinaVirus', 'Wuhan', 'WuhanCoronavirus', 'coronaviruswuhan', 'NovelCoronavirus', 'novelcoronavirus2019', 'Covid_19', 'coronavirus', 'mask']",16949
2020-02-23 21:00:02,#NowPlaying Christopher Martin - Lovers (Main)  PARTY MACHINE RADIO;  Hits All The Way! Life Is A Party! Listen Live&gt;&gt;  https://t.co/Rx87mG9lK9  #djbobbipartymachineradio #radio #bestdj #coronavirus #stopthespread  https://t.co/crSUuxQiai,videodjbobbi,"['NowPlaying', 'djbobbipartymachineradio', 'radio', 'bestdj', 'coronavirus', 'stopthespread']",8835
2020-02-23 21:00:01,Is Coronavirus Spread By People Without Symptoms? : Shots - Health News SEE DETAILS AT ==&amp;gt; https://t.co/t1dRTuiiN4 #virus #coronavirus #sars #flu #china #trump https://t.co/6cy8p3w5ck,childrenshealth,"['virus', 'coronavirus', 'sars', 'flu', 'china', 'trump']",20
2020-02-23 21:00:00,"For the latest on VA precautions and other information surrounding the #coronavirus, please visit https://t.co/nTHecuzTRw https://t.co/MCJobXJmbw",VANorCal,['coronavirus'],1710
2020-02-23 21:00:00,"When it comes to the handling of the #coronavirus outbreak, it is clear that China has learned its lessons from the 2003 SARS epidemic. https://t.co/JO7UPplcsr",myfairobserver,['coronavirus'],13475
2020-02-23 21:00:00,"A street, every door barricaded, cars suggest there are people inside, so does the camera man's exasperation. #COVID #COVID19 #China #wuhan #冠状病毒 #coronavirus #CoronavirusOutbreak #Wuhan #coronaviruschina #coronavirusaustralia #CoronaVirusCanada",Esmerda9,"['COVID', 'COVID19', 'China', 'wuhan', '冠状病毒', 'coronavirus', 'CoronavirusOutbreak', 'Wuhan', 'coronaviruschina', 'coronavirusaustralia', 'CoronaVirusCanada']",1130
2020-02-23 21:00:00,Quick break from all the bad news on #CoronavirusOutbreak #WuhanCoronavirus #covid19 #coronavirus #coronavirusoutbreak,PrimitiveTube,"['CoronavirusOutbreak', 'WuhanCoronavirus', 'covid19', 'coronavirus', 'coronavirusoutbreak']",129
2020-02-23 21:00:00,"Chinese policymakers expect a quick recovery of economic growth after the novel #coronavirus pneumonia epidemic is contained, as the country has made a series of strong policy adjustments to counter downward growth pressure. #COVID19 #economy",ChinaDaily,"['coronavirus', 'COVID19', 'economy']",4288213
2020-02-23 21:00:00,VIDEO: What was he thinking? https://t.co/sixJtxvJi6 #coronavirus #COVID-19,ViralTabNews,"['coronavirus', 'COVID']",82
