timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-23 21:00:07,"As #coronavirus prevention &amp; control measures continue in #China, new outbreaks of the respiratory disease COVID-19 in #SouthKorea, #Italy &amp; #Iran have health officials on high alert over the global spread of an illness... 👽#ASUP https://t.co/f5ycBNBRL6",ASandUP,"['coronavirus', 'China', 'SouthKorea', 'Italy', 'Iran', 'ASUP']",228
2020-02-23 20:59:35,"URGENT - 1 #train from #Italy has been stopped and is confined to #Austria, at the border, due to 2 suspicious cases of #coronavirus on board. Medical analyses are underway. Northern Italy is hit by #Covid_19. #Covid19italia",BreakingPatate,"['train', 'Italy', 'Austria', 'coronavirus', 'Covid_19', 'Covid19italia']",198
2020-02-23 20:59:14,"#,#BREAKING  #Austria suspends train commute to #Italy over #coronavirus risks. #covid19 https://t.co/VCFbvHOMAq",newsfreak1984,"['BREAKING', 'Austria', 'Italy', 'coronavirus', 'covid19']",648
2020-02-23 20:59:07,"International concern about the spread of #CoronaVirus outside #China grew on Sunday with sharp rises in infections in #SouthKorea, #Italy, and #Iran. In the #USA State Department says #Americans who get sick in #Asia will no longer be repatriated. https://t.co/yw7BbQZNDx",PhotoTelegram,"['CoronaVirus', 'China', 'SouthKorea', 'Italy', 'Iran', 'USA', 'Americans', 'Asia']",392
2020-02-23 20:58:39,#NEW: #Austria has denied entry to a train coming from #Italy on suspicion that two travelers might be infected with the #coronavirus.  via Reuters   #COVID19,Apex_WW,"['NEW', 'Austria', 'Italy', 'coronavirus', 'COVID19']",2328
2020-02-23 20:58:22,"#Coronavirus: Cases of reported #infections jump in #SouthKorea, #Iran and #Italy  https://t.co/k4sxuCnNR9 #COVID19",PriceHealthcare,"['Coronavirus', 'infections', 'SouthKorea', 'Iran', 'Italy', 'COVID19']",1805
2020-02-23 20:58:16,#Coronavirus cases soar in #Italy as authorities scramble to find patient zero https://t.co/cqxQECrYia,2050CyberSurfer,"['Coronavirus', 'Italy']",4820
2020-02-23 20:57:48,UNCONFIRMED - Big when true. #Austria stopping ALL train traffic with #Italy.   #coronavirus #Covid_19 #COVID_2019 #SARSCOV19 #SARSCoV2,pyramidfunding1,"['Austria', 'Italy', 'coronavirus', 'Covid_19', 'COVID_2019', 'SARSCOV19', 'SARSCoV2']",21
2020-02-23 20:57:39,Hoping our researchers find a cure for coronavirus very soon. 🙏 it is in these moments when you realize how valuable knowledge is. #coronavirusitalIa #coronavirus #Italy #Covid_19 #COVID19italia #cure #healthcare,Iamworthit4,"['coronavirusitalIa', 'coronavirus', 'Italy', 'Covid_19', 'COVID19italia', 'cure', 'healthcare']",2
2020-02-23 20:57:00,#Austria stops train from #Italy due to suspected #coronavirus infections. Austria has denied entry to a train from Italy on suspicion that two travellers might be infected with the coronavirus. https://t.co/XGTDqxdPc4,carlesdijous,"['Austria', 'Italy', 'coronavirus']",9130
2020-02-23 20:56:54,"China should be sanctioned immediately, and they should be forced to pay for this Coronavirus situation. Guaranteed there is more Coronavirus cases than reported. #sanctions #china #money world has no protection against Coronavirus. #Coronavirus #italy #usa #trump #world",GRANITY_GROUP,"['sanctions', 'china', 'money', 'Coronavirus', 'italy', 'usa', 'trump', 'world']",9
2020-02-23 20:56:53,"China should be sanctioned immediately, and they should be forced to pay for this Coronavirus situation. Guaranteed there is more Coronavirus cases than reported. #sanctions #china #money world has no protection against Coronavirus. #Coronavirus #italy #usa #trump #world",OilArmco,"['sanctions', 'china', 'money', 'Coronavirus', 'italy', 'usa', 'trump', 'world']",21
2020-02-23 20:56:53,"China should be sanctioned immediately, and they should be forced to pay for this Coronavirus situation. Guaranteed there is more Coronavirus cases than reported. #sanctions #china #money world has no protection against Coronavirus. #Coronavirus #italy #usa #trump #world",Bovacap,"['sanctions', 'china', 'money', 'Coronavirus', 'italy', 'usa', 'trump', 'world']",47
2020-02-23 20:56:53,"China should be sanctioned immediately, and they should be forced to pay for this Coronavirus situation. Guaranteed there is more Coronavirus cases than reported. #sanctions #china #money world has no protection against Coronavirus. #Coronavirus #italy #usa #trump #world",Bovacap_asia,"['sanctions', 'china', 'money', 'Coronavirus', 'italy', 'usa', 'trump', 'world']",185
2020-02-23 20:56:53,"China should be sanctioned immediately, and they should be forced to pay for this Coronavirus situation. Guaranteed there is more Coronavirus cases than reported. #sanctions #china #money world has no protection against Coronavirus. #Coronavirus #italy #usa #trump #world",NStirpejr,"['sanctions', 'china', 'money', 'Coronavirus', 'italy', 'usa', 'trump', 'world']",217
2020-02-23 20:56:52,"China should be sanctioned immediately, and they should be forced to pay for this Coronavirus situation. Guaranteed there is more Coronavirus cases than reported. #sanctions #china #money world has no protection against Coronavirus. #Coronavirus #italy #usa #trump #world",bovacap_europe,"['sanctions', 'china', 'money', 'Coronavirus', 'italy', 'usa', 'trump', 'world']",965
2020-02-23 20:55:37,#Austria suspends train commute to #Italy over #coronavirus risks. #covid19,YanniKouts,"['Austria', 'Italy', 'coronavirus', 'covid19']",70315
2020-02-23 20:55:07,"If you were the mayor of #Patras (#Greece)  @patrasmunicipal, would you consider cancelling the upcoming #carnival in the city given links to #Ancona (port) and the #COVID2019 cases in #Italy?   #καρναβάλι #coronavirus  @euronewsgr @DrEricDing @WHO @ECDC_Outbreaks  #κοροναϊος https://t.co/cCWjghICfj",mylittlebaklava,"['Patras', 'Greece', 'carnival', 'Ancona', 'COVID2019', 'Italy', 'καρναβάλι', 'coronavirus', 'κοροναϊος']",2492
2020-02-23 20:55:00,Authorities impose lockdown in northern towns amid #coronavirus outbreak #Italy https://t.co/HUSWglw6os,Ruptly,"['coronavirus', 'Italy']",102575
2020-02-23 20:54:39,"#Coronavirus: Cases of reported #infections jump in #SouthKorea, #Iran and #Italy  https://t.co/gBayoFSKJH #COVID19",jandis_price,"['Coronavirus', 'infections', 'SouthKorea', 'Iran', 'Italy', 'COVID19']",8665
2020-02-23 20:53:05,#coronavirus Latest #Austria stopped  all X-border train services towards and from #Italy https://t.co/31ukcpfjFF,def_izit,"['coronavirus', 'Austria', 'Italy']",928
2020-02-23 20:52:30,The number of people infected with COVID-19 has jumped above 130 in Italy and three people have died in the past 48 hours  #coronavirus #2019nCoV #COVID19 #SARSCoV2 #Italy https://t.co/JVE6yWhJKS,ryanfiredragon,"['coronavirus', '2019nCoV', 'COVID19', 'SARSCoV2', 'Italy']",730
2020-02-23 20:50:52,China coronavirus outbreak: All the latest updates | #msservicesglobal🌐#News #LatestNews  #coronavirus #coronavirusupdate #CoronavirusOutbreak #Health #China #Opinion #FactsMatter #China #SouthKorea #AsiaPacific #Italy #ItalyCoronavirus #Europe | https://t.co/muJNubfHZM,MSServices_info,"['msservicesglobal', 'News', 'LatestNews', 'coronavirus', 'coronavirusupdate', 'CoronavirusOutbreak', 'Health', 'China', 'Opinion', 'FactsMatter', 'China', 'SouthKorea', 'AsiaPacific', 'Italy', 'ItalyCoronavirus', 'Europe']",78
2020-02-23 20:50:03,"“The ordinance is immediately operative and will go into effect at midnight,” announced Veneto regional Gov. Luca @ZaiaPresidente.  Nearly all of #Italy’s 133 known #Coronavirus cases are clustered in the north, at least 25 of them in the #Veneto region. https://t.co/UNHS4TrXon",EpochTimesChina,"['Italy', 'Coronavirus', 'Veneto']",22476
2020-02-23 20:49:43,#Coronavirus cases soar in #Italy as authorities scramble to find patient zero. Current stats: 155 confirmed cases. And so it begins...  https://t.co/YPHvcXdtUW,StockAugury,"['Coronavirus', 'Italy']",63
2020-02-23 20:49:25,No groceries on the shelves in #Milan #Italy due to #coronavirus. Imagine what it will be like when it happens where you live. Get what you need in advance. https://t.co/12seZ5VwLx,medpie1,"['Milan', 'Italy', 'coronavirus']",439
2020-02-23 20:48:43,"BREAKING: 2 dead and 54 infected after #CoronaVirus outbreak in #Italy.  - 50 000 people asked to stay home - 10 towns on lockdown - Schools, restaurants closed - Universities being closed  This is not good 😷",corona_update,"['CoronaVirus', 'Italy']",306
2020-02-23 20:47:35,Sounds familiar. How the Plague aka Black Death was handled back in 1346. #coronavirus #CoronavirusOutbreak #Covid_19 #COVID19italia #ItalyCoronavirus #Italy #iran https://t.co/16aaRaF8fL,AbesMullet,"['coronavirus', 'CoronavirusOutbreak', 'Covid_19', 'COVID19italia', 'ItalyCoronavirus', 'Italy', 'iran']",153
2020-02-23 20:46:22,"#Italian officials have cut short the #Venice Carnival as they try to control the worst outbreak of the #coronavirus in #Europe. The highest number of #COVID19 cases in Europe is in #Italy, with 152. Three people have died. #Milan #Rome https://t.co/4yhzu1pdaz",Super_Said,"['Italian', 'Venice', 'coronavirus', 'Europe', 'COVID19', 'Italy', 'Milan', 'Rome']",10119
2020-02-23 20:45:10,"Officials Scramble To Contain #Coronavirus Outbreaks In South Korea, #Iran And #Italy https://t.co/7Xsoj5P8lA #Corona #Coronavirius #coronavirususa #Covid_19 #COVID2019 #COVID19Korea #COVID19italia #Covid19usa #ChinaCoronaVirus",dghowery,"['Coronavirus', 'Iran', 'Italy', 'Corona', 'Coronavirius', 'coronavirususa', 'Covid_19', 'COVID2019', 'COVID19Korea', 'COVID19italia', 'Covid19usa', 'ChinaCoronaVirus']",1556
2020-02-23 20:44:59,"Picture taken in #Milan, #Italy amid the #coronavirus outbreak infecting over a hundred &amp; killing atleast 2.   Supermarkets queued outside the door amid fears the city will soon be on LOCKDOWN.  Just a matter of time before we all face the same predicament. https://t.co/Lvq3Zjr8HD",COVID197,"['Milan', 'Italy', 'coronavirus']",10
2020-02-23 20:43:21,were suspended because two train #passengers coming from #Italy were suspected of being infected with the #coronavirus and are currently in #Austria.,Xy5Z89,"['passengers', 'Italy', 'coronavirus', 'Austria']",374
2020-02-23 20:43:21,"of being infected with the #coronavirus.  For fear of coronavirus infections, #Austria has #stopped all rail traffic with #Italy. The state-owned #Austrian #railway company @unsereOEBB announced on Sunday evening that all train connections to the neighboring country",Xy5Z89,"['coronavirus', 'Austria', 'stopped', 'Italy', 'Austrian', 'railway']",374
2020-02-23 20:41:52,#Austria #italy #corona #coronavirus #Europe #WHO  More sources on the outbreak concerning Italy. https://t.co/pVJ35cCZFQ,MartinSmets,"['Austria', 'italy', 'corona', 'coronavirus', 'Europe', 'WHO']",8
2020-02-23 20:41:31,The #dataviz of #coronavirus by 23 February 2020 as in the latest situation report of #WHO. #Italy with the highest number of infected people in Europe. https://t.co/hZjewayjEa,lolabanja,"['dataviz', 'coronavirus', 'WHO', 'Italy']",157
2020-02-23 20:37:49,#Ninjavirus🦠 Update for #Italy🇮🇹: • 155 infected • 26 ICU • 3 three deaths  Military bases and barracks are being prepared for the isolation of suspected coronavirus cases. #CoronaVirus #CoViD19 #CoViD19Italy https://t.co/uLcC87bdKX,zensurkritik,"['Ninjavirus', 'Italy', 'CoronaVirus', 'CoViD19', 'CoViD19Italy']",308
2020-02-23 20:37:11,"They started to quarantine #Italy, that is scary, we need #Europe nations to cooperate with us not  just to demonize us.   #COVID19italia #coronavirus #SundayMotivation #WilderFury2  #Austria #France #Germany https://t.co/jD7BzgJjEp",M74ITA,"['Italy', 'Europe', 'COVID19italia', 'coronavirus', 'SundayMotivation', 'WilderFury2', 'Austria', 'France', 'Germany']",103
2020-02-23 20:36:41,This #Covid_19 is not a small #coronavirus problem. #Italy is running out of supply in grocery stores. South Korea is being infected like #China and Hong Kong. #COVID19italia and #Vietnam seem to be a lot. Retweet for your friends stay aware #Japan   https://t.co/KqmsGnXrg7… https://t.co/8yy38LDmHc,Trident7S,"['Covid_19', 'coronavirus', 'Italy', 'China', 'COVID19italia', 'Vietnam', 'Japan']",11
2020-02-23 20:36:32,Alhamdulillah Allah has blessed us with the best Religion ❤ Forbidding us from wrong things such as eating pigs. its just that Im feeling sad that people got to know it through this Virus. May God protect all 🙏🏻 #CoronaVirus #Italy,honeytweets,"['CoronaVirus', 'Italy']",140
2020-02-23 20:33:11,#Austria stops trains from #Italy... @finnair flies and bring #COVID19italia straight to #Helsinki #Finland.  #CoronavirusOutbreak #CoronaVirus #WuhanCoronovirus #covid2019 #COVIDー19 #COVID_2019   @iltasanomat @iltalehti_fi @hsfi https://t.co/G3c0tXuXAY,rlc_mac,"['Austria', 'Italy', 'COVID19italia', 'Helsinki', 'Finland', 'CoronavirusOutbreak', 'CoronaVirus', 'WuhanCoronovirus', 'covid2019', 'COVIDー19', 'COVID_2019']",84
2020-02-23 20:32:18,"#Italy's Struggle with #CoronaVirus  10 cities and towns based in #Milan, Italy have been quarantined.   Football matches, all festivals have been cancelled.   The number of patients suddenly jumped to 152.",AselimKorkmaz,"['Italy', 'CoronaVirus', 'Milan']",90
2020-02-23 20:31:36,#Italy Battles to Contain Europe’s First Major Outbreak of #Coronavirus  https://t.co/O8qukt7O5E,jcheethamwriter,"['Italy', 'Coronavirus']",55872
2020-02-23 20:31:26,"#BreakingNews    Italy's coronavirus infections jump to more then 100, including two deaths, says official #coronavirus #CoronavirusOutbreak #coronavirusitalla #Italy https://t.co/cvSAaT6wEM",5NewsAustralia,"['BreakingNews', 'coronavirus', 'CoronavirusOutbreak', 'coronavirusitalla', 'Italy']",246
2020-02-23 20:30:05,https://t.co/wKpYRqYjZm #Coronavirus #outbreak: Venice Carnival closes as #Italy imposes lockdown,project4truth,"['Coronavirus', 'outbreak', 'Italy']",122
2020-02-23 20:29:50,"Picture taken in Milan, Italy amid the coronavirus outbreak infecting over a hundred &amp; killing atleast 2.   #Coronavirus #coronavirusitalIa #italy #milan https://t.co/ynxMTu9ojs",livecrisisnews,"['Coronavirus', 'coronavirusitalIa', 'italy', 'milan']",14353
2020-02-23 20:29:38,Second country bordering with Italy ... #France demanding border crossing check between #italy and France due to fear of spreading #coronavirus . #Switzerland demanded this earlier. #Austria will be next ! https://t.co/iumej971Nv,MartinSmets,"['France', 'italy', 'coronavirus', 'Switzerland', 'Austria']",8
2020-02-23 20:28:58,#Coronavirus: Venice Carnival closes as #Italy imposes lockdown - BBC News #Covid_19  https://t.co/0g3Pck27xI,mkuzio,"['Coronavirus', 'Italy', 'Covid_19']",668
2020-02-23 20:28:24,BBC News - #coronavirus: #Venice Carnival closes as #Italy imposes lockdown https://t.co/jvjGPNlNCy,12MileGeo,"['coronavirus', 'Venice', 'Italy']",488
