timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-23 20:45:03,https://t.co/AhNRG9ahte #South #Korea’s #Coronavirus Epicenter Is a Virtual #Ghost #Town,project4truth,"['South', 'Korea', 'Coronavirus', 'Ghost', 'Town']",122
2020-02-23 20:26:55,South Korea Raises Threat Alert Level #coronavirus #Korea #China #Doomsday #USA #WHO #fear ☠ https://t.co/XJ4AgcLc4Y,StefVanDerWiz,"['coronavirus', 'Korea', 'China', 'Doomsday', 'USA', 'WHO', 'fear']",283
2020-02-23 20:24:02,Coronavirus cases surge in Italy and South Korea | DW News https://t.co/VG0zkaoggl via @YouTube #coronavirus #korea #italy,karldotcom,"['coronavirus', 'korea', 'italy']",921
2020-02-23 20:01:10,"😨#COVID19 in Western Pacific Region - 🇰🇷🇯🇵🇸🇬🇦🇺🇲🇾 Feb 23 @WHO report analysis:  ➡ Very worrisome situation in 🇰🇷🇯🇵 ➡ Today: +287 🇰🇷+256 🇯🇵+27 🇸🇬+3 🇦🇺+1 ➡ 6th day of epidemic amplification phase  Exponential : EG=0.14, R²=0.86   🔜Do not travel to #korea  #coronavirus #Covid_19 https://t.co/0OnjUrS8ys https://t.co/J1zWy7vcZw",nard_info,"['COVID19', 'korea', 'coronavirus', 'Covid_19']",652
2020-02-23 19:42:03,"South #Korea 🇰🇷 Raised #coronavirus #COVID2019 Alert to Its 'Highest' Level as Confirmed Cases Surpass 600.   Possible orders of temporary closure of schools and reduce #travel operations, including public transport and flights to and from South Korea https://t.co/QE0kXtOxfn",AlexanderTheKim,"['Korea', 'coronavirus', 'COVID2019', 'travel']",643
2020-02-23 18:46:05,"President Moon wants to prohibit the manifestations against him for the coronavirus spread, when he is the one who caused it #coronavirus #CoronavirusOutbreak #MoonJaein #korea #SouthKorea",_alx_kim,"['coronavirus', 'CoronavirusOutbreak', 'MoonJaein', 'korea', 'SouthKorea']",40
2020-02-23 18:42:48,"☣😰 @WHO #COVID19 Daily Report - Feb. 23: ➡New confirmed cases: 1.017 ⬇ ➡Total: 78.811 ➡New cases outside China: 367 ⬆ (36.1% of global new ⬆) ➡+287 in Western Pacific incl. +256 in #Korea ! ➡+67 🇮🇹#Italy, +10 🇮🇷 #Iran #coronavirus #Covid_19 https://t.co/WQIAc5WBUj https://t.co/ASKE57M5Xj",nard_info,"['COVID19', 'Korea', 'Italy', 'Iran', 'coronavirus', 'Covid_19']",652
2020-02-23 18:36:08,IS #coronavirus A #USA #biowarfare #weapon ? FEB 2020 #Bio #warfare #alarm Why the Pentagon-bio-lab #Weaponizing ? #World #war #WW3 #Epidemic #Countries #America #Europe #Asia #Africa #Australia #China #bioweapons #WHO #Iran #Russia #Korea #japan https://t.co/1MtqIOanbg,yyoo11122,"['coronavirus', 'USA', 'biowarfare', 'weapon', 'Bio', 'warfare', 'alarm', 'Weaponizing', 'World', 'war', 'WW3', 'Epidemic', 'Countries', 'America', 'Europe', 'Asia', 'Africa', 'Australia', 'China', 'bioweapons', 'WHO', 'Iran', 'Russia', 'Korea', 'japan']",62
2020-02-23 17:57:25,"#Korea’s airlines now staring at a sea of red ink with countries starting to impose #Coronavirus restrictions. Even before the crisis, combined losses at #KoreanAir and #Asiana had almost quadrupled in 2019. https://t.co/JuoqKxZE5s via @YouTube https://t.co/IsIgQfTUH8",Chyan,"['Korea', 'Coronavirus', 'KoreanAir', 'Asiana']",2528
2020-02-23 17:19:09,@freezerohedge China has know #coronavirus in 1/7. Before singed #TradeDeal. They'll no excuse to reject walk deals. Please Close pay attention is 1/7. China start go to today still lying to the World. #CoronavirusOutbreak #Korea #Japan #Americans #India #Taiwan #Europe #BoycottMulan #Mulan,sonoftaiwan,"['coronavirus', 'TradeDeal', 'CoronavirusOutbreak', 'Korea', 'Japan', 'Americans', 'India', 'Taiwan', 'Europe', 'BoycottMulan', 'Mulan']",1469
2020-02-23 17:15:46,Millions under quarantine...but we should be more worried about the flu? Why does this strike me as incongruous?  #coronavirus #corona #beer #panic #pandemic #truth #lies #run #hide #armageddon #lol #flu #quarantine #mask #italy #korea #iran #USA #china https://t.co/xB9a3HCIwL,cnknudson,"['coronavirus', 'corona', 'beer', 'panic', 'pandemic', 'truth', 'lies', 'run', 'hide', 'armageddon', 'lol', 'flu', 'quarantine', 'mask', 'italy', 'korea', 'iran', 'USA', 'china']",17
2020-02-23 16:17:00,"Due to #coronavirus fears, Israel shuts borders to nationals of #China, Hong Kong, #Korea, #Thailand, #Singapore and Macau • 200 South Koreans may be quarantined in Gush Etzion, flights to and from #Seoul suspended indefinitely, Israeli media reports.  https://t.co/ElLbVn0af0",JNS_org,"['coronavirus', 'China', 'Korea', 'Thailand', 'Singapore', 'Seoul']",10734
2020-02-23 15:54:04,"Respected @FRANCE24 shows grim #Italy response to #Coronavirus. Can’t find source, shuts down #Venice #carnival &amp; Sunday #Catholic mass. #France #health authorities expecting cases. #Korea on high alert COVID19 #Italia #Vaticano #COVID @duyeonkim  https://t.co/kccizlF4Ar",JohnTrasvina,"['Italy', 'Coronavirus', 'Venice', 'carnival', 'Catholic', 'France', 'health', 'Korea', 'Italia', 'Vaticano', 'COVID']",298
2020-02-23 15:34:32,"South #Korea goes on ""red alert"" over #COVID19. This is their highest alert level, after which there is only blind panic.  Will it be enough? Has #coronavirus already won the day?  https://t.co/RzkuwdLGbK  #news #health",coronsvirusc,"['Korea', 'COVID19', 'coronavirus', 'news', 'health']",80
2020-02-23 15:31:05,"South #Korea goes on ""red alert"" over #COVID19. This is their highest alert level, after which there is only blind panic.  Will it be enough? Has #coronavirus already won the day?  https://t.co/e34Vf8y7Mw  #news #health",TheVoiceOfLibe3,"['Korea', 'COVID19', 'coronavirus', 'news', 'health']",1424
2020-02-23 15:14:38,Air travel to Asia is like the stock market in 2008. Invest now to get some great deals on both flights and accommodation. Just back from Taiwan for half term and thinking Korea for Easter... #coronavirus #Korea #TEACHers https://t.co/AfgAL89ezR,C4History,"['coronavirus', 'Korea', 'TEACHers']",270
2020-02-23 15:00:23,#Coronavirus Cases in South #Korea Climb to 602.   #Daegu and surrounding #Gyeongbuk account for 82% of cases as of 2/23.  The situation is still rapidly developing. Live updates on cases &amp; prevention measures available from @KoreaCDC at: https://t.co/zlVoZrOWyv https://t.co/GbkvnRS9JZ,MaxfieldVandel,"['Coronavirus', 'Korea', 'Daegu', 'Gyeongbuk']",1075
2020-02-23 14:57:58,Coronavirus: South Korea declares highest alert as infections surge via @BBCNews  https://t.co/842CbbBIYo #SKorea #Korea #coronavirus #Covid19 #2019nCoV #virus #health #healthcare #medicine #science #research #travel #travellers #economy #RegionalSecurity #WHO,ChuckDalldorf,"['SKorea', 'Korea', 'coronavirus', 'Covid19', '2019nCoV', 'virus', 'health', 'healthcare', 'medicine', 'science', 'research', 'travel', 'travellers', 'economy', 'RegionalSecurity', 'WHO']",4279
2020-02-23 14:56:25,"My friend flies back to his home country #Korea and one day later they raised the national threat level to ""red alert"" because of the #Coronavirus. What the hell...  https://t.co/gLL2Q2VqfE",neoflameDdorf,"['Korea', 'Coronavirus']",102
2020-02-23 14:41:47,this is what will happen when korean carry virus. Pls take care of your own. #COVID19 #Korea #新型冠状病毒 #Japan #coronavirus https://t.co/eS8g9BCGdz,CitzenOfRPC,"['COVID19', 'Korea', '新型冠状病毒', 'Japan', 'coronavirus']",27
2020-02-23 14:34:47,"Now the world should learn from the Chinese government's methods of epidemic control! Otherwise, the world will experience the dark history of Wuhan in the coming days #2019nCoV #coronavirus #Japan #Korea #Italy",xsser_w,"['2019nCoV', 'coronavirus', 'Japan', 'Korea', 'Italy']",89
2020-02-23 14:33:09,Sure. Ya right. Contained. #coronavirus now in #Italy #Iran #Korea and #china https://t.co/2RXKhq85Ux,GerberKawasaki,"['coronavirus', 'Italy', 'Iran', 'Korea', 'china']",66820
2020-02-23 14:30:21,South #korea is honest in its stats: 70% increase in #coronavirus infections in one day. Why on earth is #China not truthful? This is life or death. I humbly ask President #Xi to make historic mark and announce the true stats at once. @china,DrHawarey,"['korea', 'coronavirus', 'China', 'Xi']",51
2020-02-23 14:05:21,"#COVID19 infections are producing outsized economic results, as the disease forces factory closings and production line shutdowns.  The ripple effects are growing.  https://t.co/9a4txNxhXG  #news #coronavirus #Samsung #economy #Korea",TheVoiceOfLibe3,"['COVID19', 'news', 'coronavirus', 'Samsung', 'economy', 'Korea']",1424
2020-02-23 13:47:25,"I hope everyone is safe. !!! I prayed for the world and especial China, Korea and the cruise ship.   #Korea  #China  #coronavirus",preciousloey_,"['Korea', 'China', 'coronavirus']",261
2020-02-23 13:38:29,"Meanwhile in #Korea, Korean wants to kick Chinese(#Wuhanvirus )out of Korea. #coronavirus #WuhanCoronavirus #COVIDー19 #coronaviruschina #AntiChinazi #ANTICCP https://t.co/mzvTQXk5CF",amberp1128,"['Korea', 'Wuhanvirus', 'coronavirus', 'WuhanCoronavirus', 'COVIDー19', 'coronaviruschina', 'AntiChinazi', 'ANTICCP']",137
