timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-23 20:49:06,#WTF !!! Read on to find out why the united states is no longer reporting new cases of #coronavirus #US ⚠️⚠️⚠️⚠️ https://t.co/gzFiIKJJiQ,ThierryJFT,"['WTF', 'coronavirus', 'US']",2667
2020-02-23 20:28:47,"BOMBSHELL: Fewer than 600 people ""officially"" tested for coronavirus in the entire United States; massive cover-up under way as 47 U.S. states have tested ZERO people #coronavirus #covid19 #bioweapon #us #government #incompetence https://t.co/SgEw0xhwAy",djayme7,"['coronavirus', 'covid19', 'bioweapon', 'us', 'government', 'incompetence']",51
2020-02-23 20:18:31,#US -Friday @CDCgov officials tried to move #COVID19 patients from Travis AFB to #CostaMesa #CA for quarantine. Judge blocked the move  -Sat CDC officials try to send #coronavirus patients from #DiamondPrincess to #Alabama Trump &amp; @SenShelby blocked https://t.co/qsuEdlJA7Q,V2019N,"['US', 'COVID19', 'CostaMesa', 'CA', 'coronavirus', 'DiamondPrincess', 'Alabama']",25732
2020-02-23 20:11:17,1st FEMA camp to be used for #US quarantine #coronavirus #conspiracy  https://t.co/zaEdbPJkMa,cat_lover52,"['US', 'coronavirus', 'conspiracy']",28
2020-02-23 18:53:17,The similarity between Iran and China is that they both are unacceptable to #US .  The Guardian: #Turkey and #Pakistan close borders with #Iran over #coronavirus deaths. https://t.co/xZZNAGH49Z  via @GoogleNews,maliksamies,"['US', 'Turkey', 'Pakistan', 'Iran', 'coronavirus']",346
2020-02-23 18:49:53,#US accuses #Russia of creating fake informations about #Coronavirus #News #NewsDaily #NewsDesk #NewsFeed #NewsToday #WorldNews https://t.co/36wHm3qtZx https://t.co/UBdBdSeti9,NewsObservatory,"['US', 'Russia', 'Coronavirus', 'News', 'NewsDaily', 'NewsDesk', 'NewsFeed', 'NewsToday', 'WorldNews']",14921
2020-02-23 18:34:30,World Health Organization reports 35 #Coronavirus cases in #US https://t.co/qTt3wYtDC9 https://t.co/xRa8NyaXef,AbundantGuide,"['Coronavirus', 'US']",155
2020-02-23 18:04:32,"US sanctions are similar to the #coronavirus, as the panic about them is bigger than the reality.  All issues that our region is facing are because of the #US's illegal interference in regional issues:  #Iran's President, Rouhani to #Austria's FM, Schallenberg in Tehran. https://t.co/y6RmVns966",Iran_NewsRoom,"['coronavirus', 'US', 'Iran', 'Austria']",4076
2020-02-23 18:00:00,"Hundreds of #Americans quarantined onboard #DiamondPrincess cruise ship are heading back to the #US for another 14-day quarantine at military base. Another 70 #Coronavirus cases confirmed onboard the ship, bringing the total 355. #COVID #COVID19 #China #wuhan #冠状病毒",Esmerda9,"['Americans', 'DiamondPrincess', 'US', 'Coronavirus', 'COVID', 'COVID19', 'China', 'wuhan', '冠状病毒']",1130
2020-02-23 17:49:08,#GlobalGoals #DaphneCaruanaGalizia 😠 #ECHR #CEDH #US #Europe #Nato The world moans about your atrocities.. #ClimateStrike #EconomicTerrorism ... the white man will know that money is an inedible thing. #CoronaViruese #COVID19 '' #Coronavirus Summary of #Assange's situation. 👤🔱 https://t.co/PNr6jG7Cc3,ET_YLMZ,"['GlobalGoals', 'DaphneCaruanaGalizia', 'ECHR', 'CEDH', 'US', 'Europe', 'Nato', 'ClimateStrike', 'EconomicTerrorism', 'CoronaViruese', 'COVID19', 'Coronavirus', 'Assange']",1744
