timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-23 20:50:28,"Third Diamond Princess passenger, 80-year-old #Japan|ese man, dies after #coronavirus quarantine   #COVID19 https://t.co/4WPMH5yKQZ via @usatoday",Apex_WW,"['Japan', 'coronavirus', 'COVID19']",2328
2020-02-23 20:48:32,Be careful in #Japan &amp; #SouthKorea.   #anime #travel #vacation #asia #aroundtheworld #coronavirus #COVID2019   https://t.co/obZmUdBnW0,KurisutaBlue,"['Japan', 'SouthKorea', 'anime', 'travel', 'vacation', 'asia', 'aroundtheworld', 'coronavirus', 'COVID2019']",47
2020-02-23 20:41:43,Could the 2020 Olympic Games be a victim of the #coronavirus? https://t.co/PtS6P2N4WJ #covid19 #globalisation #sports #travel #china #asia #japan #21stc #health #publichealth,KendallHarmon6,"['coronavirus', 'covid19', 'globalisation', 'sports', 'travel', 'china', 'asia', 'japan', '21stc', 'health', 'publichealth']",1537
2020-02-23 20:36:41,This #Covid_19 is not a small #coronavirus problem. #Italy is running out of supply in grocery stores. South Korea is being infected like #China and Hong Kong. #COVID19italia and #Vietnam seem to be a lot. Retweet for your friends stay aware #Japan   https://t.co/KqmsGnXrg7… https://t.co/8yy38LDmHc,Trident7S,"['Covid_19', 'coronavirus', 'Italy', 'China', 'COVID19italia', 'Vietnam', 'Japan']",11
2020-02-23 20:34:25,"https://t.co/vgHfJnWaTM How high will Gold go this Week?  Will the DOW, NASDAQ, and S&amp;P continue falling?  #investment #panic #CoronaVirus #SouthKorea #China #Japan #supplychains #global https://t.co/1aQCOESqdU Checkout this tweet about #luxuryhomes in Los Angeles shared by #a…",arieabekasis,"['investment', 'panic', 'CoronaVirus', 'SouthKorea', 'China', 'Japan', 'supplychains', 'global', 'luxuryhomes', 'a']",205
2020-02-23 20:32:53,Ghibli Museum to close from Feb. 25 to March 17 due to virus fears  : The Asahi Shimbun https://t.co/1qfv2Tj3we #japan #coronavirus,karldotcom,"['japan', 'coronavirus']",921
2020-02-23 20:31:59,Number of coronavirus cases in Japan grows to 770 : The Asahi Shimbun https://t.co/LzhjKZtyjE #coronavirus #japan,karldotcom,"['coronavirus', 'japan']",921
2020-02-23 20:26:40,"Radar: will they cancel the upcoming Tokyo Olympics (Fri, 24 Jul 2020 – Sun, 9 Aug 2020)? #Breaking #coronavirus #Japan #tokyoolympics #jpy #stockmarket #investors #events #insurance #Gold #Trump #sports",AvaSchiffer,"['Breaking', 'coronavirus', 'Japan', 'tokyoolympics', 'jpy', 'stockmarket', 'investors', 'events', 'insurance', 'Gold', 'Trump', 'sports']",540
2020-02-23 20:19:22,"😨🇯🇵 #Japan #COVID19 situation:  Feb 23 @WHO report analysis: ➡Total: 132 ➡Highest single day growth (+27)  ➡+149 % in last week ➡Local transmission: 70% of total (92/132) ➡9th day of amplification ➡Exponential EG~0.13, R²=0.9  🔜JP hot spot confirmed #coronavirus #Covid_19 https://t.co/xiMK78nm3J https://t.co/RNBE5Og8cX",nard_info,"['Japan', 'COVID19', 'coronavirus', 'Covid_19']",652
2020-02-23 20:17:46,Researchers Find 61.5% Of #Coronavirus Patients w/ Severe #Pneumonia Won't Survive as #China begins to share more case data #Italy #Iran #Japan #SKorea  https://t.co/5vgeonjpsE,RadChick4Cast,"['Coronavirus', 'Pneumonia', 'China', 'Italy', 'Iran', 'Japan', 'SKorea']",3668
2020-02-23 20:14:59,"Meanwhile, the last charter flight arrived #HongKong early this morning from #Japan, brought back 5 citizens and officials. Security Bureau said 70 hk ppl onboard #DiamondPrincess are infected with #Coronavirus, they remain hospitalised in Japan. @rthk_news  #尾班包機5人今晨抵港 https://t.co/cgqdoWq7jr",nikki_miumiu,"['HongKong', 'Japan', 'DiamondPrincess', 'Coronavirus', '尾班包機5人今晨抵港']",9918
2020-02-23 20:14:09,"https://t.co/FSTI5a1FKJ How high will Gold go this Week?  Will the DOW, NASDAQ, and S&amp;P continue falling?  #investment #panic #CoronaVirus #SouthKorea #China #Japan #supplychains #global https://t.co/UbYPbchLVX",gord_collins,"['investment', 'panic', 'CoronaVirus', 'SouthKorea', 'China', 'Japan', 'supplychains', 'global']",7534
2020-02-23 20:08:08,Stay aware of #Covid_19 post about the #coronavirus in #Italy #Japan South Korea. It is continually growing. #Laos and #Singapore is also affected. #SundayThoughts Hong Kong will definitely feel hurt. Retweet before censor.  https://t.co/TdOq7rcDfo… https://t.co/Vjh38XbK3n,Trident7S,"['Covid_19', 'coronavirus', 'Italy', 'Japan', 'Laos', 'Singapore', 'SundayThoughts']",11
2020-02-23 19:59:56,App #Screenshots #designs for #Apple and #Playstore😍  ✅https://t.co/oqFmj9YfyW  #DateMyFamilly #embarrassing #TrumpIndiaVisit #coronavirus #NamasteTrump #fiverrgigs #WilderFury2 #UltimateLoveNG #furyvswilder2 #France #Japan #Russia #nepali #London #USA #Africa #SAvAUS #Muslims https://t.co/mMzeLnT5TG,DevHub5,"['Screenshots', 'designs', 'Apple', 'Playstore', 'DateMyFamilly', 'embarrassing', 'TrumpIndiaVisit', 'coronavirus', 'NamasteTrump', 'fiverrgigs', 'WilderFury2', 'UltimateLoveNG', 'furyvswilder2', 'France', 'Japan', 'Russia', 'nepali', 'London', 'USA', 'Africa', 'SAvAUS', 'Muslims']",51
2020-02-23 19:54:25,All the travel restrictions only delay not prevent the virus from infecting every country. Use the precious little time left to prepare. #COVID19 #CoronaVirus #Airport #Italy #Japan #Iran #COVID19italia,ivestAlexis,"['COVID19', 'CoronaVirus', 'Airport', 'Italy', 'Japan', 'Iran', 'COVID19italia']",33
2020-02-23 19:52:51,@CDCgov Stay safe y’all. #japan #coronavirus,tom_carpino,"['japan', 'coronavirus']",28
2020-02-23 19:48:19,😨☣#COVID19 Feb 23 @WHO report analysis: ➡1769 cases outside #China (+367) ➡Western Pacific : +287 ➡Very worrisome situation in S. Korea and #Japan: - 🇰🇷 control likely failed: +256  - 🇯🇵 acceleration: +27 ➡Other concerns: #Italy (+67) and #Iran (+12) #coronavirus #Covid_19 https://t.co/lsdnAipgRQ https://t.co/xZ8wKKOFVb,nard_info,"['COVID19', 'China', 'Japan', 'Italy', 'Iran', 'coronavirus', 'Covid_19']",652
2020-02-23 19:33:47,@CDCgov Ban flights from #Japan #COVID19 #CoronaVirus #ProtectAmerica,ivestAlexis,"['Japan', 'COVID19', 'CoronaVirus', 'ProtectAmerica']",33
2020-02-23 19:31:30,"Four of the British evacuees who landed back in #UK from #Japan have tested positive for #COVID19, taking the number of UK cases to 13. The #coronavirus was transmitted when they were on the #DiamondPrincess cruise ship. #Pandemic #Outbreak https://t.co/ejfweqsxno",COVID_19W,"['UK', 'Japan', 'COVID19', 'coronavirus', 'DiamondPrincess', 'Pandemic', 'Outbreak']",65
